source,ligand_complex,receptor_complex,target,APOE_carrier,lr_mean,n_sig_samples,lr_specificity
Astro.1,ANXA1,EGFR,Astro.1,E2+,0.008321837997697324,8,0.032457633454047376
Astro.1,ANXA1,EGFR,Astro.1,E4+,0.005661727489581119,7,0.017807829532659154
Astro.1,ANXA1,EGFR,Astro.2,E2+,0.004588421957721239,7,0.01789620491019263
Astro.1,ANXA1,EGFR,Astro.2,E4+,0.0030966766254621725,7,0.009739975928809751
Astro.1,ANXA1,EGFR,Inhib.Lamp5_Lhx6,E2+,0.0027213593510774345,3,0.010614107645264957
Astro.1,ANXA1,EGFR,Inhib.Lamp5_Lhx6,E4+,0.0053249076894835495,3,0.01674843033084317
Astro.1,ANXA1,EGFR,Inhib.Vip,E4+,0.0024844851919570772,3,0.00781445042280919
Astro.1,APOE,TREM2,Micro.2,E2+,0.17613479375275054,8,0.28543902636075547
Astro.1,APOE,TREM2,Micro.2,E4+,0.11543731256599422,8,0.10600759096524912
Astro.1,APOE,TREM2,Micro.3,E2+,0.2133809634015366,6,0.3457991072607337
Astro.1,APOE,TREM2,Micro.3,E4+,0.12775574795863268,6,0.11731977098233091
Astro.1,APOE,TREM2,Micro.4,E2+,0.2111949813395446,4,0.34225656703842555
Astro.1,APOE,TREM2,Micro.5,E2+,0.1559809533814395,8,0.25277828710277295
Astro.1,APOE,TREM2,Micro.5,E4+,0.09676854765063139,8,0.08886382045480185
Astro.1,APP,NCSTN,Astro.1,E2+,0.1389656715986048,8,0.1619608626704304
Astro.1,APP,NCSTN,Astro.1,E4+,0.11482492507359982,8,0.1413449184728734
Astro.1,APP,NCSTN,Astro.2,E2+,0.06862148903376118,8,0.07997655416468352
Astro.1,APP,NCSTN,Astro.2,E4+,0.05651364339336573,8,0.0695660485989455
Astro.1,APP,NCSTN,Astro.3,E2+,0.07152052177748522,4,0.08335530115077074
Astro.1,APP,NCSTN,Excit.L2,E2+,0.0779454452129962,8,0.09084338169783206
Astro.1,APP,NCSTN,Excit.L2,E4+,0.07008197863694024,8,0.08626812994222861
Astro.1,APP,NCSTN,Excit.L5.1,E2+,0.10015539013455033,4,0.11672849273264797
Astro.1,APP,NCSTN,Excit.L5.1,E4+,0.06324391283285039,3,0.07785074275062621
Astro.1,APP,NCSTN,Excit.L5.2,E2+,0.08746472533512739,6,0.10193785418766475
Astro.1,APP,NCSTN,Excit.L5.2,E4+,0.10740790089518308,4,0.13221485653607984
Astro.1,APP,NCSTN,Inhib.Lamp5_Lhx6,E4+,0.05743777658380472,6,0.07070361982206583
Astro.1,APP,NCSTN,Inhib.Pax6,E2+,0.06114182611562787,4,0.07125920228368084
Astro.1,APP,NCSTN,Inhib.Pax6,E4+,0.07489174845233776,5,0.09218876539655085
Astro.1,APP,NCSTN,Inhib.Pvalb,E2+,0.07324928179043293,7,0.08537012581808782
Astro.1,APP,NCSTN,Inhib.Pvalb,E4+,0.05884984467620294,6,0.0724418195140773
Astro.1,APP,NCSTN,Inhib.Vip,E2+,0.07448210486836519,8,0.08680694893364588
Astro.1,APP,NCSTN,Inhib.Vip,E4+,0.05825645109972802,8,0.07171137560884144
Astro.1,APP,NCSTN,OPC.2,E2+,0.07783392048178024,6,0.09071340253485576
Astro.1,APP,NCSTN,OPC.2,E4+,0.05552993389219701,6,0.06835514130547622
Astro.1,APP,NCSTN,OPC.5,E2+,0.03673559099142319,3,0.042814372349917286
Astro.1,APP,NCSTN,OPC.5,E4+,0.045520489755032846,3,0.056033913448202126
Astro.1,BCAN,EGFR,Astro.1,E2+,0.4589921815155798,8,1.0
Astro.1,BCAN,EGFR,Astro.1,E4+,0.4246817228860434,8,0.7911859397787249
Astro.1,BCAN,EGFR,Astro.2,E2+,0.2320919764380675,8,0.5056556206942481
Astro.1,BCAN,EGFR,Astro.2,E4+,0.20398296141562156,8,0.38002212558078924
Astro.1,BCAN,EGFR,Astro.3,E2+,0.2862201140731873,7,0.6235838552371333
Astro.1,BCAN,EGFR,Astro.3,E4+,0.21180232251103948,7,0.3945896669261169
Astro.1,BCAN,EGFR,Astro.5,E2+,0.0986117540403254,6,0.21484408234299776
Astro.1,BCAN,EGFR,Astro.5,E4+,0.07234283064608227,4,0.1347753561467308
Astro.1,BCAN,EGFR,Inhib.Lamp5_Lhx6,E2+,0.2756021602613647,8,0.6004506642168366
Astro.1,BCAN,EGFR,Inhib.Lamp5_Lhx6,E4+,0.24352963431324187,8,0.4536979394326168
Astro.1,BCAN,EGFR,Inhib.Pax6,E2+,0.21647481880428016,4,0.4716307325529732
Astro.1,BCAN,EGFR,Inhib.Pax6,E4+,0.17587918148111004,3,0.32766452613498626
Astro.1,BCAN,EGFR,Inhib.Vip,E2+,0.21528216134040984,8,0.46903230601783663
Astro.1,BCAN,EGFR,Inhib.Vip,E4+,0.16040802237831392,8,0.29884161501221
Astro.1,BCAN,EGFR,OPC.2,E2+,0.19876373461340432,6,0.43304383520671713
Astro.1,BCAN,EGFR,OPC.2,E4+,0.12276617898938362,8,0.22871451598311934
Astro.1,BCAN,EGFR,OPC.4,E2+,0.2578225170613039,3,0.5617143982931929
Astro.1,BCAN,EGFR,OPC.4,E4+,0.1726718509626387,3,0.321689240000248
Astro.1,BCAN,EGFR,OPC.5,E2+,0.1003920828887939,5,0.21872286050124415
Astro.1,BCAN,EGFR,OPC.5,E4+,0.10697478241063625,5,0.19929499950930274
Astro.1,CD14,ITGB2,Micro.2,E2+,0.0012060764938666248,6,0.004694074478664681
Astro.1,CD14,ITGB2,Micro.2,E4+,0.0016642043052740201,6,0.007196562075653608
Astro.1,CD14,ITGB2,Micro.5,E2+,0.0014878921881797463,6,0.005790906947492053
Astro.1,CD14,ITGB2,Micro.5,E4+,0.002005819505291461,6,0.008673817593573649
