"cluster","carrier_AA","carrier_EA","anc_E2","anc_E4"
"Vasc_Sp09D08",0,0,1,0
"L1_Sp09D05",0,0,2,0
"L2.3_Sp09D01",0,0,1,1
"LD_Sp09D02",0,0,2,1
"Inhib_Sp09D09",0,0,1,2
"L5_Sp09D03",0,0,2,0
"L6_Sp09D04",0,0,1,1
"WM.uf_Sp09D07",3,1,2,0
"WM_Sp09D06",0,1,1,0
