Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to9,Feature log2 fold change topic 6to9
ENSG00000228794,LINC01128,26,0.11364,28,0.21792,17,-0.5826,24,0.00308
ENSG00000188976,NOC2L,90,0.61634,73,0.09196,43,-0.7461,59,-0.3893
ENSG00000188290,HES4,88,0.20733,90,0.18107,55,-0.6074,78,-0.0608
ENSG00000187608,ISG15,115,0.15782,96,-0.1755,64,-0.8144,115,0.18284
ENSG00000188157,AGRN,59,0.73102,27,-0.7215,33,-0.4559,38,-0.3082
ENSG00000078808,SDF4,81,0.64623,58,-0.1061,57,-0.1254,49,-0.5450
ENSG00000176022,B3GALT6,44,0.52882,47,0.48967,10,-1.8855,31,-0.2696
ENSG00000160087,UBE2J2,77,0.91243,33,-0.7189,41,-0.3855,42,-0.5253
ENSG00000131584,ACAP3,149,0.32016,185,0.59319,101,-0.3915,107,-0.4457
ENSG00000127054,INTS11,85,0.63190,85,0.44109,42,-0.6624,50,-0.6019
ENSG00000224051,CPTP,56,0.70143,21,-1.0411,30,-0.5277,39,-0.1763
ENSG00000107404,DVL1,70,-0.1947,104,0.49857,96,0.35676,70,-0.2157
ENSG00000175756,AURKAIP1,169,-0.2182,257,0.51838,191,0.02661,184,-0.0577
ENSG00000221978,CCNL2,72,0.74404,79,0.67535,28,-0.9669,38,-0.7806
ENSG00000242485,MRPL20,161,-0.2651,263,0.60457,159,-0.2224,185,0.03068
ENSG00000235098,ANKRD65,22,-0.0900,20,-0.1956,19,-0.2364,25,0.24143
ENSG00000179403,VWA1,14,-1.6261,110,2.19702,41,0.36519,27,-0.5233
ENSG00000197785,ATAD3A,24,0.21418,27,0.38541,10,-1.1694,21,-0.0266
ENSG00000205090,TMEM240,63,0.19019,80,0.53719,35,-0.7919,54,-0.1681
ENSG00000160075,SSU72,171,0.17516,151,-0.0771,125,-0.3712,159,0.00382
ENSG00000228594,FNDC10,55,0.10512,53,-0.0043,27,-1.0578,57,0.22276
ENSG00000272106,AL691432.2,22,0.04821,30,0.50334,27,0.34527,18,-0.4357
ENSG00000197530,MIB2,48,0.47203,44,0.21244,23,-0.8323,35,-0.2727
ENSG00000215790,SLC35E2A,68,0.96529,40,-0.1958,51,0.18373,29,-1.0171
ENSG00000008130,NADK,39,0.15315,34,-0.0973,24,-0.6183,38,0.10662
ENSG00000078369,GNB1,577,0.38897,385,-0.3743,411,-0.2718,462,-0.1285
ENSG00000187730,GABRD,237,0.99810,98,-0.7538,51,-1.7542,141,-0.2896
