"","q","loglik"
"1",2,-2377087.60133136
"2",3,-2389044.15866919
"3",4,-2400225.34061431
"4",5,-2416276.3056971
"5",6,-2439388.05079266
"6",7,-2459309.85390852
"7",8,-2475789.87661125
"8",9,-2518600.90525275
"9",10,-2560431.03082555
"10",11,-2661518.90989045
"11",12,-2653204.40774458
"12",13,-2652804.68365448
"13",14,-2648102.43734384
"14",15,-2645726.18840058
"15",16,-2643842.92902692
"16",17,-2642272.02284509
"17",18,-2641331.34751493
"18",19,-2638517.42968599
"19",20,-2625232.03094855
"20",21,-2619440.04669335
"21",22,-2627991.28173193
"22",23,-2622728.40794261
"23",24,-2612750.22973498
"24",25,-2623617.96851047
"25",26,-2607167.34764212
"26",27,-2607481.21205204
"27",28,-2604384.48833466
