Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000188976,NOC2L,79,0.59509,44,-0.3501,67,0.44091,20,-1.5226,60,0.15146,45,-0.3420
ENSG00000188290,HES4,389,2.49126,62,-0.8280,68,-0.8516,66,-0.7189,109,0.07333,55,-1.0988
ENSG00000187608,ISG15,197,1.50697,79,-0.0754,74,-0.2391,62,-0.4681,26,-1.7687,81,-0.0525
ENSG00000078808,SDF4,175,1.26224,156,1.05033,80,-0.1096,34,-1.3811,52,-0.7576,50,-0.9049
ENSG00000160087,UBE2J2,60,0.34143,2,-4.6912,66,0.70980,39,-0.3537,54,0.18667,42,-0.2387
ENSG00000131584,ACAP3,56,-0.9321,66,-0.6568,116,0.30930,36,-1.6032,134,0.47436,134,0.55065
ENSG00000127054,INTS11,67,0.30998,66,0.28396,61,0.20106,33,-0.8034,67,0.32582,41,-0.5166
ENSG00000224051,CPTP,99,1.49130,34,-0.3400,40,-0.1289,27,-0.7018,30,-0.5534,35,-0.3180
ENSG00000107404,DVL1,26,-1.7387,69,-0.2329,98,0.46726,103,0.42097,54,-0.6313,87,0.15237
ENSG00000175756,AURKAIP1,46,-1.4935,71,-0.8490,130,0.14851,171,0.56695,153,0.37544,132,0.14629
ENSG00000221978,CCNL2,225,1.98302,41,-0.9398,80,0.11711,41,-0.9519,41,-0.9601,46,-0.8671
ENSG00000242485,MRPL20,126,-0.5113,139,-0.3642,174,-0.0071,152,-0.2213,183,0.08155,223,0.48019
ENSG00000205090,TMEM240,8,-3.1265,17,-1.9906,80,0.51391,41,-0.6761,93,0.63228,87,0.61219
ENSG00000160075,SSU72,195,0.35561,91,-0.8555,187,0.38619,122,-0.4037,117,-0.4744,165,0.09176
ENSG00000228594,FNDC10,19,-1.1747,58,0.58732,33,-0.4128,29,-0.5154,57,0.57771,51,0.43583
ENSG00000197530,MIB2,55,0.78303,0,-5.9295,41,0.38602,29,-0.2631,20,-0.8262,41,0.33976
ENSG00000189339,SLC35E2B,0,-5.3289,2,-3.7594,36,0.30784,40,0.38196,26,-0.2707,53,1.04875
ENSG00000078369,GNB1,289,-0.6216,239,-0.9171,485,0.27695,380,-0.1910,378,-0.2005,557,0.50657
ENSG00000187730,GABRD,44,-2.0856,93,-0.9647,282,1.27087,89,-1.0225,147,-0.2525,164,-0.0913
ENSG00000067606,PRKCZ,23,-3.1522,56,-1.8663,221,0.37538,177,-0.0937,216,0.23425,276,0.76293
ENSG00000162585,FAAP20,87,0.86695,81,0.73880,34,-0.8272,32,-0.7648,32,-0.7604,67,0.47796
