domain,gene,source_type,note
vVasc,HBA1,Literature+Stats+MeanRatio,"TRIPLE-CONFIRMED. Classic hemoglobin/erythrocyte marker; enrichment rank 1 (t=25.1, FDR=9e-79, full top100 data); MeanRatio rank 1 (~12.4x, strongest domain-marker pair found anywhere in this project)"
vL1,AQP4,Literature+MeanRatio,"Maynard et al. L1 marker; MeanRatio rank 6 for vL1 (ratio 1.20x); also a top gene of the Xenium GL cluster, which registers to both vL1 (glia limitans superficialis) and vWMpv (glia limitans perivascularis) - see vWMpv/GFAP below"
vL2,LAMP5,Literature+Stats+MeanRatio,TRIPLE-CONFIRMED. Maynard et al. L2 marker; own top enrichment gene at both k9 and k11; MeanRatio rank 1 (2.20x); matches Xenium Excit.L2 concentration (67% of all L2 excitatory cells)
vInhib,GAD1,Literature+Stats+MeanRatio,TRIPLE-CONFIRMED. Canonical GABAergic interneuron marker; own top enrichment gene (one of the strongest pairwise separations in this project); MeanRatio rank 2 (3.74x)
vInhib,GAD2,Literature+Stats+MeanRatio,TRIPLE-CONFIRMED. Canonical GABAergic interneuron marker; own top enrichment gene alongside GAD1; MeanRatio rank 1 (3.81x)
vLD,COX6A1,Stats+MeanRatio,"Own top enrichment gene; MeanRatio rank 1, but a very weak ratio (~1.12x) reflecting this domain's diffuse identity by every metric checked in this project (weakest pairwise separation, most fragmented spatially, no Xenium cell type clears 20% concentration). Not a named marker in Insausti 2017 or Ramsden 2015, though both discuss the underlying layer-specific cytochrome oxidase/mitochondrial activity as relevant context"
vL5a,CUX2,Literature+Stats,"Classic upper-cortical-layer marker, widely used in the neocortical layer literature. Found at rank 10 in the direct vL5a-vs-vL5b pairwise contrast (t=5.29, FDR=1.4e-4) - only visible using the full top-100 modeling results. Not in MeanRatio top10"
vL5a,NTNG1,Stats,Own top enrichment gene for this domain; also the top gene of the corresponding Xenium cluster (xSp11D01). Not in the project's literature marker table; not in MeanRatio top10
vL5b,FEZF2,Literature+Stats,"THE canonical neocortical L5b/subcerebral-projection-neuron master regulator. Found at rank 15 in the direct vL5b-vs-vL5a pairwise contrast (t=4.99, FDR=3.8e-4) using the full top-100 data. NOTE: ETV1 (classically the anti-correlated neocortical L5a marker) is ALSO elevated in vL5b here, not vL5a - a genuine divergence from the standard neocortical L5a/L5b framework, not an error. Not in MeanRatio top10"
vL5b,PCP4,Literature+Stats+MeanRatio,TRIPLE-CONFIRMED. Maynard et al. L5 marker; own top enrichment gene at both k9 and k11; MeanRatio rank 4 (1.24x)
vL6,TLE4,Stats,"Own top gene in the L5-vs-L6 pairwise contrast, confirmed again in the full top-100 data. Widely used as a corticothalamic L6 marker in the broader cortical-layer literature, but this specific citation has not been verified via PubMed search in this project and TLE4 is not in the current lit_layer_marker_summary table. Not in MeanRatio top10"
vWMuf,MBP,Literature+Stats,Maynard et al. WM marker; own top enrichment gene. Not in MeanRatio top10 - vWMuf's own MeanRatio list is dominated by mitochondrial genes with ratios BELOW 1 (reflecting extremely low overall transcriptional content). See CHN1 below for the empirically sharper discriminator
vWMpv,GFAP,Literature+Stats+MeanRatio,"UPDATED interpretation. Own enrichment rank 62 (t=8.74, FDR=2.1e-14) - real and significant despite ranking outside top-10; massively significant against EVERY gray matter domain tested (t=14.7-22.8 vs vInhib/vL2/vL5a/vL5b/vL6/vLD). MeanRatio rank 1, but a very weak ratio (~1.07x) since its closest competitor is vWMd - meaning GFAP alone does not distinguish vWMpv from vWMuf/vWMd specifically. VCAN (versican, a glial-limiting-membrane/perivascular ECM component) shows the same pattern as a second, independent corroborating gene (own enrichment rank 77; significant vs vL5b/vL6/vLD). Together with cross-platform registration - the Xenium GL cluster (SOX9/AQP4/PAX6/GJA1) matches BOTH vL1 (glia limitans superficialis) and vWMpv (glia limitans perivascularis) - this supports a genuine glia-limitans-perivascularis signature in this domain, i.e. astrocyte end-feet on vessels penetrating through white matter, NOT proximity to the large surface vessels captured by vVasc (that spatial-distance test was negative and is a separate, narrower claim)"
vWMd,CNP,Literature+Stats,"Own top enrichment gene; canonical oligodendrocyte/myelin gene (2',3'-cyclic nucleotide 3' phosphodiesterase). Strongest statistic of any gene across all WM pairwise contrasts checked (rank 1 vs vWMuf, t=13.3, FDR=1.4e-28). Not in MeanRatio top10, but two close relatives (PLLP, ABCA2 - also classic oligodendrocyte genes) ARE MeanRatio-confirmed if a triple-confirmed pick is preferred over CNP specifically"
lit,APOE,Literature,
lit,RELN,Literature+Stats,Cajal-Retzius/L1-lineage reelin biology
lit,ETV1,Literature,
lit,BCL11B,Literature,
lit,RORB,Literature,Layer 4 
