cell_type,enrichment_top5,MeanRatio_top5,overlap_top10
OPC.1,"P3H2, CLIC4, DKK2, NRBF2, ENSG00000249112","SAT1, GOLGA8A, CNTN5, TAOK3, RBFOX1",NA
OPC.2,"RPL37, RPL36, RPL13, ADGRB1, RPL34","RPL13, HIP1R, CEROX1",RPL13
OPC.3,"FRMD4A, PKP4, DLG1, TMEM108, PPP2R2B","PLXNA2, PCDH11Y, UTY, NPIPB13, SLC22A15",NA
OPC.4,"B2M, PHLDA1, CNOT4, GPATCH2, PSMA1","B2M, GPATCH2, PSMA1, CD81, CST3","B2M, GPATCH2, PSMA1"
OPC.5,"EXOC7, AATK, PGP, EEF1G, LINC00342","TNK2, MEG3",NA
