"top","model_type","test","gene","stat","pval","fdr","gene_index","logFC","ensembl"
1,"enrichment","OPC.1","P3H2",6.89859613233734,1.90378112013203e-10,2.28187205059025e-06,2704,1.6296538994455,"ENSG00000090530"
2,"enrichment","OPC.1","CLIC4",3.93468204832199,0.000133285259469847,0.615223872241047,150,0.556597670860391,"ENSG00000169504"
3,"enrichment","OPC.1","DKK2",3.16842988003964,0.00189976714237553,0.615223872241047,3055,0.824201587741416,"ENSG00000155011"
4,"enrichment","OPC.1","NRBF2",3.13345422798037,0.00212358039976023,0.615223872241047,6214,0.614707993833629,"ENSG00000148572"
5,"enrichment","OPC.1","ENSG00000249112",3.10005986237825,0.00235986776180129,0.615223872241047,3597,0.708381234683936,"ENSG00000249112"
6,"enrichment","OPC.1","LINC02119",3.06027198379823,0.00267309649867694,0.615223872241047,3339,0.773216780477855,"ENSG00000248461"
7,"enrichment","OPC.1","LINC02246",3.01142319240678,0.00311010184696945,0.615223872241047,11183,0.659964893275377,"ENSG00000281903"
8,"enrichment","OPC.1","ENSG00000258394",2.98021371474729,0.00342284196928457,0.615223872241047,8154,0.764429786739242,"ENSG00000258394"
9,"enrichment","OPC.1","FHDC1",2.96869624589778,0.00354538941312622,0.615223872241047,3171,0.625972731343869,"ENSG00000137460"
10,"enrichment","OPC.1","KIF5C-AS1",2.89678482144796,0.00440633776959155,0.615223872241047,1634,0.68772943319793,"ENSG00000231079"
1,"enrichment","OPC.2","RPL37",5.94809950268418,2.24093026792064e-08,0.000268597901912968,3348,0.814717384518302,"ENSG00000145592"
2,"enrichment","OPC.2","RPL36",4.90590808863363,2.65753863762382e-06,0.0159266290552796,10271,0.8109037384704,"ENSG00000130255"
3,"enrichment","OPC.2","RPL13",4.76306207938414,4.89523302325479e-06,0.019558087672244,9352,0.52480389608141,"ENSG00000167526"
4,"enrichment","OPC.2","ADGRB1",4.61487731752596,9.11323111897769e-06,0.0234694156593687,5514,0.293183317000819,"ENSG00000181790"
5,"enrichment","OPC.2","RPL34",4.57600166393648,1.07044495485159e-05,0.0234694156593687,3061,0.776008949537326,"ENSG00000109475"
6,"enrichment","OPC.2","RPL28",4.55342346784674,1.17484143130496e-05,0.0234694156593687,10796,0.7148700232863,"ENSG00000108107"
7,"enrichment","OPC.2","COL6A1",4.47289837179382,1.63324304841266e-05,0.0279657873975346,11293,0.346748362248301,"ENSG00000142156"
8,"enrichment","OPC.2","RPLP2",4.40340863359815,2.1635149177827e-05,0.0310993732457586,6528,0.756016150228422,"ENSG00000177600"
9,"enrichment","OPC.2","RPS27",4.34422061823274,2.74260586727302e-05,0.0310993732457586,706,0.68889763639696,"ENSG00000177954"
10,"enrichment","OPC.2","RPL10",4.33771086398441,2.81472120074302e-05,0.0310993732457586,11934,0.55452926768718,"ENSG00000147403"
1,"enrichment","OPC.3","FRMD4A",5.68243856480968,7.96024926067755e-08,0.000136302210912116,6083,0.559476795184586,"ENSG00000151474"
2,"enrichment","OPC.3","PKP4",5.2968597193221,4.72140734368971e-07,0.000445936361944765,1661,0.35387347867628,"ENSG00000144283"
3,"enrichment","OPC.3","DLG1",5.29152699988399,4.83661997770895e-07,0.000445936361944765,2742,0.372968817014061,"ENSG00000075711"
4,"enrichment","OPC.3","TMEM108",5.27397338429873,5.23556164071037e-07,0.000448238870182532,2512,0.340956740223571,"ENSG00000144868"
5,"enrichment","OPC.3","PPP2R2B",4.9895183094267,1.84962064382143e-06,0.00138559706480273,3736,0.319221637479884,"ENSG00000156475"
6,"enrichment","OPC.3","SEMA4D",4.8539555431774,3.32415364028113e-06,0.0019127580547675,5752,0.778072166252229,"ENSG00000187764"
7,"enrichment","OPC.3","RAPGEF1",4.78229683254831,4.51310984358062e-06,0.00235191889500684,5976,0.36109936762115,"ENSG00000107263"
8,"enrichment","OPC.3","STRN",4.68317335816911,6.85627477975938e-06,0.00328717238040784,1249,0.31676630550017,"ENSG00000115808"
9,"enrichment","OPC.3","CDK18",4.64046183175753,8.19575531360097e-06,0.00350836868531504,937,1.09361696177434,"ENSG00000117266"
10,"enrichment","OPC.3","MBP",4.61570011813534,9.08467004047118e-06,0.00375478810707199,10176,0.324317752505672,"ENSG00000197971"
1,"enrichment","OPC.4","B2M",8.09247008589607,3.16263918624775e-13,3.79073932863655e-09,8580,1.57639946277274,"ENSG00000166710"
2,"enrichment","OPC.4","PHLDA1",3.5075712952674,0.00061642243881734,0.671676304696785,7507,0.281426919110291,"ENSG00000139289"
3,"enrichment","OPC.4","CNOT4",3.40586083430755,0.000871397175177997,0.805740224555078,4992,0.23589793656292,"ENSG00000080802"
4,"enrichment","OPC.4","GPATCH2",3.37671397552886,0.00096097781625267,0.805740224555078,978,0.424968736155033,"ENSG00000092978"
5,"enrichment","OPC.4","PSMA1",3.34631525197747,0.00106354652798225,0.805740224555078,6603,0.528887625765802,"ENSG00000129084"
6,"enrichment","OPC.4","MARCHF6",3.33095718219068,0.00111917812983684,0.805740224555078,3286,0.231407866579587,"ENSG00000145495"
7,"enrichment","OPC.4","NNT",3.23517866876241,0.00153225802364161,0.866097961013523,3365,0.321403163102995,"ENSG00000112992"
8,"enrichment","OPC.4","ZNF449",3.19136887326458,0.00176513999253543,0.866097961013523,11890,0.629067191247445,"ENSG00000173275"
9,"enrichment","OPC.4","ANKRD37",3.05755294225751,0.00269590881686828,0.866097961013523,3240,0.699466361730913,"ENSG00000186352"
10,"enrichment","OPC.4","CUL3",2.98160704241544,0.00340835667226719,0.866097961013523,1922,0.173301776368,"ENSG00000036257"
1,"enrichment","OPC.5","EXOC7",7.32501299657613,2.03494171316874e-11,1.11526343731324e-10,9903,0.747389164988163,"ENSG00000182473"
2,"enrichment","OPC.5","AATK",6.19582610667148,6.7097521206149e-09,2.13154224536682e-08,9938,0.763986494275697,"ENSG00000181409"
3,"enrichment","OPC.5","PGP",5.26905173437774,5.36027667581035e-07,1.17951672914013e-06,8932,0.951494249225541,"ENSG00000184207"
4,"enrichment","OPC.5","EEF1G",4.89624555595812,2.77448814872175e-06,5.39066541588245e-06,6753,0.741444367491905,"ENSG00000254772"
5,"enrichment","OPC.5","LINC00342",4.82163215904114,3.82091922455841e-06,7.23499807670729e-06,1472,0.585071545346351,"ENSG00000232931"
6,"enrichment","OPC.5","PTGDS",4.70915640258115,6.15341442648548e-06,1.12688808733163e-05,6015,0.738796187834966,"ENSG00000107317"
7,"enrichment","OPC.5","NPC1",4.35753854984304,2.60297515210151e-05,4.34288142721168e-05,10043,0.40846110427508,"ENSG00000141458"
8,"enrichment","OPC.5","NDRG4",4.2908476115654,3.39335012926767e-05,5.58537416223597e-05,9186,0.465899759452301,"ENSG00000103034"
9,"enrichment","OPC.5","ENSG00000282885",3.77866258703852,0.00023669250154424,0.000347033189420093,8172,1.20606854737748,"ENSG00000282885"
10,"enrichment","OPC.5","SRRM2",3.77751156315392,0.000237681937011503,0.000348185736619393,8942,0.408736204561609,"ENSG00000167978"
