cutoff,APOE_carrier,Ancestry,include_APOE,min_PRS,median_PRS,max_PRS
p=0.05,E2+,AA,FALSE,-0.00128119,-0.0012280400000000001,-0.00113651
p=0.05,E2+,AA,TRUE,-0.00123586,-0.00116978,-0.00108318
p=0.05,E2+,EA,FALSE,-0.00133148,-0.0012722150000000002,-0.00122523
p=0.05,E2+,EA,TRUE,-0.00129792,-0.00122777,-0.00119428
p=0.05,E4+,AA,FALSE,-0.00126919,-0.001235095,-0.0011258
p=0.05,E4+,AA,TRUE,-0.00119234,-0.001149985,-0.00104768
p=0.05,E4+,EA,FALSE,-0.0013447,-0.0012660050000000002,-0.00117016
p=0.05,E4+,EA,TRUE,-0.00126462,-0.00116535,-0.0010961
p=0.1,E2+,AA,FALSE,-0.00100845,-9.692184999999999e-4,-9.13948e-4
p=0.1,E2+,AA,TRUE,-9.78522e-4,-9.342715e-4,-8.79035e-4
p=0.1,E2+,EA,FALSE,-0.00104258,-0.00101007,-9.93065e-4
p=0.1,E2+,EA,TRUE,-0.0010212,-9.76957e-4,-9.73291e-4
p=0.1,E4+,AA,FALSE,-0.00101088,-9.625895e-4,-9.1596e-4
p=0.1,E4+,AA,TRUE,-9.51542e-4,-9.092375e-4,-8.65555e-4
p=0.1,E4+,EA,FALSE,-0.00106909,-0.001007421,-9.14426e-4
p=0.1,E4+,EA,TRUE,-0.00101742,-9.466485e-4,-8.6694e-4
p=0.2,E2+,AA,FALSE,-7.71103e-4,-7.43968e-4,-7.0075e-4
p=0.2,E2+,AA,TRUE,-7.53398e-4,-7.251455e-4,-6.79878e-4
p=0.2,E2+,EA,FALSE,-8.05965e-4,-7.644575e-4,-7.45028e-4
p=0.2,E2+,EA,TRUE,-7.93825e-4,-7.4894e-4,-7.31595e-4
p=0.2,E4+,AA,FALSE,-7.71311e-4,-7.304295000000001e-4,-6.82364e-4
p=0.2,E4+,AA,TRUE,-7.34789e-4,-6.989895000000001e-4,-6.53734e-4
p=0.2,E4+,EA,FALSE,-8.14728e-4,-7.62285e-4,-6.97095e-4
p=0.2,E4+,EA,TRUE,-7.82929e-4,-7.30914e-4,-6.68181e-4
p=0.3,E2+,AA,FALSE,-6.77077e-4,-6.491279999999999e-4,-6.20794e-4
p=0.3,E2+,AA,TRUE,-6.63333e-4,-6.34514e-4,-6.04594e-4
p=0.3,E2+,EA,FALSE,-7.04816e-4,-6.702990000000001e-4,-6.43723e-4
p=0.3,E2+,EA,TRUE,-6.95342e-4,-6.58479e-4,-6.33329e-4
p=0.3,E4+,AA,FALSE,-6.77182e-4,-6.391705000000001e-4,-5.93178e-4
p=0.3,E4+,AA,TRUE,-6.48708e-4,-6.142785e-4,-5.70916e-4
p=0.3,E4+,EA,FALSE,-7.1622e-4,-6.715635e-4,-6.14657e-4
p=0.3,E4+,EA,TRUE,-6.91401e-4,-6.456515e-4,-5.92157e-4
p=0.4,E2+,AA,FALSE,-6.19632e-4,-5.975835e-4,-5.7179e-4
p=0.4,E2+,AA,TRUE,-6.08101e-4,-5.853035e-4,-5.58158e-4
p=0.4,E2+,EA,FALSE,-6.45442e-4,-6.11459e-4,-5.94694e-4
p=0.4,E2+,EA,TRUE,-6.37552e-4,-6.03371e-4,-5.86009e-4
p=0.4,E4+,AA,FALSE,-6.22823e-4,-5.898505e-4,-5.47366e-4
p=0.4,E4+,AA,TRUE,-5.98731e-4,-5.699705e-4,-5.28564e-4
p=0.4,E4+,EA,FALSE,-6.52369e-4,-6.15226e-4,-5.69597e-4
p=0.4,E4+,EA,TRUE,-6.31406e-4,-5.933545000000001e-4,-5.50591e-4
p=0.5,E2+,AA,FALSE,-5.73676e-4,-5.557345e-4,-5.32704e-4
p=0.5,E2+,AA,TRUE,-5.63225e-4,-5.446315e-4,-5.20389e-4
p=0.5,E2+,EA,FALSE,-6.03356e-4,-5.686355e-4,-5.53939e-4
p=0.5,E2+,EA,TRUE,-5.96162e-4,-5.607864999999999e-4,-5.45937e-4
p=0.5,E4+,AA,FALSE,-5.76986e-4,-5.468055e-4,-5.07966e-4
p=0.5,E4+,AA,TRUE,-5.55339e-4,-5.289229999999999e-4,-4.91026e-4
p=0.5,E4+,EA,FALSE,-6.09562e-4,-5.740599999999999e-4,-5.30917e-4
p=0.5,E4+,EA,TRUE,-5.90712e-4,-5.543519999999999e-4,-5.13873e-4
p=0.6,E2+,AA,FALSE,-5.30771e-4,-5.15444e-4,-4.93083e-4
p=0.6,E2+,AA,TRUE,-5.21305e-4,-5.054095e-4,-4.81924e-4
p=0.6,E2+,EA,FALSE,-5.58909e-4,-5.275004999999999e-4,-5.12134e-4
p=0.6,E2+,EA,TRUE,-5.52477e-4,-5.18998e-4,-5.04958e-4
p=0.6,E4+,AA,FALSE,-5.33242e-4,-5.06186e-4,-4.68989e-4
p=0.6,E4+,AA,TRUE,-5.13534e-4,-4.899055e-4,-4.53573e-4
p=0.6,E4+,EA,FALSE,-5.66233e-4,-5.322805e-4,-4.91285e-4
p=0.6,E4+,EA,TRUE,-5.49098e-4,-5.143694999999999e-4,-4.75801e-4
p=0.7,E2+,AA,FALSE,-5.00408e-4,-4.86097e-4,-4.66438e-4
p=0.7,E2+,AA,TRUE,-4.91577e-4,-4.7671949999999997e-4,-4.56023e-4
p=0.7,E2+,EA,FALSE,-5.27065e-4,-4.97057e-4,-4.81938e-4
p=0.7,E2+,EA,TRUE,-5.21071e-4,-4.89776e-4,-4.75254e-4
p=0.7,E4+,AA,FALSE,-5.02028e-4,-4.773345e-4,-4.42625e-4
