cell_type_anno,spot_class,type,xenium_n,prop,rctd_class
Astro.1,singlet,first_type,12853,0.7352554201704707,singlet
Astro.1,doublet_certain,first_type,2160,0.12356272524455122,doublet_c_first
Astro.1,doublet_certain,second_type,2418,0.13832160631542817,doublet_c_second
Astro.1,doublet_uncertain,first_type,50,0.002860248269549797,doublet_uncertain
Astro.2,singlet,first_type,14382,0.5093317278747742,singlet
Astro.2,doublet_certain,first_type,3372,0.11941778517547898,doublet_c_first
Astro.2,doublet_certain,second_type,10257,0.3632468038389347,doublet_c_second
Astro.2,doublet_uncertain,first_type,226,0.008003683110812055,doublet_uncertain
Astro.3,singlet,first_type,708,0.4381188118811881,singlet
Astro.3,doublet_certain,first_type,226,0.13985148514851486,doublet_c_first
Astro.3,doublet_certain,second_type,677,0.4189356435643564,doublet_c_second
Astro.3,doublet_uncertain,first_type,5,0.003094059405940594,doublet_uncertain
Astro.4,singlet,first_type,6660,0.5712325242302084,singlet
Astro.4,doublet_certain,first_type,1313,0.1126168625096492,doublet_c_first
Astro.4,doublet_certain,second_type,3422,0.2935071618492152,doublet_c_second
Astro.4,doublet_uncertain,first_type,264,0.02264345141092718,doublet_uncertain
Astro.5,singlet,first_type,29342,0.46286597677940433,singlet
Astro.5,doublet_certain,first_type,9209,0.14527069661786976,doublet_c_first
Astro.5,doublet_certain,second_type,23411,0.369305275113579,doublet_c_second
Astro.5,doublet_uncertain,first_type,1430,0.022558051489146896,doublet_uncertain
Macro,singlet,first_type,1922,0.17392091213464844,singlet
Macro,doublet_certain,first_type,3630,0.3284770608994661,doublet_c_first
Macro,doublet_certain,second_type,5094,0.4609537598407384,doublet_c_second
Macro,doublet_uncertain,first_type,405,0.036648267125147044,doublet_uncertain
Micro.1,singlet,first_type,140,0.18666666666666668,singlet
Micro.1,doublet_certain,first_type,132,0.176,doublet_c_first
Micro.1,doublet_certain,second_type,466,0.6213333333333333,doublet_c_second
Micro.1,doublet_uncertain,first_type,12,0.016,doublet_uncertain
Micro.2,singlet,first_type,8653,0.5279760815180914,singlet
Micro.2,doublet_certain,first_type,5091,0.3106351821343584,doublet_c_first
Micro.2,doublet_certain,second_type,2183,0.13319909695527488,doublet_c_second
Micro.2,doublet_uncertain,first_type,462,0.028189639392275305,doublet_uncertain
Micro.3,singlet,first_type,1238,0.29074682949741665,singlet
Micro.3,doublet_certain,first_type,1049,0.24635979333020197,doublet_c_first
Micro.3,doublet_certain,second_type,1905,0.44739314232033817,doublet_c_second
Micro.3,doublet_uncertain,first_type,66,0.015500234852043212,doublet_uncertain
Micro.4,singlet,first_type,115,0.12834821428571427,singlet
Micro.4,doublet_certain,first_type,216,0.24107142857142858,doublet_c_first
Micro.4,doublet_certain,second_type,556,0.6205357142857143,doublet_c_second
Micro.4,doublet_uncertain,first_type,9,0.010044642857142858,doublet_uncertain
Micro.5,singlet,first_type,11100,0.5486900642609985,singlet
Micro.5,doublet_certain,first_type,5748,0.28413247652001977,doublet_c_first
Micro.5,doublet_certain,second_type,2729,0.13489866534849235,doublet_c_second
Micro.5,doublet_uncertain,first_type,653,0.032278793870489375,doublet_uncertain
OPC.1,singlet,first_type,25,0.13368983957219252,singlet
OPC.1,doublet_certain,first_type,92,0.4919786096256685,doublet_c_first
OPC.1,doublet_certain,second_type,69,0.3689839572192513,doublet_c_second
OPC.1,doublet_uncertain,first_type,1,0.0053475935828877,doublet_uncertain
OPC.2,singlet,first_type,7460,0.5795525170913611,singlet
OPC.2,doublet_certain,first_type,4037,0.3136264760720945,doublet_c_first
OPC.2,doublet_certain,second_type,1071,0.08320385332504661,doublet_c_second
OPC.2,doublet_uncertain,first_type,304,0.023617153511497825,doublet_uncertain
OPC.3,singlet,first_type,12,0.11009174311926606,singlet
OPC.3,doublet_certain,first_type,17,0.1559633027522936,doublet_c_first
OPC.3,doublet_certain,second_type,78,0.7155963302752294,doublet_c_second
OPC.3,doublet_uncertain,first_type,2,0.01834862385321101,doublet_uncertain
OPC.4,singlet,first_type,1726,0.3048931284225402,singlet
OPC.4,doublet_certain,first_type,1804,0.3186716127892599,doublet_c_first
OPC.4,doublet_certain,second_type,1915,0.33827945592651476,doublet_c_second
OPC.4,doublet_uncertain,first_type,216,0.03815580286168521,doublet_uncertain
OPC.5,singlet,first_type,8040,0.6072048938901896,singlet
OPC.5,doublet_certain,first_type,2947,0.22256627142965033,doublet_c_first
OPC.5,doublet_certain,second_type,2065,0.1559549882939355,doublet_c_second
OPC.5,doublet_uncertain,first_type,189,0.014273846386224606,doublet_uncertain
Oligo.1,singlet,first_type,9934,0.4641622278291748,singlet
Oligo.1,doublet_certain,first_type,6435,0.30067283431455005,doublet_c_first
Oligo.1,doublet_certain,second_type,4600,0.21493318381459678,doublet_c_second
Oligo.1,doublet_uncertain,first_type,433,0.02023175404167835,doublet_uncertain
Oligo.2,singlet,first_type,9335,0.6168230474428439,singlet
Oligo.2,doublet_certain,first_type,2254,0.14893617021276595,doublet_c_first
Oligo.2,doublet_certain,second_type,3240,0.21408748513281353,doublet_c_second
Oligo.2,doublet_uncertain,first_type,305,0.020153297211576583,doublet_uncertain
Oligo.3,singlet,first_type,52555,0.7692251397792804,singlet
Oligo.3,doublet_certain,first_type,8701,0.1273528292497292,doublet_c_first
Oligo.3,doublet_certain,second_type,6491,0.09500600099528703,doublet_c_second
Oligo.3,doublet_uncertain,first_type,575,0.008416029975703287,doublet_uncertain
Oligo.4,singlet,first_type,29094,0.6943012600229095,singlet
Oligo.4,doublet_certain,first_type,8002,0.19096029018709432,doublet_c_first
Oligo.4,doublet_certain,second_type,4094,0.09769950362733867,doublet_c_second
Oligo.4,doublet_uncertain,first_type,714,0.0170389461626575,doublet_uncertain
Oligo.5,singlet,first_type,2059,0.4288689856279942,singlet
Oligo.5,doublet_certain,first_type,1427,0.2972297438033743,doublet_c_first
Oligo.5,doublet_certain,second_type,1237,0.25765465528014997,doublet_c_second
Oligo.5,doublet_uncertain,first_type,78,0.016246615288481567,doublet_uncertain
Vasc.Endo,singlet,first_type,27136,0.6771303805364941,singlet
Vasc.Endo,doublet_certain,first_type,7580,0.18914535246412975,doublet_c_first
Vasc.Endo,doublet_certain,second_type,3978,0.09926388022457891,doublet_c_second
Vasc.Endo,doublet_uncertain,first_type,1381,0.03446038677479726,doublet_uncertain
Vasc.PC,singlet,first_type,20007,0.6739086499595797,singlet
Vasc.PC,doublet_certain,first_type,5199,0.17512126111560225,doublet_c_first
Vasc.PC,doublet_certain,second_type,2787,0.0938763136620857,doublet_c_second
Vasc.PC,doublet_uncertain,first_type,1695,0.05709377526273242,doublet_uncertain
Vasc.VLMC,singlet,first_type,5076,0.43974703283375205,singlet
Vasc.VLMC,doublet_certain,first_type,3052,0.2644026682838084,doublet_c_first
Vasc.VLMC,doublet_certain,second_type,2658,0.23026942735857228,doublet_c_second
Vasc.VLMC,doublet_uncertain,first_type,757,0.06558087152386728,doublet_uncertain
Excit.L2,singlet,first_type,11459,0.3896161300193805,singlet
Excit.L2,doublet_certain,first_type,9218,0.31342014892387204,doublet_c_first
Excit.L2,doublet_certain,second_type,7470,0.25398660365169495,doublet_c_second
Excit.L2,doublet_uncertain,first_type,1264,0.04297711740505253,doublet_uncertain
Excit.L2_5.1,singlet,first_type,4907,0.3243868579361407,singlet
Excit.L2_5.1,doublet_certain,first_type,3663,0.24214979837376877,doublet_c_first
Excit.L2_5.1,doublet_certain,second_type,5090,0.33648443181066967,doublet_c_second
Excit.L2_5.1,doublet_uncertain,first_type,1467,0.0969789118794209,doublet_uncertain
Excit.L2_5.2,singlet,first_type,3307,0.3380699243508485,singlet
Excit.L2_5.2,doublet_certain,first_type,2736,0.27969740339398896,doublet_c_first
Excit.L2_5.2,doublet_certain,second_type,3190,0.32610918012676343,doublet_c_second
Excit.L2_5.2,doublet_uncertain,first_type,549,0.0561234921283991,doublet_uncertain
Excit.L5.1,singlet,first_type,3752,0.31222434883914457,singlet
Excit.L5.1,doublet_certain,first_type,3787,0.3151368894066739,doublet_c_first
Excit.L5.1,doublet_certain,second_type,3810,0.3170508446367646,doublet_c_second
Excit.L5.1,doublet_uncertain,first_type,668,0.05558791711741699,doublet_uncertain
Excit.L5.2,singlet,first_type,1331,0.40492850623668997,singlet
Excit.L5.2,doublet_certain,first_type,931,0.2832369942196532,doublet_c_first
Excit.L5.2,doublet_certain,second_type,946,0.28780042592029204,doublet_c_second
Excit.L5.2,doublet_uncertain,first_type,79,0.02403407362336477,doublet_uncertain
Excit.L5_6_NP,singlet,first_type,294,0.1587473002159827,singlet
Excit.L5_6_NP,doublet_certain,first_type,546,0.29481641468682507,doublet_c_first
Excit.L5_6_NP,doublet_certain,second_type,870,0.46976241900647947,doublet_c_second
Excit.L5_6_NP,doublet_uncertain,first_type,142,0.07667386609071274,doublet_uncertain
Excit.L6_CT,singlet,first_type,1398,0.18320010483553925,singlet
Excit.L6_CT,doublet_certain,first_type,2886,0.3781942078364566,doublet_c_first
Excit.L6_CT,doublet_certain,second_type,2594,0.3399292360110077,doublet_c_second
Excit.L6_CT,doublet_uncertain,first_type,753,0.09867645131699646,doublet_uncertain
Excit.L6b,singlet,first_type,1424,0.16573556797020483,singlet
Excit.L6b,doublet_certain,first_type,2776,0.3230912476722533,doublet_c_first
Excit.L6b,doublet_certain,second_type,3622,0.42155493482309125,doublet_c_second
Excit.L6b,doublet_uncertain,first_type,770,0.08961824953445065,doublet_uncertain
Inhib.Chandelier,singlet,first_type,764,0.45260663507109006,singlet
Inhib.Chandelier,doublet_certain,first_type,569,0.33708530805687204,doublet_c_first
Inhib.Chandelier,doublet_certain,second_type,244,0.14454976303317535,doublet_c_second
Inhib.Chandelier,doublet_uncertain,first_type,111,0.06575829383886256,doublet_uncertain
Inhib.Lamp5_Lhx6,singlet,first_type,2577,0.4110047846889952,singlet
Inhib.Lamp5_Lhx6,doublet_certain,first_type,2287,0.36475279106858055,doublet_c_first
Inhib.Lamp5_Lhx6,doublet_certain,second_type,1004,0.16012759170653906,doublet_c_second
Inhib.Lamp5_Lhx6,doublet_uncertain,first_type,402,0.06411483253588517,doublet_uncertain
Inhib.Pax6,singlet,first_type,721,0.3130699088145897,singlet
Inhib.Pax6,doublet_certain,first_type,821,0.35649153278332607,doublet_c_first
Inhib.Pax6,doublet_certain,second_type,597,0.2592270950933565,doublet_c_second
Inhib.Pax6,doublet_uncertain,first_type,164,0.07121146330872774,doublet_uncertain
Inhib.Pvalb,singlet,first_type,2734,0.39360783184566656,singlet
Inhib.Pvalb,doublet_certain,first_type,2113,0.30420385833573277,doublet_c_first
Inhib.Pvalb,doublet_certain,second_type,1706,0.24560898358767635,doublet_c_second
Inhib.Pvalb,doublet_uncertain,first_type,393,0.05657932623092427,doublet_uncertain
Inhib.Sst,singlet,first_type,1853,0.281482606714264,singlet
Inhib.Sst,doublet_certain,first_type,2274,0.34543521190946375,doublet_c_first
