Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to6,Feature log2 fold change topic 3to6,Feature count topic 7to9,Feature log2 fold change topic 7to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000228794,LINC01128,15,-0.9776,15,-1.0197,26,-0.2362,26,-0.2158,15,-1.0063,61,1.42034
ENSG00000188976,NOC2L,6,-3.1759,32,-0.7617,66,0.48673,48,-0.1831,58,0.13094,67,0.40761
ENSG00000188290,HES4,677,3.51560,3,-5.0680,66,-0.9956,84,-0.4898,21,-2.4897,52,-1.2147
ENSG00000187608,ISG15,438,3.14552,33,-1.3572,46,-1.1013,49,-0.9092,16,-2.3725,80,-0.0391
ENSG00000188157,AGRN,194,2.67454,28,-0.6813,27,-0.9276,36,-0.3712,13,-1.8024,37,-0.2891
ENSG00000078808,SDF4,43,-0.9482,82,0.05499,63,-0.4696,101,0.47445,57,-0.5176,108,0.55566
ENSG00000176022,B3GALT6,0,-6.7466,14,-1.4579,39,0.03796,53,0.66738,29,-0.4408,50,0.48754
ENSG00000160087,UBE2J2,18,-1.5954,52,-0.0092,60,0.30196,41,-0.4523,36,-0.5479,79,0.75356
ENSG00000162572,SCNN1D,37,1.35097,16,-0.0288,18,0.26619,5,-1.7823,17,0.12743,17,0.09233
ENSG00000131584,ACAP3,54,-1.1341,102,-0.1720,115,0.02825,99,-0.2591,163,0.58273,143,0.41199
ENSG00000127054,INTS11,45,-0.4728,61,0.00162,47,-0.5342,70,0.26874,36,-0.7988,96,0.82988
ENSG00000224051,CPTP,45,0.23379,16,-1.3550,41,0.08016,36,-0.1378,26,-0.6020,55,0.61342
ENSG00000107404,DVL1,1,-5.7014,71,0.13908,78,0.41517,63,-0.0681,79,0.29791,65,-0.0125
ENSG00000175756,AURKAIP1,61,-0.8650,90,-0.2873,90,-0.3676,130,0.37046,178,0.81168,107,-0.0164
ENSG00000221978,CCNL2,98,0.93820,75,0.48778,47,-0.3209,51,-0.1271,23,-1.3045,61,0.16716
ENSG00000242485,MRPL20,134,0.02483,142,0.12017,113,-0.3210,136,0.06968,187,0.56485,128,-0.0502
ENSG00000235098,ANKRD65,0,-5.8360,60,1.82403,16,-0.4282,17,-0.2771,14,-0.4971,25,0.39089
ENSG00000179403,VWA1,139,1.48559,306,3.15592,28,-1.3309,34,-0.8931,0,-9.1539,10,-2.6274
ENSG00000160072,ATAD3B,0,-5.3254,15,0.11006,17,0.45468,9,-0.8462,5,-1.4545,27,1.18954
