Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8
ENSG00000228794,LINC01128,11,-0.5049,20,0.80951,6,-1.2844,13,-0.2162
ENSG00000188976,NOC2L,40,-0.3139,74,1.14629,32,-0.6680,31,-0.8947
ENSG00000188290,HES4,32,-0.7136,46,-0.2148,76,0.70099,52,0.09529
ENSG00000187608,ISG15,52,0.73262,21,-0.9110,40,0.30186,37,0.25072
ENSG00000188157,AGRN,8,-1.0893,20,0.36189,21,0.35426,16,-0.1732
ENSG00000078808,SDF4,130,0.70262,77,-0.2423,108,0.38827,73,-0.3683
ENSG00000176022,B3GALT6,53,0.55833,38,0.01279,44,0.24466,30,-0.4556
ENSG00000160087,UBE2J2,21,-1.0611,49,0.36472,52,0.33806,39,-0.1744
ENSG00000131584,ACAP3,18,-1.8880,70,0.35111,52,-0.2489,68,0.28306
ENSG00000127054,INTS11,39,-0.3045,55,0.38115,51,0.14147,40,-0.3402
ENSG00000224051,CPTP,46,0.49194,41,0.47105,42,0.33817,20,-1.0416
ENSG00000107404,DVL1,18,-1.8417,62,0.12082,67,0.21334,66,0.29942
ENSG00000175756,AURKAIP1,104,-0.8159,149,-0.3279,187,0.12463,216,0.54491
ENSG00000221978,CCNL2,69,0.65729,47,0.01756,47,-0.0041,39,-0.3932
ENSG00000242485,MRPL20,204,-0.0091,190,-0.1685,234,0.22213,211,0.06013
ENSG00000179403,VWA1,63,-0.2296,50,-0.7656,117,0.82355,82,0.32295
ENSG00000197785,ATAD3A,25,0.64273,17,-0.0359,19,0.15780,14,-0.4107
ENSG00000205090,TMEM240,29,-0.4186,56,1.01987,19,-1.1245,30,-0.5332
ENSG00000160075,SSU72,114,-0.4145,150,0.05010,164,0.17577,150,0.03728
ENSG00000228594,FNDC10,17,-0.8949,42,0.81019,13,-1.2991,30,-0.0862
ENSG00000272106,AL691432.2,4,-2.5945,31,0.54821,17,-0.5944,28,0.28975
ENSG00000197530,MIB2,26,-0.2470,39,0.66008,17,-0.9193,27,-0.2480
ENSG00000189339,SLC35E2B,31,-0.3943,43,0.22427,43,0.13750,37,-0.1303
ENSG00000215790,SLC35E2A,1,-3.4964,15,0.53794,5,-1.2428,15,0.53468
ENSG00000008130,NADK,19,-0.1420,26,0.54571,10,-1.1685,20,-0.1011
ENSG00000078369,GNB1,390,0.04309,397,0.10246,415,0.14454,348,-0.1973
ENSG00000187730,GABRD,47,-0.0158,62,0.70302,22,-1.1983,41,-0.3275
ENSG00000067606,PRKCZ,79,-1.1166,209,0.67807,112,-0.5681,154,-0.0899
ENSG00000162585,FAAP20,113,0.79033,60,-0.3671,66,-0.1208,70,-0.0415
ENSG00000157933,SKI,36,0.00385,41,0.25785,40,0.15112,31,-0.3500
ENSG00000157916,RER1,23,-1.3988,68,0.37600,90,0.75831,49,-0.3756
ENSG00000157911,PEX10,48,0.52544,34,-0.0548,23,-0.6934,36,0.04385
ENSG00000197921,HES5,41,0.82862,16,-0.9000,8,-1.6679,34,0.80223
ENSG00000157870,PRXL2B,27,-1.3454,84,0.67179,59,-0.1455,59,-0.1962
ENSG00000177133,PRDM16-DT,2,-3.1720,13,-0.8373,14,-0.6308,36,1.62083
ENSG00000158109,TPRG1L,139,-0.2936,203,0.48103,105,-0.7313,160,-0.0892
ENSG00000130764,LRRC47,63,-0.2025,87,0.46231,89,0.35984,54,-0.6106
ENSG00000116198,CEP104,13,-0.7557,24,0.30747,19,-0.1432,21,0.03887
ENSG00000196581,AJAP1,4,-2.8379,54,1.64244,11,-1.6113,23,-0.5985
ENSG00000069424,KCNAB2,107,-0.4953,168,0.34815,148,0.03085,134,-0.1713
ENSG00000116254,CHD5,203,0.57543,187,0.65951,73,-1.0765,106,-0.6654
