Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,25,-0.5663,73,1.15556,48,0.43915,40,0.14403,54,0.63702,42,0.22142,27,-0.4540,24,-0.6477,17,-1.1453,15,-1.3991
ENSG00000188976,NOC2L,87,0.62862,81,0.50536,46,-0.4072,76,0.40410,72,0.33063,42,-0.5422,62,0.07770,39,-0.6319,46,-0.3959,40,-0.5962
ENSG00000188290,HES4,130,0.06790,158,0.38546,128,0.04411,105,-0.2736,40,-1.7217,64,-1.0280,161,0.42102,131,0.08231,102,-0.3216,226,0.99516
ENSG00000187608,ISG15,82,-0.3823,178,0.87567,123,0.25680,110,0.08197,47,-1.2333,36,-1.6224,126,0.30003,128,0.31911,73,-0.5764,145,0.53041
ENSG00000188157,AGRN,42,-0.8230,104,0.62433,76,0.09684,98,0.51425,40,-0.9022,61,-0.2375,80,0.18343,62,-0.2252,53,-0.4527,96,0.49438
ENSG00000078808,SDF4,106,0.14067,128,0.44709,90,-0.1266,93,-0.0663,95,-0.0379,94,-0.0509,77,-0.3733,70,-0.5222,104,0.11383,115,0.27288
ENSG00000176022,B3GALT6,26,-0.4700,47,0.45464,35,0.00512,37,0.08695,38,0.13494,38,0.12837,21,-0.8015,51,0.59465,34,-0.0421,24,-0.5693
ENSG00000160087,UBE2J2,35,-0.7064,47,-0.2703,65,0.24856,55,-0.0093,69,0.33261,95,0.87457,50,-0.1668,52,-0.1037,48,-0.2281,41,-0.4867
ENSG00000131584,ACAP3,153,0.34041,132,0.09708,156,0.37501,95,-0.4174,158,0.39973,151,0.32398,64,-1.0165,88,-0.5270,109,-0.2009,131,0.09297
ENSG00000127054,INTS11,72,0.04823,72,0.05159,58,-0.2927,65,-0.1183,78,0.16588,83,0.27565,90,0.40332,61,-0.2299,52,-0.4658,70,-0.0135
ENSG00000224051,CPTP,34,0.01489,39,0.27178,27,-0.3073,38,0.21701,27,-0.3440,57,0.88726,44,0.43434,24,-0.5083,26,-0.3999,17,-1.0072
