Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to6,Feature log2 fold change topic 3to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000188976,NOC2L,131,1.13522,64,-0.0798,80,0.47310,47,-0.5793,22,-1.8078
ENSG00000188290,HES4,30,-1.4868,224,1.88022,62,-0.5761,69,-0.2112,69,-0.2336
ENSG00000187608,ISG15,30,-1.3361,138,1.13462,74,0.09435,56,-0.3753,60,-0.2945
ENSG00000078808,SDF4,30,-1.3731,187,1.66579,85,0.41055,18,-2.0947,41,-0.9842
ENSG00000160087,UBE2J2,30,-0.6199,26,-0.8113,53,0.49308,66,0.64576,33,-0.5311
ENSG00000131584,ACAP3,36,-1.6095,60,-0.8409,146,1.07906,114,0.16692,67,-0.7632
ENSG00000127054,INTS11,30,-0.8816,72,0.51910,61,0.40509,54,0.05471,37,-0.6367
ENSG00000224051,CPTP,30,-0.4360,71,0.99150,44,0.26597,29,-0.4629,25,-0.7770
ENSG00000107404,DVL1,30,-1.4086,46,-0.7637,85,0.36756,57,-0.4344,99,0.54273
ENSG00000175756,AURKAIP1,30,-2.1232,55,-1.2183,131,0.22830,187,0.73204,144,0.33869
ENSG00000221978,CCNL2,30,-1.2165,136,1.25123,77,0.43545,52,-0.3772,33,-1.1770
ENSG00000242485,MRPL20,30,-2.4806,124,-0.3447,167,0.22985,207,0.49134,176,0.26044
ENSG00000205090,TMEM240,30,-1.0276,7,-3.0342,78,0.90535,65,0.19239,53,-0.1704
ENSG00000160075,SSU72,39,-1.9950,141,-0.0372,171,0.46878,188,0.43934,124,-0.2784
ENSG00000228594,FNDC10,87,1.02198,39,-0.3070,43,-0.2179,36,-0.4541,46,-0.0639
ENSG00000197530,MIB2,30,-0.3090,26,-0.5485,46,0.68898,26,-0.5177,30,-0.3218
ENSG00000189339,SLC35E2B,30,-0.2175,0,-6.4465,43,0.66231,37,0.12885,34,0.00267
ENSG00000078369,GNB1,47,-3.2206,271,-0.6173,483,0.53825,578,0.61488,384,-0.0752
