Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to8,Feature log2 fold change topic 7to8
ENSG00000228794,LINC01128,6,-1.2382,14,0.12601,12,-0.0948,16,0.42620
ENSG00000188976,NOC2L,43,-0.1619,70,1.00382,36,-0.5153,29,-0.9000
ENSG00000188290,HES4,44,-0.2232,52,0.08471,59,0.31098,42,-0.3303
ENSG00000187608,ISG15,67,1.24293,22,-0.8407,32,-0.0362,33,0.00814
ENSG00000188157,AGRN,20,0.26713,14,-0.4058,14,-0.3570,22,0.59628
ENSG00000078808,SDF4,182,1.33416,77,-0.2337,66,-0.4844,70,-0.3710
ENSG00000176022,B3GALT6,47,0.38156,42,0.25488,30,-0.4387,34,-0.1706
ENSG00000160087,UBE2J2,47,0.18969,47,0.23992,43,0.04595,32,-0.5148
ENSG00000131584,ACAP3,47,-0.4207,63,0.07427,65,0.12938,61,-0.0058
ENSG00000127054,INTS11,55,0.35294,52,0.37727,36,-0.3792,36,-0.3817
ENSG00000224051,CPTP,45,0.65179,33,0.16607,21,-0.6479,29,-0.0863
ENSG00000107404,DVL1,45,-0.3504,50,-0.2622,65,0.29121,62,0.19408
ENSG00000175756,AURKAIP1,160,-0.1548,169,-0.0850,191,0.16290,178,0.02474
ENSG00000221978,CCNL2,65,0.68543,45,0.08083,37,-0.2922,37,-0.3179
ENSG00000242485,MRPL20,178,-0.1257,190,-0.0222,208,0.15464,186,-0.0606
ENSG00000179403,VWA1,41,-0.7229,34,-1.3048,46,-0.6306,143,1.86156
ENSG00000197785,ATAD3A,2,-2.7090,22,1.05269,12,-0.3973,13,-0.2229
ENSG00000205090,TMEM240,26,-0.5313,53,0.96713,36,-0.0490,18,-1.2018
ENSG00000160075,SSU72,154,0.16283,147,0.12260,148,0.10696,113,-0.3895
ENSG00000228594,FNDC10,6,-2.4884,49,1.18480,31,-0.0813,20,-0.8223
ENSG00000272106,AL691432.2,45,0.77771,31,0.17475,21,-0.5375,24,-0.3029
ENSG00000197530,MIB2,28,-0.0684,35,0.40855,30,0.02172,22,-0.5646
ENSG00000189339,SLC35E2B,41,0.04444,46,0.33755,38,-0.1131,33,-0.3722
ENSG00000008130,NADK,27,0.33126,23,0.17587,19,-0.2385,19,-0.2127
ENSG00000078369,GNB1,372,0.00543,421,0.30775,330,-0.2190,335,-0.1927
ENSG00000187730,GABRD,38,-0.3422,72,1.12253,47,-0.0323,16,-1.8160
ENSG00000067606,PRKCZ,109,-0.5965,214,0.78054,156,-0.0283,101,-0.8095
ENSG00000162585,FAAP20,76,0.19727,71,0.12703,66,-0.0344,58,-0.2591
ENSG00000157933,SKI,37,0.01651,45,0.47460,27,-0.5723,35,-0.1101
ENSG00000157916,RER1,60,0.08984,58,0.03769,35,-0.8979,77,0.59670
ENSG00000157911,PEX10,22,-0.5976,32,-0.0027,29,-0.1835,40,0.44593
ENSG00000197921,HES5,16,-0.5074,16,-0.5741,26,0.37486,28,0.49517
ENSG00000157870,PRXL2B,35,-0.9137,67,0.18540,54,-0.2436,75,0.39174
ENSG00000177133,PRDM16-DT,0,-5.8993,13,-0.8566,33,1.00267,29,0.68101
ENSG00000158109,TPRG1L,133,-0.2983,206,0.64464,150,-0.1205,113,-0.6297
ENSG00000130764,LRRC47,74,0.10152,84,0.47339,49,-0.6444,66,-0.1027
ENSG00000116198,CEP104,1,-3.6945,17,-0.1982,15,-0.3913,33,1.25496
ENSG00000196581,AJAP1,22,-0.5899,48,1.07834,26,-0.3931,19,-0.8950
ENSG00000069424,KCNAB2,139,0.02071,149,0.18604,146,0.12514,110,-0.4048
ENSG00000116254,CHD5,102,-0.3941,171,0.67967,116,-0.2177,99,-0.5153
ENSG00000116251,RPL22,1378,1.12155,472,-0.8953,765,0.10073,743,0.04324
ENSG00000116237,ICMT,22,-0.5581,44,0.93640,25,-0.4167,22,-0.6298
ENSG00000097021,ACOT7,239,0.18915,281,0.69331,186,-0.2636,128,-0.9154
ENSG00000171680,PLEKHG5,32,0.82089,22,0.30362,11,-1.0068,18,-0.1521
ENSG00000162408,NOL9,5,-2.8358,45,0.79678,28,-0.2849,34,0.03976
ENSG00000162413,KLHL21,46,0.76385,28,-0.0941,24,-0.3737,28,-0.0753
ENSG00000116273,PHF13,11,-0.5938,22,0.81001,12,-0.5439,14,-0.2851
ENSG00000041988,THAP3,34,0.51668,26,0.16580,20,-0.4131,22,-0.1763
ENSG00000007923,DNAJC11,0,-5.4334,45,1.01894,22,-0.5884,32,0.12454
ENSG00000171735,CAMTA1,79,-0.9159,157,0.26676,139,-0.0228,148,0.10088
ENSG00000049245,VAMP3,27,-0.9108,30,-0.9609,41,-0.2984,93,1.47256
ENSG00000049246,PER3,17,-0.7435,31,0.20619,14,-1.2025,44,0.91424
ENSG00000116288,PARK7,323,-0.1665,344,-0.0927,419,0.31007,336,-0.1209
ENSG00000116285,ERRFI1,4,-2.1430,24,0.94871,10,-0.8228,18,0.17542
ENSG00000162426,SLC45A1,13,-0.7448,25,0.37766,15,-0.5828,26,0.37183
ENSG00000142599,RERE,161,0.75564,93,-0.2385,85,-0.3630,109,0.09626
ENSG00000074800,ENO1,888,0.27396,783,0.09109,643,-0.2976,752,-0.0041
ENSG00000171612,SLC25A33,27,-0.0953,18,-0.9170,27,-0.0490,45,0.98334
ENSG00000188807,TMEM201,11,-0.2768,17,0.61855,14,0.11117,8,-0.9140
ENSG00000171603,CLSTN1,497,0.06964,630,0.71516,319,-0.7268,392,-0.3636
ENSG00000178585,CTNNBIP1,18,-1.1501,53,0.84252,38,-0.0062,26,-0.6817
ENSG00000162441,LZIC,58,0.54145,28,-0.8149,33,-0.4151,63,0.83913
ENSG00000130939,UBE4B,56,0.43513,59,0.79534,21,-1.2154,35,-0.3928
ENSG00000054523,KIF1B,260,-0.3990,370,0.25354,315,-0.1022,330,-0.0130
ENSG00000142657,PGD,91,0.68136,67,0.24297,34,-1.0195,62,0.05473
ENSG00000241563,CORT,18,-3.6580,518,4.34475,29,-3.2059,25,-3.4423
ENSG00000160049,DFFA,42,0.08795,41,0.06845,30,-0.5111,46,0.31026
ENSG00000142655,PEX14,5,-2.2438,38,1.27985,11,-1.3203,25,0.07579
ENSG00000120948,TARDBP,71,0.33666,63,0.18232,37,-0.7954,66,0.22951
ENSG00000116649,SRM,163,0.61193,116,0.05235,99,-0.2572,100,-0.2479
ENSG00000171824,EXOSC10,28,0.47077,17,-0.4697,14,-0.7847,32,0.81923
ENSG00000198793,MTOR,54,0.47014,39,-0.0890,29,-0.5840,47,0.30890
ENSG00000116661,FBXO2,302,-0.0538,245,-0.5251,378,0.38380,351,0.23437
ENSG00000132879,FBXO44,57,-0.8283,130,0.76583,90,-0.1285,72,-0.5364
ENSG00000116670,MAD2L2,12,-0.9875,19,-0.3694,19,-0.3539,37,1.05268
ENSG00000177674,AGTRAP,20,0.15403,8,-1.5355,16,-0.2261,35,1.40928
ENSG00000177000,MTHFR,12,-0.4212,20,0.66651,10,-0.6958,15,-0.0375
ENSG00000011021,CLCN6,70,0.30843,85,1.02309,36,-0.8555,33,-0.9783
ENSG00000116685,KIAA2013,29,-0.2236,38,0.32771,22,-0.7053,39,0.30518
ENSG00000083444,PLOD1,14,-0.3522,15,-0.2256,12,-0.6490,26,0.90883
ENSG00000116688,MFN2,92,0.09707,97,0.25008,67,-0.4754,90,0.05822
ENSG00000116691,MIIP,9,-1.0382,16,-0.1099,14,-0.3052,25,0.78729
ENSG00000048707,VPS13D,81,0.79145,49,-0.0970,41,-0.4103,49,-0.0632
ENSG00000162496,DHRS3,7,-1.9332,24,-0.1407,18,-0.6393,45,1.20912
ENSG00000116731,PRDM2,31,-0.7086,56,0.36537,45,-0.1354,48,0.00642
ENSG00000189337,KAZN,15,-1.8360,68,0.71254,47,-0.1654,48,-0.1046
ENSG00000142634,EFHD2,50,-1.1448,140,0.78198,95,-0.1522,83,-0.4080
ENSG00000116138,DNAJC16,7,-1.5830,28,0.84570,12,-0.8907,23,0.24575
