Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to8,Feature log2 fold change topic 6to8
ENSG00000185477,GPRIN3,13,0.53375,3,-1.7618,20,1.53238,3,-1.8440
ENSG00000145335,SNCA,387,-0.6924,514,-0.1562,692,0.40412,617,0.20762
ENSG00000163104,SMARCAD1,13,-0.5381,11,-0.7494,22,0.41002,20,0.31874
ENSG00000163110,PDLIM5,70,1.94164,23,-0.4501,21,-0.7046,14,-1.5097
ENSG00000138696,BMPR1B,44,1.98612,11,-0.8973,12,-0.8265,10,-1.2497
ENSG00000182168,UNC5C,12,0.11759,9,-0.3097,16,0.66965,8,-0.5931
ENSG00000138698,RAP1GDS1,75,-0.5582,129,0.41206,111,0.18436,103,0.03665
ENSG00000168785,TSPAN5,57,-0.9196,67,-0.5646,97,0.03280,129,0.78207
ENSG00000151247,EIF4E,93,-0.0498,86,-0.1716,94,-0.0420,102,0.14777
ENSG00000164024,METAP1,16,-0.9331,52,1.12875,18,-0.7042,32,0.40955
ENSG00000197894,ADH5,116,0.47891,83,-0.1591,86,-0.1032,81,-0.2681
ENSG00000109270,LAMTOR3,49,-0.5536,58,-0.2312,78,0.29663,74,0.24721
ENSG00000164031,DNAJB14,58,-0.5391,47,-0.7921,111,0.72811,79,0.03962
ENSG00000164032,H2AFZ,182,-0.5889,272,0.13373,232,-0.1477,302,0.45796
ENSG00000138814,PPP3CA,288,-1.0065,504,-0.0109,646,0.48798,561,0.24140
ENSG00000254531,AP001816.1,27,0.23388,36,0.70584,19,-0.3606,20,-0.3286
ENSG00000109332,UBE2D3,163,-0.1314,151,-0.2367,194,0.19917,178,0.04166
ENSG00000145354,CISD2,49,-0.6603,78,0.16091,71,0.00127,83,0.37701
ENSG00000164038,SLC9B2,11,-0.8014,25,0.68378,22,0.50701,15,-0.2758
ENSG00000164039,BDH2,102,1.66817,26,-0.9904,47,-0.0962,23,-1.4428
ENSG00000168772,CXXC4,21,-0.5901,20,-0.5804,70,2.16313,10,-1.9720
ENSG00000138777,PPA2,50,-0.1701,52,-0.0689,50,-0.1614,61,0.28300
ENSG00000145348,TBCK,13,-0.6715,17,-0.2465,14,-0.5478,28,0.93226
ENSG00000164022,AIMP1,31,0.08850,27,-0.1618,32,0.13577,28,-0.1117
ENSG00000138801,PAPSS1,65,-0.5299,54,-0.7574,121,0.68482,89,0.06508
ENSG00000138796,HADH,44,0.30105,21,-0.9030,30,-0.4183,44,0.37892
ENSG00000109475,RPL34,3849,0.90628,2672,0.10859,2056,-0.3662,1845,-0.6503
ENSG00000198856,OSTC,30,-0.1547,30,-0.1242,29,-0.2576,38,0.36359
ENSG00000164089,ETNPPL,560,1.70164,212,-0.3851,173,-0.7969,158,-1.0871
ENSG00000138802,SEC24B,21,-0.2474,20,-0.2686,20,-0.3189,30,0.52813
ENSG00000005059,MCUB,14,0.19682,24,1.09438,15,0.26946,7,-1.2343
ENSG00000123739,PLA2G12A,38,-0.2182,68,0.81650,43,0.02778,36,-0.3330
ENSG00000109534,GAR1,10,-0.4951,21,0.72518,10,-0.4988,16,0.31164
ENSG00000170522,ELOVL6,17,-0.0811,9,-1.0399,33,1.31264,12,-0.9063
ENSG00000138660,AP1AR,26,-0.7574,61,0.73607,41,0.07007,40,0.05431
ENSG00000174720,LARP7,50,0.53785,34,-0.2232,42,0.16822,30,-0.5383
ENSG00000145362,ANK2,338,-0.3791,438,0.09073,513,0.42547,392,-0.1263
ENSG00000145349,CAMK2D,111,-1.1882,148,-0.6172,248,0.25572,292,0.75147
ENSG00000174607,UGT8,30,3.65697,3,-1.7322,4,-1.2705,0,-4.3022
ENSG00000164100,NDST3,5,-1.9701,9,-0.8283,17,0.09470,25,1.23003
ENSG00000269893,SNHG8,208,0.31363,193,0.13533,170,-0.0864,158,-0.2683
ENSG00000145388,METTL14,11,0.31882,5,-0.9089,9,-0.0937,10,0.13760
ENSG00000172403,SYNPO2,15,0.22823,1,-3.3454,26,1.59150,7,-1.2255
ENSG00000145390,USP53,15,0.76623,3,-1.5639,10,0.03460,9,-0.2356
ENSG00000164096,C4orf3,244,0.27489,215,0.01598,221,0.07816,185,-0.3103
ENSG00000164111,ANXA5,97,2.00231,18,-1.3162,35,-0.3435,18,-1.5931
ENSG00000164112,TMEM155,27,-0.8930,31,-0.6019,95,1.72008,28,-0.9386
ENSG00000123737,EXOSC9,11,-0.7635,16,-0.0286,17,0.06966,20,0.47001
ENSG00000138686,BBS7,23,-0.8281,34,-0.1072,54,0.81190,34,-0.1202
ENSG00000138688,KIAA1109,51,-0.7003,54,-0.5322,98,0.52836,83,0.24283
ENSG00000138685,FGF2,32,1.04186,23,0.28072,18,-0.1240,11,-1.1665
ENSG00000170917,NUDT6,13,0.47718,3,-1.5041,7,-0.5108,12,0.42131
ENSG00000151458,ANKRD50,19,-0.2753,30,0.47214,26,0.25720,20,-0.2601
ENSG00000164066,INTU,22,0.00935,15,-0.6179,16,-0.4872,27,0.57238
ENSG00000164070,HSPA4L,31,-0.7703,58,0.33075,55,0.26384,51,0.14234
ENSG00000164073,MFSD8,12,-0.3816,8,-0.9147,22,0.83750,14,-0.1400
ENSG00000164074,ABHD18,10,0.07310,11,0.20307,10,0.08086,8,-0.2296
ENSG00000138709,LARP1B,14,-0.6984,19,-0.2195,22,0.09213,26,0.49485
ENSG00000164040,PGRMC2,54,-0.4368,60,-0.2158,74,0.15139,77,0.28722
ENSG00000077684,JADE1,21,-0.3734,10,-1.3624,44,1.15886,21,-0.3769
ENSG00000151466,SCLT1,18,0.99566,6,-0.9897,7,-0.7410,11,-0.0473
ENSG00000138650,PCDH10,72,-0.2335,81,-0.0133,126,0.89989,59,-0.6858
ENSG00000151012,SLC7A11,104,1.94478,40,-0.2376,26,-0.9884,23,-1.3921
ENSG00000109381,ELF2,12,0.01889,11,-0.1532,13,0.06261,12,0.00289
ENSG00000109390,NDUFC1,401,-0.0599,611,0.66302,297,-0.6050,434,0.11267
ENSG00000164134,NAA15,19,-0.2563,19,-0.2391,27,0.40082,21,-0.0417
ENSG00000145391,SETD7,29,0.40478,21,-0.2083,20,-0.2929,24,-0.0315
ENSG00000085871,MGST2,15,0.78911,3,-1.7859,13,0.53944,7,-0.7098
ENSG00000153130,SCOC,240,-0.5455,253,-0.3995,405,0.44933,348,0.17354
ENSG00000179387,ELMOD2,12,0.47138,3,-1.4502,10,0.05723,9,0.01063
ENSG00000109436,TBC1D9,36,-1.1986,64,-0.1840,101,0.69452,79,0.21825
ENSG00000170153,RNF150,24,-0.7952,24,-0.7253,65,1.16101,33,-0.2699
ENSG00000109445,ZNF330,16,-0.1111,9,-0.9188,27,0.99322,13,-0.5196
ENSG00000109452,INPP4B,8,-0.4068,15,0.55406,14,0.52679,8,-0.4767
ENSG00000170185,USP38,11,-0.1615,7,-0.7846,8,-0.6537,17,0.84666
ENSG00000109458,GAB1,19,1.14721,3,-1.9823,14,0.50682,6,-1.0975
ENSG00000153147,SMARCA5,87,0.33833,72,-0.0227,62,-0.3214,72,-0.0330
ENSG00000164162,ANAPC10,19,-0.0087,11,-0.8037,18,-0.0547,22,0.34525
ENSG00000164163,ABCE1,30,-0.2552,24,-0.5490,35,0.05484,39,0.36287
ENSG00000164164,OTUD4,17,-0.5628,13,-0.9095,30,0.53938,26,0.26458
ENSG00000170365,SMAD1,17,-0.3327,10,-1.0743,27,0.50471,22,0.18855
ENSG00000151612,ZNF827,15,-0.8265,16,-0.5977,35,0.81480,24,0.06673
ENSG00000164167,LSM6,43,0.08781,44,0.09452,40,-0.0656,40,-0.0649
ENSG00000164168,TMEM184C,16,0.12692,10,-0.5094,16,0.13273,14,-0.0043
ENSG00000151623,NR3C2,16,0.17338,8,-1.0225,7,-1.1622,21,0.91879
ENSG00000170390,DCLK2,78,0.01579,64,-0.3019,52,-0.6976,98,0.58450
ENSG00000198589,LRBA,11,0.20288,10,-0.1159,10,-0.1096,10,-0.0294
ENSG00000145425,RPS3A,1626,0.57884,1416,0.24449,1099,-0.2021,972,-0.4977
ENSG00000109686,SH3D19,12,0.35520,4,-1.3475,12,0.43321,9,-0.2358
ENSG00000059691,GATB,20,-1.4703,55,0.25230,27,-0.9733,76,1.33441
ENSG00000109670,FBXW7,139,-0.8922,147,-0.7092,357,0.93774,230,0.01665
ENSG00000164144,ARFIP1,15,0.45843,11,-0.1397,12,0.09947,9,-0.4313
ENSG00000109654,TRIM2,190,-0.3934,227,-0.0569,270,0.27322,245,0.08972
ENSG00000145428,RNF175,23,-1.1355,38,-0.2298,46,0.08518,58,0.72799
ENSG00000171566,PLRG1,43,0.21561,25,-0.7002,36,-0.1003,41,0.16968
ENSG00000164114,MAP9,64,-0.4281,65,-0.3612,119,0.79041,73,-0.2478
ENSG00000164116,GUCY1A1,16,-1.1155,21,-0.5580,41,0.66583,34,0.34397
ENSG00000260244,AC104083.1,19,-0.7533,21,-0.5437,36,0.40167,35,0.38862
ENSG00000061918,GUCY1B1,119,-1.1443,158,-0.5798,345,0.87339,244,0.16755
ENSG00000256043,CTSO,17,0.65458,13,0.10886,9,-0.4418,10,-0.3153
ENSG00000145431,PDGFC,13,0.23282,3,-1.8323,20,1.12412,8,-0.7783
ENSG00000109738,GLRB,42,-1.6705,68,-0.7895,138,0.42880,154,0.84752
ENSG00000120251,GRIA2,185,-1.0258,197,-0.8200,304,-0.1515,487,1.04767
ENSG00000164125,GASK1B,49,1.72556,9,-1.4544,31,0.56374,6,-2.4976
ENSG00000164124,TMEM144,71,2.91418,3,-3.1564,22,-0.1812,2,-3.7845
ENSG00000171509,RXFP1,8,-1.1997,3,-2.5528,51,3.52518,2,-3.3323
ENSG00000171503,ETFDH,16,0.77506,3,-1.6489,13,0.40834,8,-0.5794
ENSG00000171497,PPID,34,-0.9354,55,-0.1044,65,0.20425,71,0.48709
ENSG00000052795,FNIP2,33,-0.2616,16,-1.3595,56,0.81726,36,-0.0950
ENSG00000109756,RAPGEF2,53,-0.8604,63,-0.4864,65,-0.5105,129,1.10090
ENSG00000168843,FSTL5,23,-0.2796,27,-0.0461,34,0.45387,25,-0.1589
ENSG00000164128,NPY1R,10,-1.2412,15,-0.4454,35,1.20357,19,-0.1740
ENSG00000198498,TMA16,10,-0.2283,14,0.31271,12,0.03057,11,-0.0074
ENSG00000145416,MARCH1,16,-0.2858,5,-1.9798,25,0.55251,21,0.28303
ENSG00000170088,TMEM192,24,0.37556,21,0.13365,29,0.83347,10,-1.3552
ENSG00000109466,KLHL2,71,-0.8838,74,-0.7135,117,0.00593,160,0.82986
ENSG00000052802,MSMO1,124,0.00416,65,-1.0150,147,0.33952,128,0.07207
ENSG00000109472,CPE,2907,0.94342,1259,-0.6279,1431,-0.4852,1649,-0.2688
ENSG00000196104,SPOCK3,78,0.04781,149,1.17782,62,-0.3683,59,-0.5251
ENSG00000129116,PALLD,35,1.22963,24,0.29147,12,-0.7989,13,-0.8352
ENSG00000145439,CBR4,20,-0.0022,12,-0.8235,25,0.45938,19,-0.0848
ENSG00000154447,SH3RF1,20,-0.4149,17,-0.6443,32,0.46312,27,0.16050
ENSG00000137601,NEK1,14,0.29797,13,0.09564,14,0.36122,9,-0.6465
ENSG00000109572,CLCN3,74,-0.2876,68,-0.3752,95,0.20581,94,0.20349
ENSG00000056050,HPF1,41,-0.5130,48,-0.1885,53,-0.0109,65,0.45145
ENSG00000198948,MFAP3L,28,0.40896,15,-0.6271,23,0.03492,21,-0.1309
ENSG00000109576,AADAT,6,-1.0219,11,-0.0147,14,0.35866,13,0.36368
ENSG00000164104,HMGB2,37,0.98151,17,-0.5296,18,-0.5079,20,-0.3297
ENSG00000164105,SAP30,27,0.88200,13,-0.4824,13,-0.5052,16,-0.2424
ENSG00000164106,SCRG1,516,1.53309,211,-0.3533,218,-0.3483,140,-1.2548
ENSG00000164117,FBXO8,18,0.90294,11,-0.0890,10,-0.3042,8,-0.5896
ENSG00000145451,GLRA3,19,-0.8788,10,-1.7651,22,-0.6282,52,1.49744
ENSG00000150625,GPM6A,1931,-0.3348,1617,-0.5744,2704,0.31219,2530,0.21604
ENSG00000150627,WDR17,31,-0.7894,27,-0.8973,39,-0.3838,72,1.10600
ENSG00000129128,SPCS3,56,-0.3606,32,-1.2042,64,-0.1206,92,0.74194
ENSG00000038002,AGA,17,1.10211,2,-2.3207,10,0.03959,8,-0.4859
ENSG00000218336,TENM3,33,-0.9433,48,-0.2494,88,0.95904,52,-0.1448
ENSG00000129187,DCTD,40,-0.2353,49,0.14686,54,0.35568,41,-0.1958
ENSG00000151718,WWC2,13,-0.1807,11,-0.4453,9,-0.7109,19,0.78661
ENSG00000168564,CDKN2AIP,15,-0.0355,12,-0.3317,16,0.07886,16,0.10531
ENSG00000168556,ING2,17,0.18584,9,-0.8322,13,-0.3161,18,0.38677
ENSG00000182552,RWDD4,13,-0.0749,18,0.37191,14,0.04715,13,-0.1725
ENSG00000168538,TRAPPC11,19,-0.6695,24,-0.2460,22,-0.4585,39,0.87569
ENSG00000173320,STOX2,43,-0.8952,81,0.19358,114,0.96598,60,-0.3955
ENSG00000168310,IRF2,17,1.00878,3,-1.5947,6,-0.8600,11,0.14130
ENSG00000164305,CASP3,16,-0.1237,19,0.13606,19,0.12181,17,-0.0688
ENSG00000151726,ACSL1,24,0.35457,19,-0.1257,16,-0.4217,21,0.06813
ENSG00000151729,SLC25A4,189,-0.8866,345,0.18327,248,-0.4068,418,0.77601
ENSG00000164323,CFAP97,29,0.51379,15,-0.6164,22,-0.0441,21,-0.1688
ENSG00000109762,SNX25,8,-0.6270,8,-0.5497,19,0.97377,11,-0.2333
ENSG00000186352,ANKRD37,12,-1.0055,18,-0.2652,17,-0.3545,31,0.99488
ENSG00000109775,UFSP2,19,-0.0795,20,-0.0129,15,-0.4326,23,0.37799
ENSG00000154553,PDLIM3,32,1.93727,12,-0.2066,8,-0.8696,6,-1.5019
ENSG00000154556,SORBS2,61,-0.9870,94,-0.2047,72,-0.7147,164,1.18447
ENSG00000109794,FAM149A,13,-0.4020,21,0.47784,11,-0.6829,20,0.50964
ENSG00000145476,CYP4V2,32,2.04962,7,-1.0265,7,-1.1336,8,-1.0659
ENSG00000083857,FAT1,38,1.65705,6,-1.6394,18,-0.0194,9,-1.2977
ENSG00000109536,FRG1,46,-0.0117,55,0.28779,43,-0.1474,46,-0.0203
ENSG00000164366,CCDC127,31,-0.0363,16,-1.0214,26,-0.3164,40,0.60868
ENSG00000073578,SDHA,61,-0.4101,64,-0.2859,84,0.18105,86,0.27315
ENSG00000249915,PDCD6,146,-0.2395,166,0.00388,162,-0.0366,180,0.20745
ENSG00000221990,EXOC3-AS1,12,-0.0142,16,0.43493,9,-0.4780,13,0.13321
ENSG00000180104,EXOC3,32,-0.3640,49,0.33839,39,-0.0303,42,0.12319
ENSG00000225138,SLC9A3-AS1,19,-0.3503,24,0.09166,19,-0.3566,27,0.47109
ENSG00000171368,TPPP,213,-0.3893,169,-0.7097,516,1.52900,159,-1.0349
ENSG00000206077,ZDHHC11B,18,-0.1229,13,-0.6862,25,0.43798,20,-0.0122
ENSG00000028310,BRD9,28,-0.0137,28,-0.0388,35,0.38724,25,-0.3103
ENSG00000049656,CLPTM1L,61,-0.6434,48,-0.9226,102,0.31378,107,0.51204
ENSG00000153395,LPCAT1,34,-0.6431,37,-0.4312,52,0.12470,60,0.51585
ENSG00000171421,MRPL36,64,-0.0279,87,0.47249,45,-0.6876,73,0.25181
ENSG00000145494,NDUFS6,287,0.06815,363,0.45395,237,-0.2886,268,-0.0743
ENSG00000164151,ICE1,29,-0.3901,23,-0.6922,48,0.57560,37,0.05578
ENSG00000133398,MED10,64,-0.5648,51,-0.8528,102,0.31266,105,0.44751
ENSG00000215218,UBE2QL1,89,-0.9184,122,-0.3194,153,0.05638,194,0.67899
ENSG00000037474,NSUN2,10,-0.3219,7,-0.8048,15,0.36714,14,0.23106
ENSG00000145545,SRD5A1,36,-0.2308,27,-0.6574,45,0.17209,46,0.28734
ENSG00000112941,TENT4A,19,-0.5528,23,-0.1404,42,1.04816,20,-0.5402
ENSG00000078295,ADCY2,123,0.43888,90,-0.1503,102,0.06883,83,-0.3792
ENSG00000215217,C5orf49,25,0.30244,12,-0.8792,30,0.70314,16,-0.5911
ENSG00000124275,MTRR,16,-0.0052,8,-0.9958,16,0.05668,18,0.30913
ENSG00000247516,MIR4458HG,28,-0.1300,46,0.67956,31,0.01242,27,-0.2932
ENSG00000112902,SEMA5A,27,0.59176,15,-0.5096,19,-0.1428,18,-0.2037
ENSG00000150756,ATPSCKMT,9,-0.5753,20,0.85157,14,0.30696,10,-0.3487
ENSG00000150753,CCT5,73,-0.9915,139,0.13070,113,-0.2405,172,0.74344
ENSG00000164237,CMBL,38,0.32484,8,-2.0684,26,-0.4032,40,0.57064
ENSG00000145495,MARCH6,149,-0.4507,123,-0.7031,233,0.40525,212,0.25360
ENSG00000164236,ANKRD33B,20,-0.5858,18,-0.7357,29,0.04988,37,0.63722
ENSG00000112977,DAP,61,0.34984,47,-0.1434,32,-0.8299,58,0.32689
ENSG00000169862,CTNND2,240,0.09501,204,-0.1865,280,0.40477,195,-0.3522
ENSG00000038382,TRIO,55,-0.7447,92,0.17576,79,-0.0994,101,0.49307
ENSG00000154122,ANKH,94,-0.2437,121,0.19202,105,-0.0450,113,0.12692
ENSG00000173545,ZNF622,21,-0.5458,38,0.51204,28,-0.0038,30,0.12417
ENSG00000154153,RETREG1,34,-0.9085,29,-1.0356,119,1.73408,39,-0.7853
ENSG00000145555,MYO10,119,1.83225,28,-1.0538,38,-0.6570,32,-1.1027
ENSG00000176788,BASP1,766,-0.6152,758,-0.5574,1739,1.03406,934,-0.3035
ENSG00000215196,BASP1-AS1,7,-0.5888,10,-0.0240,14,0.64818,10,-0.1418
ENSG00000248455,LINC02217,40,0.50034,27,-0.2034,45,0.76551,17,-1.1963
ENSG00000145526,CDH18,13,-1.3700,24,-0.3281,26,-0.2116,44,1.08544
ENSG00000286961,AC091938.1,21,-1.0215,55,0.61514,10,-2.2680,63,1.41091
ENSG00000040731,CDH10,30,-0.5523,12,-1.8274,65,0.99962,41,0.00713
ENSG00000113100,CDH9,6,-1.6638,19,0.16611,2,-2.9452,33,2.13683
ENSG00000113360,DROSHA,17,-0.8187,23,-0.2247,27,0.05248,33,0.59398
ENSG00000082213,C5orf22,16,-0.7035,16,-0.5864,39,1.04850,21,-0.2514
ENSG00000133401,PDZD2,45,-0.5259,64,0.10747,16,-2.1943,99,1.38688
ENSG00000113384,GOLPH3,36,-0.1888,26,-0.6836,38,-0.0601,47,0.44626
ENSG00000150712,MTMR12,20,-1.2046,26,-0.6853,19,-1.2567,72,1.75632
ENSG00000056097,ZFR,112,-0.5353,138,-0.1376,99,-0.7425,213,0.92158
ENSG00000113387,SUB1,409,-0.6101,703,0.34809,498,-0.2575,683,0.44083
ENSG00000113407,TARS,18,-0.5118,11,-1.2125,21,-0.2147,34,0.90634
ENSG00000242110,AMACR,9,-0.9650,25,0.70252,13,-0.3719,20,0.50967
ENSG00000113456,RAD1,19,-0.5660,30,0.23728,21,-0.3498,32,0.53335
ENSG00000113460,BRIX1,17,-0.3573,9,-1.2471,18,-0.2326,28,0.82797
ENSG00000168724,DNAJC21,20,-0.9889,26,-0.4255,32,-0.1657,49,0.91600
ENSG00000152582,SPEF2,10,-0.4627,5,-1.2589,13,0.00888,17,0.72396
ENSG00000164187,LMBRD2,65,-0.8128,58,-0.8869,161,0.96223,102,0.00040
ENSG00000152620,NADK2,72,0.65976,36,-0.5944,41,-0.4240,51,-0.0332
ENSG00000164188,RANBP3L,41,1.69404,16,-0.2562,14,-0.6025,10,-1.3153
ENSG00000079215,SLC1A3,1231,1.65645,473,-0.3858,421,-0.6491,342,-1.1419
ENSG00000285967,NIPBL-DT,34,0.04593,33,-0.0166,20,-0.8576,41,0.53389
ENSG00000164190,NIPBL,25,0.33928,19,-0.1351,20,-0.1182,20,-0.1350
ENSG00000197603,CPLANE1,18,-0.2458,20,0.01578,25,0.42304,19,-0.1847
ENSG00000113569,NUP155,10,-0.0957,4,-1.5376,16,0.82569,10,-0.1946
ENSG00000082068,WDR70,9,-0.5011,5,-1.1909,14,0.25322,15,0.54139
ENSG00000113594,LIFR,87,1.74965,29,-0.5403,27,-0.7712,24,-1.1003
ENSG00000164327,RICTOR,17,-0.1924,9,-1.0372,18,-0.0430,23,0.53262
ENSG00000113638,TTC33,33,-0.5789,32,-0.5635,51,0.22820,55,0.43933
ENSG00000132356,PRKAA1,15,-0.0804,26,0.90898,13,-0.3485,14,-0.2114
ENSG00000145592,RPL37,3350,0.97993,2406,0.21774,1770,-0.3303,1415,-0.8379
ENSG00000182836,PLCXD3,26,-0.0628,24,-0.2192,33,0.38462,25,-0.1843
ENSG00000083720,OXCT1,83,-1.0329,146,-0.0300,149,-0.0058,194,0.66733
ENSG00000205765,C5orf51,14,0.00189,7,-1.0357,19,0.57395,13,-0.1373
ENSG00000250722,SELENOP,188,2.92411,18,-2.0049,45,-0.6540,12,-2.9061
ENSG00000172262,ZNF131,20,0.28411,12,-0.5440,20,0.22365,16,-0.2078
ENSG00000177453,NIM1K,9,-1.0504,21,0.38731,10,-0.8877,25,1.03397
ENSG00000112972,HMGCS1,115,-0.5186,111,-0.5053,173,0.25724,176,0.35921
ENSG00000172239,PAIP1,66,-0.0957,76,0.13105,69,-0.0166,71,0.02525
ENSG00000248092,NNT-AS1,31,0.56285,28,0.29956,31,0.55667,12,-1.3405
ENSG00000112992,NNT,65,-0.3716,102,0.41345,78,-0.0387,83,0.09345
ENSG00000251141,MRPS30-DT,16,0.17559,8,-0.9866,14,-0.1670,17,0.33226
ENSG00000112996,MRPS30,23,-0.4667,26,-0.2559,27,-0.1902,38,0.57944
ENSG00000272335,AC093297.2,11,-0.7491,11,-0.6560,20,0.34429,20,0.47095
ENSG00000164588,HCN1,16,-1.6944,54,0.34079,48,0.17829,56,0.61884
ENSG00000151883,PARP8,10,-0.7998,12,-0.4272,15,-0.1222,22,0.78782
ENSG00000152684,PELO,14,-0.3828,16,-0.1065,18,0.04109,19,0.29428
ENSG00000164172,MOCS2,135,-0.0387,167,0.31326,133,-0.0800,134,-0.0649
ENSG00000164258,NDUFS4,130,-0.2030,226,0.76630,103,-0.6235,155,0.16454
ENSG00000185305,ARL15,10,-1.0914,10,-0.9206,28,0.80185,22,0.31281
ENSG00000169271,HSPB3,4,-2.0111,6,-1.1469,18,0.54373,19,0.94512
ENSG00000178996,SNX18,17,0.78911,13,0.21779,11,-0.0896,8,-0.8210
ENSG00000067248,DHX29,13,-0.7754,13,-0.6836,16,-0.5050,32,1.11494
ENSG00000039123,MTREX,23,-0.7763,28,-0.4136,29,-0.3830,52,0.94892
ENSG00000067113,PLPP1,60,0.64740,29,-0.6625,29,-0.7533,48,0.20653
ENSG00000134352,IL6ST,139,0.60796,103,0.00718,90,-0.2524,87,-0.3576
ENSG00000062194,GPBP1,77,0.16350,53,-0.4488,76,0.14233,69,-0.0652
ENSG00000249436,AC008780.1,20,-0.0412,22,0.11651,24,0.32039,18,-0.3022
ENSG00000145632,PLK2,40,-1.5016,49,-1.0486,87,-0.1850,155,1.34208
ENSG00000152932,RAB3C,98,-1.1965,159,-0.3180,310,0.99730,191,-0.0267
ENSG00000113448,PDE4D,22,-0.3508,11,-1.3003,26,-0.0041,35,0.67058
ENSG00000152931,PART1,20,-0.3979,12,-1.1012,62,2.19651,9,-1.9895
ENSG00000164182,NDUFAF2,62,-0.3786,117,0.74110,71,-0.1187,74,-0.0414
ENSG00000188725,SMIM15,21,-0.2593,18,-0.4362,27,0.23659,26,0.18016
ENSG00000130449,ZSWIM6,27,0.85031,6,-1.7239,22,0.40121,13,-0.6434
ENSG00000068796,KIF2A,33,0.16896,17,-0.9003,33,0.19186,30,0.03410
ENSG00000086189,DIMT1,28,0.24270,24,-0.0368,17,-0.6390,27,0.26303
ENSG00000086200,IPO11,16,0.09162,6,-1.3082,16,0.05614,18,0.30674
ENSG00000248285,AC122707.1,6,-0.9847,7,-0.7288,2,-2.5307,21,2.11353
ENSG00000164197,RNF180,7,-0.8084,16,0.63034,11,0.08557,11,0.13833
ENSG00000186479,RGS7BP,8,-0.8253,22,0.93385,12,-0.0457,13,0.05008
ENSG00000153006,SREK1IP1,33,-0.2263,40,0.11937,35,-0.1322,41,0.21605
ENSG00000153015,CWC27,28,0.30719,27,0.15349,20,-0.3718,24,-0.0553
ENSG00000113593,PPWD1,15,0.26713,15,0.17310,14,0.14954,11,-0.4509
ENSG00000113595,TRIM23,42,-0.9075,45,-0.7201,99,0.68255,79,0.27591
ENSG00000113597,TRAPPC13,24,-0.4672,22,-0.5212,34,0.19659,36,0.38191
ENSG00000197860,SGTB,62,-0.6475,68,-0.4314,106,0.34604,103,0.33715
ENSG00000123213,NLN,15,-0.0398,7,-1.1828,20,0.54797,15,-0.0415
ENSG00000112851,ERBIN,82,1.43208,38,-0.1852,30,-0.6338,27,-0.9417
ENSG00000153914,SREK1,37,0.15906,33,-0.0603,39,0.27562,29,-0.3454
ENSG00000069020,MAST4,39,-0.0694,35,-0.2322,41,-0.0135,44,0.16552
ENSG00000145675,PIK3R1,96,-0.7773,90,-0.7983,242,1.04898,139,-0.1365
ENSG00000145740,SLC30A5,16,-0.6840,24,0.00053,24,0.02386,29,0.44759
ENSG00000134056,MRPS36,84,-0.1249,120,0.49611,77,-0.2700,91,0.04062
ENSG00000134058,CDK7,11,-0.7741,10,-0.7966,18,-0.0016,24,0.80105
ENSG00000085231,AK6,70,-0.1192,90,0.32463,46,-0.8419,90,0.48599
ENSG00000273841,TAF9,55,-0.8460,80,-0.1627,98,0.20756,107,0.46181
ENSG00000152942,RAD17,16,-0.2235,13,-0.5135,27,0.76921,16,-0.3197
ENSG00000145734,BDP1,29,-0.2632,31,-0.0956,40,0.37371,32,-0.0738
ENSG00000131844,MCCC2,20,0.01577,21,0.14750,17,-0.2763,21,0.12490
ENSG00000164326,CARTPT,27,-0.6049,36,-0.1156,37,-0.0750,47,0.52517
ENSG00000131711,MAP1B,1011,-0.4940,1032,-0.3998,2695,1.64200,708,-1.2536
ENSG00000113048,MRPS27,32,-0.2707,34,-0.1675,34,-0.1830,44,0.41067
ENSG00000049883,PTCD2,8,-0.5805,9,-0.3507,11,0.01317,14,0.53622
ENSG00000083312,TNPO1,38,0.32700,23,-0.5618,28,-0.2589,34,0.14627
ENSG00000145741,BTF3,295,0.31084,247,-0.0323,177,-0.6383,274,0.20310
ENSG00000164331,ANKRA2,11,-0.4127,16,0.22837,14,-0.0333,15,0.21597
ENSG00000214944,ARHGEF28,9,-0.7606,18,0.48183,18,0.58721,12,-0.2483
ENSG00000171617,ENC1,773,-1.6407,1200,-0.8183,1919,-0.0803,3143,1.25478
ENSG00000049860,HEXB,26,-0.4447,24,-0.4733,25,-0.5205,46,0.86066
ENSG00000164347,GFM2,19,-0.7646,45,0.68921,34,0.26726,29,-0.0778
ENSG00000164346,NSA2,159,0.11552,176,0.27332,129,-0.2793,148,-0.0185
ENSG00000198780,FAM169A,43,-0.4934,40,-0.5640,87,0.89327,51,-0.2324
ENSG00000113161,HMGCR,51,-1.1776,39,-1.4699,142,0.71773,125,0.55457
ENSG00000113163,CERT1,39,-0.3772,37,-0.4275,47,-0.0364,58,0.47341
ENSG00000122008,POLK,16,0.33885,9,-0.6234,14,0.06946,13,-0.0965
ENSG00000145708,CRHBP,15,-2.3558,420,4.89081,22,-1.8405,7,-3.6833
ENSG00000164252,AGGF1,38,-0.2286,42,-0.0172,51,0.34535,40,-0.1098
ENSG00000113231,PDE8B,59,-0.3647,74,0.04393,27,-1.6827,111,1.15494
