Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to8,Feature log2 fold change topic 6to8
ENSG00000158109,TPRG1L,129,-0.4621,164,-0.0141,192,0.29303,173,0.09926
ENSG00000116213,WRAP73,13,-0.4289,22,0.47231,15,-0.0952,17,0.14175
ENSG00000130764,LRRC47,48,-0.5713,66,0.02317,66,0.01292,77,0.37922
ENSG00000116198,CEP104,17,0.41136,8,-0.8128,17,0.37797,12,-0.3811
ENSG00000198912,C1orf174,8,-0.6187,13,0.17519,15,0.40090,12,0.01309
ENSG00000196581,AJAP1,22,-1.0398,30,-0.4087,36,-0.1790,56,0.94437
ENSG00000131697,NPHP4,11,-0.1114,5,-1.3211,12,0.02374,15,0.48833
ENSG00000069424,KCNAB2,206,-0.2849,282,0.26594,194,-0.3984,280,0.37001
ENSG00000116254,CHD5,130,-0.5708,173,-0.0446,250,0.70243,162,-0.1981
ENSG00000116251,RPL22,1072,0.77599,777,0.08679,622,-0.3184,578,-0.5271
ENSG00000158286,RNF207,5,-1.3568,13,0.36671,15,0.62071,11,0.09422
ENSG00000116237,ICMT,29,-0.6390,36,-0.2374,42,0.03874,51,0.50877
ENSG00000158292,GPR153,18,-0.1736,19,-0.0466,13,-0.6772,25,0.60921
ENSG00000097021,ACOT7,146,-0.8848,239,-0.0061,238,-0.0123,303,0.58768
ENSG00000215788,TNFRSF25,19,-0.8352,24,-0.3744,24,-0.3959,43,0.97524
ENSG00000171680,PLEKHG5,18,-0.8814,20,-0.5782,27,-0.1676,42,0.91377
ENSG00000162408,NOL9,32,0.05137,20,-0.7090,40,0.49684,28,-0.2007
ENSG00000204859,ZBTB48,12,-0.1892,11,-0.2298,15,0.24770,13,0.04075
ENSG00000162413,KLHL21,28,-0.2547,38,0.26938,28,-0.2569,36,0.25126
ENSG00000116273,PHF13,13,-0.2487,14,-0.1707,12,-0.4666,19,0.58654
ENSG00000041988,THAP3,26,0.29240,20,-0.2365,21,-0.1078,22,-0.0574
ENSG00000007923,DNAJC11,26,-0.4096,22,-0.5886,40,0.42681,35,0.17132
ENSG00000171735,CAMTA1,214,0.33761,154,-0.2578,235,0.53415,130,-0.6881
ENSG00000049245,VAMP3,57,1.73314,24,-0.2247,21,-0.4342,12,-1.5760
ENSG00000049246,PER3,25,-0.2047,24,-0.2136,32,0.25099,28,0.04270
ENSG00000116288,PARK7,482,0.12361,591,0.45039,351,-0.4672,453,0.00617
ENSG00000116285,ERRFI1,18,-0.0707,7,-1.5243,26,0.67564,18,-0.0660
ENSG00000162426,SLC45A1,14,-1.5452,24,-0.5497,41,0.36026,46,0.78843
ENSG00000142599,RERE,102,-0.2065,88,-0.4213,126,0.20357,122,0.16461
ENSG00000074800,ENO1,740,-0.0509,631,-0.3026,533,-0.6489,968,0.60673
ENSG00000142583,SLC2A5,19,1.19740,7,-0.5565,8,-0.5533,8,-0.5329
ENSG00000171612,SLC25A33,78,0.72814,52,-0.0875,55,0.01604,40,-0.6713
ENSG00000188807,TMEM201,14,-0.3959,14,-0.3222,21,0.38303,18,0.10582
ENSG00000171608,PIK3CD,6,-0.8997,6,-0.7569,22,1.73635,6,-0.8924
ENSG00000171603,CLSTN1,400,-1.0385,523,-0.5102,739,0.05957,978,0.80277
ENSG00000178585,CTNNBIP1,38,-0.1036,53,0.47020,51,0.49563,29,-0.6378
ENSG00000162441,LZIC,40,0.49119,33,0.12058,31,0.00301,24,-0.5121
ENSG00000173614,NMNAT1,10,0.02642,4,-1.2508,12,0.51796,9,-0.0505
ENSG00000130939,UBE4B,27,-0.4353,29,-0.2796,48,0.69003,32,-0.1736
