Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000228794,LINC01128,24,0.35987,19,0.05861,9,-1.0839,17,-0.1825,23,0.49875,16,-0.2428,13,-0.5816,17,-0.1677
ENSG00000188976,NOC2L,64,0.94044,53,0.63278,29,-0.3067,33,-0.1097,43,0.39793,10,-1.9397,29,-0.3360,20,-0.9426
ENSG00000188290,HES4,61,-0.3586,85,0.14345,56,-0.5113,56,-0.5081,62,-0.4433,240,1.92764,56,-0.4959,63,-0.3439
ENSG00000187608,ISG15,80,-0.2020,69,-0.4230,92,0.01013,67,-0.4718,96,0.10526,177,1.08302,60,-0.6482,83,-0.1600
ENSG00000188157,AGRN,17,0.03197,17,0.02549,14,-0.2681,12,-0.5224,22,0.65813,17,-0.0171,8,-1.0857,14,-0.3453
ENSG00000078808,SDF4,69,0.18703,64,0.07066,71,0.23688,48,-0.3618,67,0.18988,80,0.42005,42,-0.5751,46,-0.4581
ENSG00000176022,B3GALT6,40,0.30576,38,0.19763,26,-0.3626,26,-0.3856,40,0.39627,46,0.52328,23,-0.5825,20,-0.7880
ENSG00000160087,UBE2J2,50,0.42023,45,0.24278,41,0.09893,60,0.71969,42,0.17671,23,-0.7586,27,-0.5432,24,-0.7744
ENSG00000131584,ACAP3,71,0.32381,39,-0.5930,67,0.23977,42,-0.5096,75,0.59194,56,-0.0457,36,-0.7296,42,-0.5339
ENSG00000127054,INTS11,49,0.22812,27,-0.6707,58,0.48650,54,0.39474,56,0.64965,31,-0.5010,14,-1.6481,26,-0.8182
ENSG00000224051,CPTP,36,0.31985,19,-0.6672,22,-0.4548,23,-0.3314,41,0.83321,33,0.19640,16,-0.9062,18,-0.8063
ENSG00000107404,DVL1,32,-0.6261,44,-0.1797,60,0.32085,51,0.06189,50,0.03171,45,-0.1256,45,-0.1410,56,0.23113
