"global_FDR10","SpD_FDR10","model"
0,0,"apoe_i"
1,5,"apoe_kr"
0,1,"apoe_n0"
0,7,"apoe"
0,0,"carrier_i"
0,0,"carrier_kr"
0,0,"carrier_n0"
0,0,"carrier_n1"
0,0,"carrier_n2"
0,1,"carrier_n3"
0,2,"carrier_n4"
0,1,"carrier_sf_kr"
0,2,"carrier_sf"
0,2,"carrier"
0,0,"e4e4_i"
0,0,"e4e4_kr"
0,0,"e4e4_n0"
0,0,"e4e4"
