"assay","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","adj.P.Val.SpD","contrast"
"WM.uf_Sp09D07","CLNS1A",1.26790623366525,5.99470509948494,4.89874248064101,2.54018331694808e-05,0.763521042491797,0.393326368991279,4.2111994627066,0.078618673659543,"E2E2_E4E4"
"L2.3_Sp09D01","GPD1",-0.893268411744866,3.89450207812912,-5.2621248270112,1.56313728099851e-05,0.280458842320082,2.83616019837286,-4.31959793580578,0.19900300724392,"E3E4_E4E4"
"L5_Sp09D03","CCDC144A",1.89726540705271,3.04777397117015,5.71500741893657,1.33372164398184e-05,0.280458842320082,2.18109867712351,4.35449805564636,0.174530814331463,"E3E4_E4E4"
"LD_Sp09D02","GPD1",-0.943258235330208,3.48175671800309,-5.91514699351502,3.05372644405627e-06,0.280458842320082,3.64299357332943,-4.66717270171426,0.0436133210740116,"E3E4_E4E4"
"LD_Sp09D02","GAL3ST1",-0.893550214229926,2.95155031710469,-5.38474256624951,1.21727815081242e-05,0.280458842320082,2.57147756590437,-4.37447008283878,0.173839492717521,"E3E4_E4E4"
"L6_Sp09D04","EME2",-0.721231912264876,4.35769308160511,-6.00479411289823,8.01024611103709e-06,0.702187100912788,2.99940665789492,-4.46490988050196,0.107064949520122,"E2E3_E4E4"
"Inhib_Sp09D09","CCN2",1.97040656846243,4.73786168774256,6.59191955887105,1.59956798589385e-06,0.0478646729161627,3.78738168173725,4.79837661243871,0.0186317678996915,"E2E2_E3E4"
"L1_Sp09D05","ESCO1",-1.20907783023468,2.9221322748512,-5.84508246639648,2.83897765992198e-06,0.0478646729161627,3.35218942519782,-4.68213834672689,0.0318079057017659,"E2E2_E3E4"
"L2.3_Sp09D01","SLCO3A1",1.4052256665632,4.4449072733982,6.77988173255032,1.2164724338695e-06,0.0478646729161627,4.90830240054682,4.85293553358229,0.0154869105555926,"E2E2_E3E4"
"L2.3_Sp09D01","GPER1",-1.63963248993757,2.02505469200062,-6.34516561041303,2.85783577398829e-06,0.0478646729161627,4.03630424586903,-4.68078137481813,0.036380249402871,"E2E2_E3E4"
