"assay","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","adj.P.Val.SpD","model","APOEE2.E3","APOEE3.E4","APOEE4.E4","F","F.std","APOEE2.E3.Anc_Afr","APOEE3.E4.Anc_Afr","APOEE4.E4.Anc_Afr"
"WM.uf_Sp09D07","CNTNAP4",-1.01188666339233,5.7819844596194,-4.99611671265617,2.37374602377786e-05,0.484321795462028,2.27077008560134,-4.22648071781933,0.0736336016575892,"carrier",NA,NA,NA,NA,NA,NA,NA,NA
"L6_Sp09D04","AC006538.1",0.763996079169826,1.83577563430109,5.52433227304689,1.27050509216768e-05,0.484321795462028,2.97917258788708,4.36512427016171,0.169904645975583,"carrier",NA,NA,NA,NA,NA,NA,NA,NA
"WM.uf_Sp09D07","GPR37",-1.64175542166043,5.85777830551873,-5.91870076895677,1.5929459665061e-06,0.153841942607259,4.39072534794864,-4.79920761983365,0.00494291133406842,"carrier",NA,NA,NA,NA,NA,NA,NA,NA
"WM.uf_Sp09D07","GPR37",NA,5.85777830551873,NA,2.07171801988934e-05,0.158138146074129,NA,NA,0.0641611070759728,"apoe",0.336925678685861,-1.60911279300026,-1.15060780636133,12.2900895304994,8.12970573653625,NA,NA,NA
"LD_Sp09D02","EPHX4",NA,4.04015345827505,NA,3.9529577014558e-06,0.113895623609324,NA,NA,0.0564996244269077,"apoe",0.938043546043388,1.04326422368061,0.611361364978535,16.1410083694591,9.2749297878874,NA,NA,NA
"L2.3_Sp09D01","GPER1",NA,2.02505469200062,NA,3.98214688808933e-06,0.113895623609324,NA,NA,0.0507245870604819,"apoe",1.40698564550193,1.63962132538283,0.568208997518423,18.9918529187046,9.26985455111899,NA,NA,NA
"L6_Sp09D04","CNTN6",NA,2.17254053657829,NA,1.77937207640031e-06,0.113895623609324,NA,NA,0.0237973221497778,"apoe",1.35356907274577,1.54762785614737,0.500072185215941,17.6402646927708,9.82505367947883,NA,NA,NA
"L6_Sp09D04","EME2",NA,4.35769308160511,NA,1.05101175212004e-05,0.14499157554104,NA,NA,0.140551801611013,"apoe",-0.726372708648222,-0.137439554159256,-0.00514080225618133,14.240994582875,8.59950937422765,NA,NA,NA
"LD_Sp09D02","SLC2A4RG",NA,4.27769032276104,NA,1.36757859337882e-05,0.158138146074129,NA,NA,0.195440656779768,"apoe",-0.792003854467247,-0.193958117205923,-0.394063094681674,13.8396107255969,8.4173496370862,NA,NA,NA
"Inhib_Sp09D09","CCN2",NA,4.73786168774256,NA,7.8943335490487e-06,0.127056667027422,NA,NA,0.0919689858464173,"apoe",-1.22305348342396,-1.97040656806782,-1.15377568901789,14.4963802145916,8.79736366058505,NA,NA,NA
"Inhib_Sp09D09","LINC00622",NA,3.16273959814432,NA,1.5833911438547e-05,0.158138146074129,NA,NA,0.184449234347634,"apoe",0.0615445883837024,1.48465388317582,0.514914930331953,13.2942549224906,8.31591245806632,NA,NA,NA
"L2.3_Sp09D01","SLCO3A1",NA,4.4449072733982,NA,6.02563805917769e-06,0.116376763219734,NA,NA,0.0767485519597462,"apoe",-0.830999649059827,-1.40523784163677,-0.597095709793404,17.9512417362121,8.98396786843504,NA,NA,NA
"LD_Sp09D02","UNC13C",NA,4.64594828704164,NA,4.71773770231648e-06,0.113895623609324,NA,NA,0.0674259072415071,"apoe",-0.26837457220439,0.399796972991432,-0.111119402829549,15.7996451406607,9.15289388889782,NA,NA,NA
"Vasc_Sp09D08","LST1",NA,4.33345624320164,NA,2.2581544089597e-05,0.158138146074129,NA,NA,0.178958736910056,"apoe",-1.25167547802681,-1.72595928624825,-0.856002203536725,12.3698497564169,8.06998243956569,NA,NA,NA
"Vasc_Sp09D08","IER3",NA,4.52993128499834,NA,2.11833091341437e-05,0.348450683846389,NA,NA,0.167792991651552,"apoe_i",NA,NA,NA,12.7111217329758,8.11428586336438,6.44276827190923,1.03527150806277,2.94981558489423
"L1_Sp09D05","CYP4F11",NA,2.40650111850553,NA,9.49367222643473e-06,0.348450683846389,NA,NA,0.106281660574937,"apoe_i",NA,NA,NA,14.7688189063233,8.66984450269031,-2.06021524006407,1.95911504159423,2.22335133453001
"LD_Sp09D02","LINC00632",NA,7.66826449850011,NA,8.94282670751281e-06,0.348450683846389,NA,NA,0.127810879303773,"apoe_i",NA,NA,NA,15.6738128284234,8.71116922960443,2.93907597798264,1.13615240193363,2.50994266350031
"L6_Sp09D04","DDX21",NA,4.21660830018375,NA,1.09064811446095e-05,0.348450683846389,NA,NA,0.145579710318247,"apoe_i",NA,NA,NA,15.1838856206739,8.57390563127384,0.794177386554622,0.12918952253242,2.36837347185222
"Inhib_Sp09D09","AL022328.4",-2.52540357933326,3.61516288834576,-5.33273710237587,1.10207992156982e-05,0.587744731012555,-2.02125786100159,-4.39611021177785,0.128458435658178,"e4e4_i",NA,NA,NA,NA,NA,NA,NA,NA
