"assay","ID","n_models","models","contrasts","risk"
"Inhib_Sp09D09","AL022328.4",1,"e4e4_i","",FALSE
"Inhib_Sp09D09","CCN2",2,"apoe, contrast","E2E2_E3E4, anyE4_anyE2, E2E2_anyE4",FALSE
"Inhib_Sp09D09","LINC00622",2,"apoe, contrast","anyE4_anyE2",FALSE
"L1_Sp09D05","CYP4F11",1,"apoe_i","",FALSE
"L1_Sp09D05","ESCO1",1,"contrast","E2E2_E3E4, E2E2_E2E3",FALSE
"L2.3_Sp09D01","GPER1",2,"apoe, contrast","E2E2_E3E4",FALSE
"L2.3_Sp09D01","SLCO3A1",2,"apoe, contrast","E2E2_E3E4, anyE4_anyE2",FALSE
"L2.3_Sp09D01","TMEM163",1,"contrast","E2E3_E3E4",FALSE
"L5_Sp09D03","CPNE4",1,"contrast","E2E2_E3E4",FALSE
"L6_Sp09D04","AC006538.1",1,"carrier","",FALSE
"L6_Sp09D04","CCDC85A",1,"contrast","anyE4_anyE2",FALSE
"L6_Sp09D04","CLMP",1,"contrast","E2E2_E3E4",FALSE
"L6_Sp09D04","CNTN6",1,"apoe","",FALSE
"L6_Sp09D04","DDX21",1,"apoe_i","",FALSE
"L6_Sp09D04","EME2",1,"apoe","",FALSE
"LD_Sp09D02","EPHX4",2,"apoe, contrast","E2E2_E3E4",FALSE
"LD_Sp09D02","GAL3ST1",1,"contrast","anyE4_anyE2",FALSE
"LD_Sp09D02","GPD1",1,"contrast","E3E4_E4E4",FALSE
"LD_Sp09D02","LINC00632",1,"apoe_i","",FALSE
"LD_Sp09D02","SLC2A4RG",1,"apoe","",FALSE
"LD_Sp09D02","UNC13C",2,"apoe, contrast","E2E3_E3E4",TRUE
"Vasc_Sp09D08","CIT",1,"contrast","E2E2_E3E4, E2E2_anyE4",FALSE
"Vasc_Sp09D08","ELMOD1",1,"contrast","E2E2_E2E3",FALSE
"Vasc_Sp09D08","ENC1",1,"contrast","E2E2_E3E4",FALSE
"Vasc_Sp09D08","IER3",1,"apoe_i","",FALSE
"Vasc_Sp09D08","LST1",2,"apoe, contrast","E2E2_E3E4",FALSE
"WM.uf_Sp09D07","CLNS1A",1,"contrast","E2E2_E4E4",FALSE
"WM.uf_Sp09D07","CNTNAP4",1,"carrier","",FALSE
"WM.uf_Sp09D07","GPR37",2,"carrier, apoe, contrast","E2E3_E3E4, anyE4_anyE2, E2E3_anyE4",FALSE
"WM_Sp09D06","IER5",1,"contrast","E2E3_E3E4",FALSE
