"global_FDR10","SpD_FDR10","model"
0,1,"E2E2_E4E4"
0,1,"E3E4_E4E4"
0,0,"E2E3_E4E4"
17,10,"E2E2_E3E4"
0,2,"E2E2_E2E3"
0,4,"E2E3_E3E4"
0,0,"E4E4_anyE2"
23,6,"anyE4_anyE2"
0,2,"E2E2_anyE4"
0,1,"E2E3_anyE4"
