Feature ID,Feature Name,Feature count topic 1to4,Feature log2 fold change topic 1to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,47,0.63393,54,0.63702,31,-0.3172,17,-1.1453,15,-1.3991
ENSG00000188976,NOC2L,72,0.51758,72,0.33063,48,-0.4189,46,-0.3959,40,-0.5962
ENSG00000188290,HES4,130,0.10758,40,-1.7217,119,-0.0945,102,-0.3216,226,0.99516
ENSG00000187608,ISG15,124,0.41353,47,-1.2333,97,-0.1623,73,-0.5764,145,0.53041
ENSG00000188157,AGRN,80,0.28666,40,-0.9022,68,-0.1048,53,-0.4527,96,0.49438
ENSG00000078808,SDF4,104,0.17233,95,-0.0379,80,-0.3805,104,0.11383,115,0.27288
ENSG00000176022,B3GALT6,36,0.07348,38,0.13494,37,0.08092,34,-0.0421,24,-0.5693
ENSG00000160087,UBE2J2,51,-0.2192,69,0.33261,66,0.34838,48,-0.2281,41,-0.4867
ENSG00000131584,ACAP3,134,0.19189,158,0.39973,101,-0.3954,109,-0.2009,131,0.09297
ENSG00000127054,INTS11,67,-0.1070,78,0.16588,78,0.22167,52,-0.4658,70,-0.0135
ENSG00000224051,CPTP,35,0.09545,27,-0.3440,41,0.47605,26,-0.3999,17,-1.0072
ENSG00000107404,DVL1,74,-0.1696,45,-0.8785,86,0.14934,89,0.17090,110,0.52101
ENSG00000175756,AURKAIP1,173,-0.1794,160,-0.2507,202,0.15849,206,0.15627,207,0.15790
ENSG00000221978,CCNL2,82,0.43578,52,-0.4491,64,-0.1485,33,-1.1079,84,0.33215
ENSG00000242485,MRPL20,193,-0.0056,188,-0.0441,210,0.17249,178,-0.1292,166,-0.2443
ENSG00000179403,VWA1,12,-2.7328,43,-0.4238,31,-1.1171,71,0.38196,305,3.40652
ENSG00000197785,ATAD3A,26,0.49675,38,0.93630,10,-1.3892,26,0.33252,16,-0.4217
ENSG00000205090,TMEM240,59,0.69251,43,-0.1039,39,-0.3189,31,-0.6090,29,-0.6989
ENSG00000160075,SSU72,197,0.22398,136,-0.4423,198,0.19743,181,0.01088,102,-0.8928
ENSG00000228594,FNDC10,50,-0.2866,79,0.55799,70,0.48426,52,-0.1277,22,-1.4566
