mediator_a,mediator_b,n_genes_a,n_genes_b,n_overlap,frac_a,frac_b,overlap_preview
SV2B [Astro.2],CHRM3 [Astro.3],199,205,117,0.5879,0.5707,"ABHD17B, ABLIM1, ADGRV1, AGBL4, AMER2, ANKRD34C-AS1, ASTN1, BAIAP2, BCL11B, BIN1, CABLES1, CACNA1B"
FZD8 [Astro.2],SV2B [Astro.2],125,199,64,0.512,0.3216,"ABLIM1, ADGRV1, AGBL4, ANKRD34C-AS1, ATP1A2, C1orf21, CABLES1, CACNA1B, CACNA1E, CBLN2, CDH10, CHL1"
FZD8 [Astro.2],CHRM3 [Astro.3],125,205,60,0.48,0.2927,"ABLIM1, ABTB3, ADCY8, ADGRV1, AGBL4, ANKRD34C-AS1, ATP2B2, CABLES1, CACNA1B, CBLN2, CHL1, CPNE4"
NETO1 [Astro.2],SV2B [Astro.2],61,199,58,0.9508,0.2915,"ADGRV1, AGBL4, BAIAP2, CACNB2, CBLN2, CELF2, CHL1, CPE, DCLK1, DGKB, ENC1, ENSG00000291133"
NETO1 [Astro.2],CHRM3 [Astro.3],61,205,54,0.8852,0.2634,"ADGRV1, AGBL4, BAIAP2, CACNA1C, CACNB2, CBLN2, CELF2, CHL1, DCLK1, DGKB, ENSG00000291133, FARP1"
NETO1 [Astro.2],FZD8 [Astro.2],61,125,24,0.3934,0.192,"ADGRV1, AGBL4, CBLN2, CHL1, CPE, DCLK1, DGKB, FARP1, FGF14, GABRB3, GPM6A, GRM5"
NPTXR [Astro.1],SV2B [Astro.2],22,199,4,0.1818,0.0201,"DNM1, ENC1, SLC17A7, SNAP25"
IL6ST [Astro.3],CHRM3 [Astro.3],4,205,2,0.5,0.0098,"PITPNC1, SORBS1"
NPTXR [Astro.1],FZD8 [Astro.2],22,125,2,0.0909,0.016,"GAD1, OLFM2"
NPTXR [Astro.1],NETO1 [Astro.2],22,61,2,0.0909,0.0328,"ENC1, SNAP25"
ABCA8 [Astro.2],SV2B [Astro.2],1,199,1,1,0.005,MBP
IL6ST [Astro.3],NETO1 [Astro.2],4,61,1,0.25,0.0164,SORBS1
IL6ST [Astro.3],SV2B [Astro.2],4,199,1,0.25,0.005,SORBS1
PLPPR4 [Astro.1],NETO1 [Astro.2],1,61,1,1,0.0164,ENC1
PLPPR4 [Astro.1],NPTXR [Astro.1],1,22,1,1,0.0455,ENC1
PLPPR4 [Astro.1],SV2B [Astro.2],1,199,1,1,0.005,ENC1
