iter	run_hash	mediation_run	donor_key	n_donors	baselineDEGs	mediationCarrierDEGs	mediationMDEGs	medSigBaselineDEGs	mediated_n	pass_both	loss	gain	loss_file	gain_file	mediated_file
1	0d4f2dec005aebff128c2046639e6cc8	Astro.1|ENSG00000101298|SNPH	5d2df78e80df642ea6646fc28e650175	29	1022	451	0	0	0	FALSE	685	114	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.1_ENSG00000101298_SNPH.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.1_ENSG00000101298_SNPH.gain.txt	
2	0d4f2dec005aebff128c2046639e6cc8	Astro.1|ENSG00000117600|PLPPR4	5d2df78e80df642ea6646fc28e650175	29	1022	4	4	1	1	TRUE	1018	0	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.1_ENSG00000117600_PLPPR4.loss.txt		/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.1_ENSG00000117600_PLPPR4.mediated.lst
3	0d4f2dec005aebff128c2046639e6cc8	Astro.1|ENSG00000136928|GABBR2	5d2df78e80df642ea6646fc28e650175	29	1022	0	0	0	0	FALSE	1022	0	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.1_ENSG00000136928_GABBR2.loss.txt		
4	0d4f2dec005aebff128c2046639e6cc8	Astro.1|ENSG00000221890|NPTXR	5d2df78e80df642ea6646fc28e650175	29	1022	792	184	23	22	TRUE	529	299	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.1_ENSG00000221890_NPTXR.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.1_ENSG00000221890_NPTXR.gain.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.1_ENSG00000221890_NPTXR.mediated.lst
5	0d4f2dec005aebff128c2046639e6cc8	Astro.1|ENSG00000226070|LINC00951	5d2df78e80df642ea6646fc28e650175	29	1022	4	0	0	0	FALSE	1019	1	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.1_ENSG00000226070_LINC00951.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.1_ENSG00000226070_LINC00951.gain.txt	
6	0d4f2dec005aebff128c2046639e6cc8	Astro.1|ENSG00000278662|GOLGA6L10	5d2df78e80df642ea6646fc28e650175	29	1022	0	0	0	0	FALSE	1022	0	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.1_ENSG00000278662_GOLGA6L10.loss.txt		
7	0d4f2dec005aebff128c2046639e6cc8	Astro.1|ENSG00000290453|ENSG00000290453	5d2df78e80df642ea6646fc28e650175	29	1022	4	0	0	0	FALSE	1018	0	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.1_ENSG00000290453_ENSG00000290453.loss.txt		
8	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000047457|CP	80c146156f90daa41a2eef910b7d1c83	30	1022	78	0	0	0	FALSE	947	3	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000047457_CP.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000047457_CP.gain.txt	
9	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000056998|GYG2	80c146156f90daa41a2eef910b7d1c83	30	1022	7	0	0	0	FALSE	1017	2	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000056998_GYG2.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000056998_GYG2.gain.txt	
10	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000064787|BCAS1	80c146156f90daa41a2eef910b7d1c83	30	1022	28	0	0	0	FALSE	994	0	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000064787_BCAS1.loss.txt		
