Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to8,Feature log2 fold change topic 7to8
ENSG00000188976,NOC2L,36,-0.2378,10,-2.0940,12,-1.8630,29,-0.5469,81,1.49639,41,-0.0150
ENSG00000188290,HES4,69,0.85058,42,-0.0149,22,-1.0351,50,0.28003,39,-0.1322,38,-0.1985
ENSG00000187608,ISG15,275,1.43373,119,-0.0499,101,-0.3247,31,-2.1286,162,0.55610,67,-1.0658
ENSG00000078808,SDF4,80,0.23596,48,-0.5939,27,-1.4689,98,0.57883,83,0.35891,68,-0.0377
ENSG00000176022,B3GALT6,18,-0.8402,19,-0.7640,21,-0.6569,32,0.03580,54,1.15364,27,-0.3101
ENSG00000160087,UBE2J2,17,-1.3212,19,-1.1392,27,-0.6117,45,0.20431,45,0.25487,60,0.83955
ENSG00000131584,ACAP3,76,-0.0384,52,-0.6483,44,-0.9133,137,0.98801,83,0.12162,73,-0.1023
ENSG00000127054,INTS11,59,0.15815,35,-0.6864,21,-1.4604,79,0.65694,74,0.63730,44,-0.3585
ENSG00000224051,CPTP,21,-0.4149,25,-0.1288,13,-1.1393,14,-1.0047,34,0.46544,37,0.66081
ENSG00000107404,DVL1,46,-0.1286,25,-1.0529,48,-0.0607,60,0.32845,77,0.94179,31,-0.8388
ENSG00000175756,AURKAIP1,95,-0.5465,89,-0.6391,146,0.16075,90,-0.6244,139,0.07970,183,0.65284
ENSG00000221978,CCNL2,68,0.46424,28,-0.9486,20,-1.4962,73,0.56989,65,0.44222,48,-0.1455
ENSG00000242485,MRPL20,156,-0.0857,127,-0.4182,201,0.33410,136,-0.3051,156,-0.0979,191,0.30055
ENSG00000179403,VWA1,156,2.85806,43,0.20204,19,-1.0621,29,-0.4093,15,-1.5631,13,-1.7966
ENSG00000205090,TMEM240,3,-3.5558,17,-0.9304,36,0.22050,24,-0.4131,47,0.81330,39,0.42592
ENSG00000160075,SSU72,124,0.03400,60,-1.1154,92,-0.4531,129,0.09433,138,0.24933,146,0.36219
ENSG00000228594,FNDC10,19,-0.8752,17,-1.0901,30,-0.1765,24,-0.5342,45,0.57404,45,0.57113
ENSG00000197530,MIB2,40,0.13615,19,-0.9935,19,-1.0469,37,-0.0126,33,-0.1972,57,0.89944
ENSG00000215790,SLC35E2A,36,0.22930,4,-3.0546,12,-1.4931,38,0.33811,47,0.83328,33,0.11898
ENSG00000078369,GNB1,251,-0.5643,229,-0.7079,341,-0.0711,404,0.21024,474,0.58272,337,-0.1021
ENSG00000187730,GABRD,17,-1.8618,24,-1.4000,31,-1.0128,57,-0.0343,55,-0.1320,115,1.52186
ENSG00000067606,PRKCZ,55,-1.5310,108,-0.4973,98,-0.6499,121,-0.3246,188,0.48420,211,0.73708
ENSG00000162585,FAAP20,87,1.05293,27,-0.9132,57,0.30233,60,0.39726,38,-0.3893,36,-0.5081
ENSG00000157933,SKI,66,1.14678,22,-0.6676,51,0.67938,57,0.87391,17,-1.2008,21,-0.8411
ENSG00000157916,RER1,92,0.59454,47,-0.5302,47,-0.5058,60,-0.1286,91,0.67714,46,-0.6234
ENSG00000157870,PRXL2B,41,-0.5535,41,-0.5400,41,-0.5321,64,0.18344,85,0.82044,51,-0.2257
ENSG00000158109,TPRG1L,92,-1.0273,65,-1.5501,98,-0.9294,147,-0.2903,294,1.10143,209,0.33934
ENSG00000130764,LRRC47,68,-0.2002,42,-0.9636,25,-1.7383,50,-0.6806,105,0.62536,111,0.74662
ENSG00000069424,KCNAB2,15,-3.9874,99,-1.2582,158,-0.5373,197,-0.1924,319,0.75578,331,0.84081
ENSG00000116254,CHD5,13,-3.4677,101,-0.3755,95,-0.4815,193,0.70497,194,0.87301,116,-0.1805
ENSG00000116251,RPL22,1126,1.31957,750,0.57086,584,0.14537,611,0.21965,309,-0.9814,297,-1.0508
ENSG00000116237,ICMT,61,1.02684,32,-0.0983,20,-0.8139,25,-0.4776,46,0.62599,20,-0.9296
ENSG00000097021,ACOT7,27,-3.4163,141,-0.9628,124,-1.1597,146,-0.9124,503,1.49360,315,0.38783
ENSG00000171680,PLEKHG5,0,-6.1554,20,-0.5419,4,-2.7557,39,0.51646,49,1.14984,34,0.31480
ENSG00000162408,NOL9,31,-0.0827,3,-3.5475,32,-0.0418,55,0.88503,41,0.45716,29,-0.2033
ENSG00000162413,KLHL21,92,1.51245,16,-1.4068,7,-2.5996,55,0.54219,45,0.25292,28,-0.6045
ENSG00000007923,DNAJC11,17,-1.2198,33,-0.1704,24,-0.6916,43,0.23884,54,0.79126,35,-0.0921
ENSG00000171735,CAMTA1,160,0.12332,129,-0.2282,58,-1.4787,228,0.73131,146,-0.0288,161,0.14951
ENSG00000116288,PARK7,361,0.15982,245,-0.4707,250,-0.4392,281,-0.2471,349,0.12468,393,0.35990
ENSG00000162426,SLC45A1,13,-1.6193,23,-0.7696,27,-0.5418,13,-1.6093,67,1.27639,45,0.34490
ENSG00000142599,RERE,77,-0.1235,65,-0.3877,70,-0.2909,161,1.14966,96,0.27687,51,-0.8869
ENSG00000074800,ENO1,536,-0.4982,441,-0.8028,471,-0.7016,821,0.19706,1095,0.84848,688,-0.1105
ENSG00000171603,CLSTN1,344,-0.7162,255,-1.1837,271,-1.0854,562,0.07178,827,0.90222,610,0.24638
ENSG00000178585,CTNNBIP1,33,-0.4457,55,0.41305,26,-0.7781,22,-1.0243,44,0.02359,60,0.68969
ENSG00000162441,LZIC,69,1.04488,60,0.80505,21,-0.8775,38,0.02419,23,-0.8399,32,-0.2694
ENSG00000130939,UBE4B,51,0.27344,39,-0.1681,18,-1.3847,44,0.03126,44,0.02405,53,0.41413
ENSG00000054523,KIF1B,347,0.23719,263,-0.2178,256,-0.2636,438,0.63967,296,-0.0312,255,-0.3080
