Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to11,Feature log2 fold change topic 7to11
ENSG00000188976,NOC2L,3,-3.4214,142,2.42588,30,-0.3794,54,0.61421,23,-1.0660
ENSG00000188290,HES4,3,-4.4404,80,0.11729,96,0.52157,159,1.26163,58,-0.6033
ENSG00000187608,ISG15,3,-5.3346,59,-1.2957,85,-0.8996,195,0.54967,202,1.24147
ENSG00000078808,SDF4,209,0.72437,123,-0.1290,66,-1.2674,303,1.36962,128,-0.1182
ENSG00000160087,UBE2J2,3,-3.5173,136,2.17918,33,-0.3260,1,-4.5363,38,-0.0552
ENSG00000131584,ACAP3,3,-4.7926,283,1.88158,62,-0.7858,105,0.15924,94,-0.0378
ENSG00000127054,INTS11,536,3.52998,79,-0.2080,34,-1.7128,16,-2.5881,53,-1.2062
ENSG00000107404,DVL1,3,-4.1050,107,0.97775,39,-0.7682,49,-0.3036,75,0.69493
ENSG00000175756,AURKAIP1,255,1.47922,127,0.28893,72,-0.7156,11,-3.3205,111,0.13196
ENSG00000221978,CCNL2,120,1.31487,130,1.46160,23,-1.5025,1,-5.0045,56,0.05987
ENSG00000242485,MRPL20,267,1.42469,179,0.72631,84,-0.5673,70,-0.7562,98,-0.3910
ENSG00000179403,VWA1,4,-6.0140,24,-3.5410,58,-2.5250,166,-0.7012,501,3.01617
ENSG00000205090,TMEM240,3,-3.6053,213,3.09782,39,-0.1186,58,0.52434,13,-2.2606
ENSG00000160075,SSU72,3,-4.8645,232,1.41199,94,-0.1128,118,0.27048,93,-0.1950
ENSG00000078369,GNB1,238,0.09044,377,0.84675,191,-0.3128,217,-0.0540,214,-0.1342
ENSG00000067606,PRKCZ,3,-4.3837,239,2.11043,45,-0.8337,21,-1.8759,78,0.22433
ENSG00000162585,FAAP20,285,1.96237,49,-0.9533,70,-0.5060,4,-4.5330,92,0.01586
ENSG00000157933,SKI,220,2.34114,100,0.84948,38,-0.8055,1,-5.1267,43,-0.7487
ENSG00000157916,RER1,3,-4.4179,95,0.40692,51,-0.6666,148,1.15959,81,0.28948
ENSG00000157870,PRXL2B,3,-3.7542,239,3.12379,35,-0.5174,64,0.53380,19,-1.8021
ENSG00000158109,TPRG1L,244,2.06694,228,1.92470,41,-1.0791,5,-3.8220,45,-1.1588
ENSG00000069424,KCNAB2,3,-4.4233,389,3.19632,82,0.22972,98,0.46258,14,-3.0647
ENSG00000116254,CHD5,3,-4.8524,601,3.60239,117,0.32967,94,-0.0783,9,-4.2749
ENSG00000116251,RPL22,1837,0.90587,276,-2.0403,321,-2.0525,1029,-0.0438,1507,1.13796
ENSG00000097021,ACOT7,3,-4.2643,407,3.66112,33,-1.2217,66,0.01292,30,-1.6821
ENSG00000171735,CAMTA1,320,1.33849,259,0.96431,145,0.01278,6,-4.6728,113,-0.5889
ENSG00000049245,VAMP3,262,1.17251,0,-9.7540,45,-1.8310,80,-0.7501,189,1.24883
ENSG00000116288,PARK7,777,1.93702,173,-0.5990,207,-0.4012,52,-2.3965,236,-0.1944
ENSG00000142599,RERE,165,1.19219,207,1.60754,66,-0.3751,42,-1.0042,54,-0.9002
ENSG00000074800,ENO1,2575,2.89496,711,0.41866,616,0.23481,6,-6.4710,179,-2.2594
ENSG00000171603,CLSTN1,830,1.75292,1087,2.30120,211,-0.6492,39,-3.0347,140,-1.6246
ENSG00000054523,KIF1B,866,1.82838,328,0.14293,168,-1.0534,58,-2.4821,309,0.07742
ENSG00000120948,TARDBP,283,2.35222,59,-0.3914,32,-1.4936,53,-0.5629,68,-0.2606
ENSG00000116649,SRM,211,1.58506,226,1.72079,63,-0.5159,43,-1.0154,48,-1.1982
ENSG00000116661,FBXO2,725,2.09326,340,0.70913,302,0.67125,1,-6.9850,90,-1.8693
ENSG00000132879,FBXO44,3,-4.4263,318,2.67578,73,-0.0333,153,1.21038,24,-2.2460
ENSG00000011021,CLCN6,3,-3.4602,196,3.14376,29,-0.4646,1,-4.4794,25,-0.9340
ENSG00000116688,MFN2,3,-3.9970,96,0.91459,36,-0.7731,2,-4.5744,79,1.16279
ENSG00000116731,PRDM2,3,-3.6363,119,1.75307,21,-1.2266,72,0.86174,42,-0.0379
ENSG00000116786,PLEKHM2,3,-3.9901,119,1.30412,63,0.28228,72,0.44196,43,-0.5488
ENSG00000065526,SPEN,3,-3.4907,63,0.79929,33,-0.3061,1,-4.5096,51,0.88337
ENSG00000055070,SZRD1,318,2.39314,27,-1.7292,43,-1.1962,1,-5.5980,89,0.16852
ENSG00000159363,ATP13A2,3,-4.0399,183,2.05072,57,0.00453,29,-1.0204,47,-0.4390
ENSG00000117118,SDHB,159,1.62871,97,0.75016,39,-0.8049,29,-1.1161,54,-0.3278
ENSG00000117115,PADI2,3,-5.1693,14,-3.1986,40,-1.9543,44,-1.5518,236,2.94581
ENSG00000077549,CAPZB,459,1.63438,397,1.36700,93,-1.1417,166,-0.0942,126,-0.7774
ENSG00000173436,MICOS10,476,0.85228,243,-0.2364,140,-1.2612,129,-1.2082,368,0.80049
ENSG00000158747,NBL1,3,-5.5790,394,1.47837,134,-0.3882,561,2.16949,89,-1.3450
ENSG00000162545,CAMK2N1,3,-7.0950,776,0.82086,368,-0.4664,171,-1.5410,623,0.86276
ENSG00000158828,PINK1,305,0.76825,255,0.47130,128,-0.7349,70,-1.5160,215,0.34986
ENSG00000127483,HP1BP3,380,1.81874,161,0.31206,92,-0.6766,56,-1.2984,116,-0.3237
ENSG00000075151,EIF4G3,265,1.91974,167,1.06048,41,-1.3349,1,-5.6895,81,-0.1932
ENSG00000076864,RAP1GAP,3,-4.0708,349,3.59139,47,-0.3804,55,-0.0856,17,-2.3829
ENSG00000070831,CDC42,359,0.77181,332,0.63909,87,-1.6562,224,0.00261,257,0.39021
ENSG00000125944,HNRNPR,164,1.00903,68,-0.4079,47,-1.1438,19,-2.2730,117,0.83010
ENSG00000117318,ID3,274,2.05232,4,-4.4370,49,-0.9915,60,-0.5350,89,0.14176
ENSG00000142676,RPL11,1052,-0.1116,226,-2.4260,357,-1.9873,980,-0.2225,1818,1.71026
ENSG00000057757,PITHD1,321,1.84347,151,0.50991,47,-1.5069,66,-0.7873,107,-0.0853
ENSG00000189266,PNRC2,259,1.90970,44,-1.0401,40,-1.3659,119,0.52689,81,-0.1579
ENSG00000001461,NIPAL3,3,-4.6030,27,-1.7132,11,-3.3184,1,-5.6119,171,3.95190
ENSG00000133226,SRRM1,3,-4.3663,85,0.28436,46,-0.8017,34,-1.1286,104,1.25766
ENSG00000169504,CLIC4,3,-5.2439,1,-7.0143,45,-1.8536,226,0.90375,214,1.80965
ENSG00000117614,SYF2,254,1.43267,44,-1.3607,67,-0.8821,133,0.33005,112,0.08521
ENSG00000117616,RSRP1,277,1.92875,132,0.59800,30,-1.9042,42,-1.1743,92,0.02764
ENSG00000183726,TMEM50A,3,-4.7930,125,0.43643,60,-0.8477,149,0.72839,118,0.62643
ENSG00000162430,SELENON,521,3.28280,94,-0.0300,42,-1.4422,1,-5.8161,62,-0.9970
ENSG00000117640,MTFR1L,3,-3.4623,107,1.77189,44,0.31193,1,-4.4816,34,-0.2362
ENSG00000117632,STMN1,6,-6.2459,890,1.03510,112,-2.4497,54,-3.2429,789,1.87835
ENSG00000142669,SH3BGRL3,586,1.29288,172,-0.6992,131,-1.2947,392,0.60077,286,0.15282
ENSG00000198830,HMGN2,259,0.77923,62,-1.4432,88,-1.0874,97,-0.7809,217,0.92689
ENSG00000117713,ARID1A,3,-3.9281,97,1.01104,34,-0.7609,1,-4.9456,74,1.10133
ENSG00000090273,NUDC,1049,3.29941,216,0.19094,71,-1.7286,2,-6.3858,126,-0.9690
ENSG00000186501,TMEM222,3,-4.4901,200,1.62320,52,-0.7420,2,-5.1862,97,0.69427
ENSG00000158195,WASF2,3,-4.5330,5,-3.9961,39,-1.2743,78,-0.0360,134,1.97699
ENSG00000126709,IFI6,1406,2.25618,178,-1.2257,162,-1.5689,474,0.29046,360,-0.2351
ENSG00000117758,STX12,238,1.79779,94,0.19005,56,-0.7270,1,-5.6210,83,-0.0097
ENSG00000126698,DNAJC8,388,2.03083,191,0.73581,68,-1.0562,117,-0.0505,87,-0.7828
ENSG00000130770,ATP5IF1,718,2.13593,278,0.42753,105,-1.2739,97,-1.2062,188,-0.3199
ENSG00000116350,SRSF4,3,-3.5219,61,0.70424,38,-0.0478,1,-4.5411,50,0.73340
ENSG00000162512,SDC3,3,-4.4176,191,1.62703,89,0.40329,75,0.03349,54,-0.7262
ENSG00000134644,PUM1,271,1.86907,237,1.61354,48,-1.1459,50,-0.9361,61,-0.9349
ENSG00000121766,ZCCHC17,3,-4.4991,257,2.10195,53,-0.7205,121,0.71590,63,-0.5123
ENSG00000121769,FABP3,3,-3.7957,376,4.63102,30,-0.8480,1,-4.8134,11,-2.8372
ENSG00000162517,PEF1,3,-3.8719,154,1.94307,25,-1.2676,12,-2.0808,62,0.59708
ENSG00000084636,COL16A1,316,2.65849,77,0.06454,23,-2.0204,1,-5.3839,70,-0.1358
ENSG00000121753,ADGRB2,3,-4.5420,411,3.12249,90,0.23789,1,-5.5579,39,-1.5504
ENSG00000184007,PTP4A2,3,-6.7596,80,-2.3279,101,-2.2178,54,-2.8948,731,3.30432
ENSG00000121774,KHDRBS1,479,2.36320,219,0.88275,57,-1.4197,104,-0.3306,87,-0.9048
ENSG00000084623,EIF3I,3,-4.0445,135,1.45862,46,-0.3970,1,-5.0616,69,0.57436
ENSG00000175130,MARCKSL1,3,-7.2369,161,-1.7757,215,-1.5552,65,-3.0979,966,2.72363
ENSG00000160058,BSDC1,3,-3.6551,130,1.90034,37,-0.2868,1,-4.6736,46,0.15494
ENSG00000162521,RBBP4,315,2.23326,87,-0.0298,54,-0.9041,87,-0.0427,66,-0.7226
ENSG00000134684,YARS,3,-3.7824,145,1.93857,43,-0.1846,82,0.90585,32,-0.8927
ENSG00000121905,HPCA,3,-4.7646,681,4.28404,74,-0.4442,46,-1.0953,15,-3.3666
ENSG00000121900,TMEM54,3,-3.4725,28,-0.4811,53,0.72018,1,-4.4919,45,0.48232
ENSG00000134686,PHC2,3,-4.5107,78,-0.0070,44,-1.0539,151,1.08727,99,0.71036
ENSG00000116544,DLGAP3,3,-2.9270,152,3.44878,33,0.49628,1,-3.9491,6,-2.7144
ENSG00000116560,SFPQ,3,-5.5187,105,-0.6315,73,-1.3743,455,1.82870,190,0.54504
ENSG00000020129,NCDN,3,-5.3042,835,3.65760,96,-0.6450,58,-1.3104,62,-1.6712
ENSG00000126067,PSMB2,3,-4.3608,123,0.90617,52,-0.5641,42,-0.7940,90,0.73157
ENSG00000116871,MAP7D1,3,-5.5803,273,0.83183,63,-1.6786,69,-1.3250,255,1.51007
ENSG00000054118,THRAP3,431,3.16725,110,0.46282,24,-2.1208,1,-5.6025,59,-0.7965
ENSG00000163875,MEAF6,3,-4.0107,185,2.11442,29,-1.1695,143,1.60469,38,-0.8539
ENSG00000197982,C1orf122,3,-6.3191,179,-0.6644,180,-0.7812,180,-0.6525,423,1.48863
ENSG00000174574,AKIRIN1,49,-0.2258,67,0.27654,39,-0.6795,1,-5.0522,77,0.97216
ENSG00000168653,NDUFS5,449,0.45333,385,0.20439,250,-0.5739,123,-1.5480,404,0.50573
ENSG00000127603,MACF1,245,0.80030,146,-0.0413,126,-0.3336,138,-0.1342,149,-0.0248
ENSG00000090621,PABPC4,3,-4.0952,79,0.47010,32,-1.1006,134,1.38521,67,0.35868
ENSG00000116983,HPCAL4,3,-4.9205,568,3.29338,95,-0.1683,91,-0.2137,39,-2.0035
ENSG00000131236,CAP1,3,-4.7212,80,-0.1950,76,-0.3305,110,0.31145,115,0.70377
ENSG00000131238,PPT1,464,2.58304,161,0.58511,81,-0.6114,22,-2.4632,69,-1.0997
ENSG00000049089,COL9A2,13,-2.3901,0,-8.7617,17,-2.2058,1,-5.2548,129,3.48604
ENSG00000065978,YBX1,478,1.02178,58,-2.2503,100,-1.6572,895,2.20643,220,-0.3908
ENSG00000117394,SLC2A1,33,-2.8220,20,-3.5841,158,-0.6261,443,1.16089,291,0.84545
ENSG00000066322,ELOVL1,3,-5.5827,25,-2.7870,29,-2.8691,16,-3.4803,336,3.90709
ENSG00000142949,PTPRF,75,-0.4988,328,2.01569,104,0.00672,1,-5.9264,84,-0.5006
ENSG00000126091,ST3GAL3,3,-2.8396,64,1.63275,36,0.79737,1,-3.8615,19,-0.6420
ENSG00000117408,IPO13,136,0.19936,85,-0.5328,37,-2.0178,40,-1.6814,190,1.60684
ENSG00000117410,ATP6V0B,27,-3.3713,1009,2.47639,145,-1.0352,172,-0.6213,235,-0.2193
ENSG00000117411,B4GALT2,3,-3.9436,86,0.79024,64,0.39270,1,-4.9611,60,0.33807
ENSG00000117419,ERI3,3,-4.8453,291,1.86509,94,-0.1045,123,0.34613,78,-0.5787
ENSG00000187147,RNF220,196,0.84102,128,0.13775,31,-2.2297,4,-4.9234,173,1.29553
ENSG00000142937,RPS8,2168,0.26037,650,-1.5926,581,-1.9929,2271,0.33598,2687,1.23778
ENSG00000126088,UROD,3,-3.3098,37,0.12401,43,0.50247,2,-3.6851,40,0.47752
