Feature ID,Feature Name,Feature count topic 1to4,Feature log2 fold change topic 1to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to11,Feature log2 fold change topic 6to11
ENSG00000228794,LINC01128,19,-0.2241,9,-1.2288,24,0.50841
ENSG00000188976,NOC2L,58,0.61806,34,-0.4479,38,-0.4685
ENSG00000188290,HES4,92,0.14285,79,-0.1307,84,-0.0928
ENSG00000187608,ISG15,114,0.49137,76,-0.3246,82,-0.3750
ENSG00000188157,AGRN,49,0.25335,31,-0.5459,42,-0.0854
ENSG00000078808,SDF4,74,0.31728,57,-0.1898,60,-0.2427
ENSG00000176022,B3GALT6,38,0.33323,18,-0.9503,32,-0.0768
ENSG00000160087,UBE2J2,56,1.00275,27,-0.5289,28,-0.8397
ENSG00000131584,ACAP3,87,0.08616,53,-0.7099,87,0.11315
ENSG00000169972,PUSL1,16,0.53266,8,-0.6460,12,-0.3358
ENSG00000127054,INTS11,64,0.79104,42,-0.1510,36,-0.7274
ENSG00000224051,CPTP,41,0.56683,15,-1.1654,29,-0.2693
ENSG00000107404,DVL1,61,-0.2156,68,0.02694,71,0.18927
ENSG00000175756,AURKAIP1,215,0.29229,211,0.17281,169,-0.3380
ENSG00000221978,CCNL2,43,0.39888,37,0.03850,31,-0.3948
ENSG00000242485,MRPL20,188,0.02005,201,0.12058,182,-0.0602
ENSG00000235098,ANKRD65,9,-0.5188,26,1.39875,10,-0.2270
ENSG00000179403,VWA1,21,-0.5249,121,2.75346,15,-1.3971
ENSG00000197785,ATAD3A,23,0.66422,16,-0.1031,14,-0.6132
ENSG00000205090,TMEM240,48,0.47527,26,-0.6166,36,-0.2857
ENSG00000160075,SSU72,154,0.27537,102,-0.4579,132,-0.1285
ENSG00000228594,FNDC10,33,0.28323,19,-0.6643,28,-0.0868
ENSG00000272106,AL691432.2,19,0.06975,16,-0.2505,19,0.01227
ENSG00000197530,MIB2,37,-0.0567,42,0.14548,38,0.00216
ENSG00000189339,SLC35E2B,17,-0.1536,12,-0.5800,19,0.30949
ENSG00000215790,SLC35E2A,24,-0.1818,19,-0.4807,28,0.31068
ENSG00000008130,NADK,27,0.05251,18,-0.6055,27,0.12143
ENSG00000078369,GNB1,417,0.02002,283,-0.5883,432,0.14818
ENSG00000187730,GABRD,131,0.34177,29,-2.0463,116,0.06352
ENSG00000067606,PRKCZ,220,0.17454,137,-0.6182,204,0.00767
ENSG00000162585,FAAP20,53,-0.0817,93,0.85669,50,-0.2858
ENSG00000157933,SKI,16,-0.7854,22,-0.0501,28,0.71280
ENSG00000157916,RER1,78,0.40049,53,-0.3539,60,-0.2776
ENSG00000157911,PEX10,34,0.04399,42,0.40190,31,-0.1904
ENSG00000149527,PLCH2,28,0.78800,16,-0.3478,16,-0.6667
ENSG00000197921,HES5,6,-1.4423,19,0.53005,17,0.95992
ENSG00000157870,PRXL2B,56,0.26417,32,-0.6883,49,-0.0630
ENSG00000177133,PRDM16-DT,6,-1.3608,13,-0.0526,18,1.17239
ENSG00000158109,TPRG1L,164,0.32655,92,-0.6804,137,-0.1254
ENSG00000116213,WRAP73,20,1.16081,8,-0.7313,9,-0.9555
ENSG00000130764,LRRC47,79,0.34334,46,-0.5914,65,-0.1621
ENSG00000116198,CEP104,10,-0.1159,17,0.75572,10,-0.2035
ENSG00000196581,AJAP1,36,0.38075,10,-1.6336,30,-0.0190
ENSG00000069424,KCNAB2,169,-0.0465,92,-0.9736,189,0.29395
ENSG00000116254,CHD5,115,0.16121,53,-1.0866,111,0.11517
ENSG00000116251,RPL22,382,-0.4309,881,1.05120,454,-0.0858
ENSG00000116237,ICMT,37,0.15135,30,-0.2265,33,-0.0722
ENSG00000097021,ACOT7,378,0.71378,125,-1.2649,248,-0.4001
ENSG00000215788,TNFRSF25,12,0.11041,15,0.44935,10,-0.2726
ENSG00000171680,PLEKHG5,24,0.08568,5,-2.3451,26,0.34124
ENSG00000162408,NOL9,22,0.17601,16,-0.3873,20,-0.0510
ENSG00000162413,KLHL21,21,0.40277,27,0.64288,14,-0.6426
ENSG00000116273,PHF13,14,0.18555,16,0.24895,12,-0.2636
ENSG00000041988,THAP3,18,-0.0253,17,-0.1260,18,0.06428
ENSG00000007923,DNAJC11,19,-0.6722,29,0.10139,32,0.56188
ENSG00000171735,CAMTA1,160,0.25435,145,0.02383,132,-0.2492
ENSG00000049245,VAMP3,15,-0.5603,83,2.58850,12,-1.1869
ENSG00000049246,PER3,12,-0.3342,16,0.18102,16,0.23997
ENSG00000116288,PARK7,386,0.17392,427,0.28325,328,-0.2656
ENSG00000116285,ERRFI1,19,0.32399,14,-0.2275,15,-0.2382
ENSG00000162426,SLC45A1,59,1.03151,20,-1.0734,30,-0.7531
ENSG00000142599,RERE,73,0.34413,66,0.06079,56,-0.3488
ENSG00000074800,ENO1,706,0.37494,582,-0.0576,538,-0.3397
ENSG00000171612,SLC25A33,40,0.25421,37,0.04868,33,-0.2575
ENSG00000171608,PIK3CD,17,0.47866,9,-0.6484,12,-0.2818
ENSG00000171603,CLSTN1,696,0.49955,243,-1.3011,534,-0.1814
ENSG00000178585,CTNNBIP1,34,-0.2527,35,-0.1216,41,0.27209
ENSG00000162441,LZIC,28,-0.0854,45,0.66680,28,-0.1882
ENSG00000130939,UBE4B,37,0.45296,24,-0.3848,27,-0.3209
ENSG00000054523,KIF1B,195,0.00761,158,-0.3210,200,0.09088
ENSG00000142657,PGD,68,1.22004,35,-0.3460,28,-1.1179
ENSG00000241563,CORT,618,3.73543,92,-1.5517,38,-3.7260
ENSG00000160049,DFFA,32,-0.0835,36,0.11957,34,0.03611
ENSG00000142655,PEX14,34,0.98296,11,-1.1103,18,-0.6971
ENSG00000120948,TARDBP,71,0.60001,41,-0.4438,47,-0.4515
ENSG00000116649,SRM,153,0.64271,88,-0.4612,100,-0.4898
ENSG00000171824,EXOSC10,27,0.59789,16,-0.4405,18,-0.4502
ENSG00000198793,MTOR,43,0.27563,25,-0.6518,37,-0.0823
ENSG00000116661,FBXO2,201,-0.3072,417,0.97179,220,-0.1469
ENSG00000132879,FBXO44,171,0.35864,70,-1.1327,144,-0.0693
ENSG00000116670,MAD2L2,21,-0.0822,21,-0.0275,22,0.08549
ENSG00000011021,CLCN6,51,0.41858,19,-1.2184,41,-0.1142
ENSG00000116685,KIAA2013,43,0.61309,20,-0.7669,29,-0.3894
ENSG00000083444,PLOD1,25,0.29168,28,0.36189,19,-0.4100
ENSG00000116688,MFN2,80,0.32257,51,-0.4863,66,-0.1672
ENSG00000116691,MIIP,17,0.59225,14,0.07281,11,-0.5990
ENSG00000048707,VPS13D,33,-0.0201,29,-0.2329,34,0.09173
ENSG00000162496,DHRS3,19,-0.1775,42,1.16997,18,-0.3747
ENSG00000116731,PRDM2,50,-0.1752,32,-0.8011,61,0.38051
ENSG00000189337,KAZN,89,1.47247,38,-0.4926,31,-1.3479
ENSG00000142634,EFHD2,162,0.75302,80,-0.6307,99,-0.5598
ENSG00000116138,DNAJC16,27,0.45043,16,-0.4982,20,-0.2894
ENSG00000197312,DDI2,15,-0.1354,15,-0.0759,17,0.15032
ENSG00000116786,PLEKHM2,67,-0.1561,55,-0.4109,78,0.26841
ENSG00000065526,SPEN,25,0.24267,21,-0.1253,21,-0.1900
ENSG00000116809,ZBTB17,11,-0.1441,15,0.32851,12,0.01240
ENSG00000185519,FAM131C,27,0.87046,20,0.08672,14,-0.8898
ENSG00000037637,FBXO42,19,0.61324,5,-1.6574,14,-0.2465
ENSG00000055070,SZRD1,13,-0.7547,41,1.23945,20,0.06153
ENSG00000157191,NECAP2,9,-0.2909,27,1.63829,8,-0.5861
ENSG00000219481,NBPF1,12,0.30809,19,1.02290,8,-0.7478
ENSG00000238142,BX284668.5,13,-0.4343,25,0.76267,16,0.07168
ENSG00000159363,ATP13A2,201,0.51311,90,-0.9173,149,-0.2599
ENSG00000117118,SDHB,113,0.29920,91,-0.1527,92,-0.2363
ENSG00000117115,PADI2,9,-1.5125,78,2.34381,19,-0.2836
ENSG00000179051,RCC2,17,0.72635,14,0.17453,10,-0.7725
ENSG00000074964,ARHGEF10L,13,-0.1545,14,0.06037,14,0.12213
ENSG00000117154,IGSF21,113,0.92032,24,-1.7777,65,-0.5403
ENSG00000159423,ALDH4A1,11,-1.2988,37,0.80742,28,0.71049
ENSG00000127481,UBR4,19,1.42460,10,-0.2682,6,-1.3639
ENSG00000127463,EMC1,36,0.94399,15,-0.7780,19,-0.7213
ENSG00000053372,MRTO4,32,0.09162,15,-1.0876,32,0.18254
ENSG00000053371,AKR7A2,43,0.13318,63,0.69980,36,-0.4073
ENSG00000077549,CAPZB,264,0.52802,144,-0.5998,189,-0.3417
ENSG00000173436,MICOS10,307,-0.1366,434,0.45834,321,-0.0480
ENSG00000158747,NBL1,245,0.69659,134,-0.4986,154,-0.5345
ENSG00000162545,CAMK2N1,1086,0.03583,619,-0.8468,1133,0.19034
