gene_name,layer,source,note
SNAP25,GM,Maynard et al.,
FABP7,L1,Maynard et al.,
AQP4,L1,Maynard et al.,
HPCAL1,L2,Maynard et al.,
ENC1,L2,Maynard et al.,
PVALB,L4,Maynard et al.,
TRABD2A,L4,Maynard et al.,
PCP4,L5,Maynard et al.,
KRT17,L6,Maynard et al.,
CCK,L6,Maynard et al.,
MBP,WM,Maynard et al.,
ETV1,L5a,Gerlei et al.,
BCL11B,L5b,Gerlei et al.,Ctip2
DCC,L2,Ramsden et al.,
KITL,L3,Ramsden et al.,
ETV1,L5a,Ramsden et al.,
FEZF2,L5b,Ramsden et al.,
NXPH4,L6,Ramsden et al.,
WFS1,Para-subiculum,Ramsden et al.,
MRG1,Para-subiculum,Ramsden et al.,
