cell_type_anno,primary_xSpD,RoE,prop_xSpD,enrichment,n_donor,padj,sig_by_donor
Astro.1,xL1_inhib,3.1789894450899765,0.16890998210534505,enriched,16,9.047055075354614e-5,TRUE
Astro.2,xL1_inhib,2.3937604488923148,0.12717285495758587,enriched,16,9.047055075354614e-5,TRUE
Astro.3,xL6,2.4017572846528585,0.1765536723163842,enriched,16,0.011478505347510003,TRUE
Astro.4,xGL,5.343155964793943,0.43528528528528526,enriched,16,9.047055075354614e-5,TRUE
Astro.5,xGL,2.161707730306036,0.17599345647876763,enriched,16,9.047055075354614e-5,TRUE
Macro,xVasc_im,16.814033153282292,0.6722164412070759,enriched,16,1.5945434570312507e-4,TRUE
Micro.1,xWMd,3.8528497459285265,0.6857142857142857,enriched,16,0.02698500527136847,TRUE
Micro.2,xLD_glia,1.5154881183696822,0.2312492777071536,enriched,16,9.047055075354614e-5,TRUE
Micro.3,xWMd,3.0267474550608893,0.531502423263328,enriched,16,0.005139920301053115,TRUE
Micro.4,xWMd,2.492364303085907,0.4434782608695652,enriched,16,0.05445405400326037,FALSE
Micro.5,xLD_glia,1.5787723662658601,0.2409009009009009,enriched,16,9.047055075354614e-5,TRUE
OPC.1,xL2,2.870270451887729,0.24,enriched,16,1,FALSE
OPC.2,xL1_inhib,2.0911325884994936,0.11112600536193029,enriched,16,9.047055075354614e-5,TRUE
OPC.3,xWMd,2.112154003004596,0.4166666666666667,enriched,16,1,FALSE
OPC.4,xL1_inhib,1.8500045632199804,0.0984936268829664,enriched,16,0.007537841796875002,TRUE
OPC.5,xL6,1.6924280197453048,0.12375621890547264,enriched,16,1.5945434570312507e-4,TRUE
Oligo.1,xWMd,3.2874305685882432,0.5765049325548621,enriched,16,9.047055075354614e-5,TRUE
Oligo.2,xWMd,4.223931950039495,0.7407605784681307,enriched,16,9.047055075354614e-5,TRUE
Oligo.3,xWMuf,1.9131335361526622,0.2651698220911426,enriched,16,9.047055075354614e-5,TRUE
Oligo.4,xWMd,2.7012157653405238,0.4736371760500447,enriched,16,9.047055075354614e-5,TRUE
Oligo.5,xWMd,2.9086545476894186,0.5104419621175328,enriched,16,9.047055075354614e-5,TRUE
Vasc.Endo,xVasc_mural,4.022685175789845,0.25873378537735847,enriched,16,9.047055075354614e-5,TRUE
Vasc.PC,xVasc_mural,7.168737248518805,0.46113860148947866,enriched,16,9.047055075354614e-5,TRUE
Vasc.VLMC,xVasc_im,14.295682189568117,0.5693459416863672,enriched,16,9.047055075354614e-5,TRUE
Excit.L2,xL2,8.53494559371843,0.6027576577362772,enriched,16,9.047055075354614e-5,TRUE
Excit.L2_5.mix,xL2,3.1612660972404703,0.22335439168534746,enriched,16,9.047055075354614e-5,TRUE
Excit.L2_5.RELN,xL2,4.198120111678178,0.2975206611570248,enriched,16,0.002294238357524089,TRUE
Excit.L5.RELN,xL5,7.128706891154434,0.7172664045963109,enriched,16,0.0013437292117886006,TRUE
Excit.L5.RORB,xL5,6.888269848633486,0.6929637526652452,enriched,16,9.047055075354614e-5,TRUE
Excit.L5_6.NP,xL5,5.641899898688411,0.5748299319727891,enriched,16,0.03181308653296495,TRUE
Excit.L6.CT,xL6,10.599755422988643,0.7782546494992847,enriched,16,9.047055075354614e-5,TRUE
Excit.L6b,xL6,10.588804707993953,0.7773876404494382,enriched,16,0.0013437292117886006,TRUE
Inhib.HTR3A,xL1_inhib,7.308615796412091,0.3925104022191401,enriched,16,9.047055075354614e-5,TRUE
Inhib.LAMP5_LHX6,xL1_inhib,3.2652467277567534,0.1738455568490493,enriched,16,9.047055075354614e-5,TRUE
Inhib.PVALB,xL5,4.721497685906189,0.4751280175566935,enriched,16,9.047055075354614e-5,TRUE
Inhib.VIP,xL1_inhib,6.523974559448358,0.3469123827998707,enriched,16,9.047055075354614e-5,TRUE
Inhib.Chandelier,xL5,3.2676866812675995,0.3298429319371728,enriched,16,9.047055075354614e-5,TRUE
Inhib.SST,xL5,3.6234263760776373,0.36481381543443064,enriched,16,9.047055075354614e-5,TRUE
