SpX,cell_type_anno,n_cell,expected_n,std_resid,RoE,log2_RoE,enrichment,prop_SpX,prop_cell_type,n_donor,mean_log2_RoE,p_value,padj,sig_by_donor
L1b~SpX7,Astro.1,3433,1088.2650862282858,75.92290204374751,3.15357283534355,1.656987254273102,enriched,0.26709717575663267,0.13413299992185668,16,1.6790120873163623,3.0517578125000014e-5,8.920522836538465e-5,TRUE
Inhib~SpX5,Astro.1,1978,719.954068923081,49.31700023525373,2.746184781713314,1.4574287029403947,enriched,0.15389403252159028,0.1168202220647295,16,1.422256724632326,3.0517578125000014e-5,8.920522836538465e-5,TRUE
L2.3~SpX4,Astro.1,1584,871.9216948580616,25.525751096276498,1.8162088464086048,0.8609301081100789,enriched,0.12323971057340699,0.07724568418999317,16,0.9589172653329823,3.0517578125000014e-5,8.920522836538465e-5,TRUE
L5~SpX1,Astro.1,2617,2098.547904419427,12.64423377371334,1.2469939321008354,0.31845444499971437,neutral,0.2036100521279079,0.05302508408639624,16,0.08514389439741002,0.49542236328125006,0.5165684397627669,FALSE
L6~SpX9,Astro.1,910,1102.5944342809128,-6.199360290586276,0.8254053068389728,-0.27682538088739084,neutral,0.07080059130164164,0.035093131772781616,16,-0.5203889270090561,0.03353881835937501,0.04279953686159049,TRUE
WMtz~SpX8,Astro.1,1402,2021.2884818330085,-15.334435054595975,0.6936927441234878,-0.5276313005054549,neutral,0.10907959231307866,0.029492816122178512,16,-0.573736725916802,9.155273437500004e-5,2.1895828780594417e-4,TRUE
L1a~SpX6,Astro.1,575,942.4203864641606,-12.70609026464298,0.6103378485198062,-0.7123200367081811,depleted,0.04473663736092741,0.025942970582927268,16,-0.8584520013144137,0.002685546875000001,0.004193867722602741,TRUE
Vasc~SpX3,Astro.1,154,1568.4045467928636,-38.952834989889176,0.09847635429180641,-3.3440788371977774,depleted,0.011981638527970124,0.004175025755029009,16,-2.896452252010138,3.0517578125000014e-5,8.920522836538465e-5,TRUE
WM~SpX2,Astro.1,200,2439.6033962001993,-51.48168691133705,0.08216864921061316,-3.6052681396120514,depleted,0.015560569516844317,0.003485838779956427,16,-3.633999998111431,3.0517578125000014e-5,8.920522836538465e-5,TRUE
L1b~SpX7,Astro.2,3244,1217.7257037372758,62.18993433216956,2.6632995758064495,1.413214716277424,enriched,0.22555972743707411,0.1267484566695319,16,1.4162068901382108,3.0517578125000014e-5,8.920522836538465e-5,TRUE
Inhib~SpX5,Astro.2,1529,805.6002037852447,26.879510157607776,1.8974067898976466,0.9240290149923183,enriched,0.1063134473647615,0.09030238601464682,16,0.906615080840971,6.103515625000003e-5,1.546223958333334e-4,TRUE
L1a~SpX6,Astro.2,1477,1054.5312376976237,13.847969620348726,1.4004324679753772,0.48587241506819306,neutral,0.10269781671533862,0.06663959574084101,16,0.3464009358085442,0.05065917968750001,0.061876569475446445,FALSE
L5~SpX1,Astro.2,2701,2348.192325632942,8.1557652916056,1.1502145132066122,0.20190294662972816,neutral,0.18780419969406204,0.054727073793410866,16,0.16754048976369712,0.14385986328125003,0.1662164636560389,FALSE
L6~SpX9,Astro.2,1365,1233.7596789720756,4.004176770888396,1.1063312066851483,0.14578335547323765,neutral,0.09491030454735086,0.05263969765917242,16,0.14991091232542278,0.19281005859375003,0.21834781469888248,FALSE
L2.3~SpX4,Astro.2,936,975.6459826848705,-1.3470781004013337,0.9593851909569663,-0.059817924576477395,neutral,0.06508135168961202,0.045645177021359604,16,-0.05538317880321734,1,1,FALSE
