xSpD,cell_type_anno,n_cell,expected_n,std_resid,RoE,log2_RoE,enrichment,prop_xSpD,prop_cell_type,n_donor,mean_log2_RoE,p_value,padj,sig_by_donor
xL1_inhib,Astro.1,2171,682.5787070884845,59.8320896512697,3.1789894450899765,1.6685682264344839,enriched,0.16890998210534505,0.1352395190930044,16,1.6970916501850577,3.0517578125000014e-5,9.047055075354614e-5,TRUE
xLD_glia,Astro.1,4103,1960.9946671783352,53.69896185397713,2.0920270998763404,1.0649015402100819,enriched,0.3192250836380612,0.08896550228756044,16,0.9253335635008137,3.0517578125000014e-5,9.047055075354614e-5,TRUE
xL2,Astro.1,1826,907.213560981742,32.33626889233487,2.012198647803102,1.0087727375756999,enriched,0.1420679996887886,0.08558305211848519,16,1.1187693716778466,3.0517578125000014e-5,9.047055075354614e-5,TRUE
xGL,Astro.1,1094,1046.2975297655478,1.572484707460881,1.0455699109694463,0.06428952949027662,neutral,0.0851163152571384,0.044458893810704274,16,0.09203169219649744,0.5281677246093751,0.5451212565104168,FALSE
xL5,Astro.1,1167,1291.5547391648113,-3.7345240035783456,0.9035994873984025,-0.14624464258043818,neutral,0.09079592313078659,0.038419753086419754,16,-0.37859899956379184,0.006286621093750002,0.008788654238085286,TRUE
xL6,Astro.1,792,939.5290046612566,-5.109055628391018,0.8430590929325428,-0.2462943366822594,neutral,0.061619855286703495,0.035843591600289645,16,-0.5241064766992996,0.04431152343750001,0.05431735131048388,FALSE
xVasc_adj,Astro.1,479,652.6444013643026,-7.129740174313574,0.734140871449575,-0.44587117208929306,neutral,0.03726756399284214,0.03120724477164636,16,-0.5976108390755464,1.5258789062500005e-4,3.4663988196331535e-4,TRUE
xWMuf,Astro.1,1029,1781.4313531538744,-19.629770878019343,0.5777439171143536,-0.7914979298009551,depleted,0.08005913016416401,0.0245608172617911,16,-0.8943489806022927,6.103515625000003e-5,1.5945434570312507e-4,TRUE
xWMd,Astro.1,141,2253.5344731192044,-50.08033083705272,0.06277632471352038,-3.993635622033241,depleted,0.010970201509375244,0.002660427555236891,16,-4.016389976626176,3.0517578125000014e-5,9.047055075354614e-5,TRUE
xVasc_im,Astro.1,31,510.71157109822383,-22.137673128008778,0.061618323568712045,-4.020496757835727,depleted,0.002411888275110869,0.0025809674465073684,16,-3.7119338664056545,3.0517578125000014e-5,9.047055075354614e-5,TRUE
xVasc_mural,Astro.1,20,826.5099924242173,-29.638329492409856,0.024788092269487916,-5.3342089461538835,depleted,0.0015560569516844317,0.001028912439551394,16,-4.59428487778179,3.0517578125000014e-5,9.047055075354614e-5,TRUE
xL1_inhib,Astro.2,1829,763.7786482024884,40.58737581733647,2.3937604488923148,1.25927878449231,enriched,0.12717285495758587,0.11393509001432754,16,1.2419976844927572,3.0517578125000014e-5,9.047055075354614e-5,TRUE
xGL,Astro.2,2193,1170.7656635095393,31.94028883695456,1.8727604405540872,0.9051663649687894,enriched,0.1524822695035461,0.08912098183443735,16,0.8186780186208605,3.0517578125000014e-5,9.047055075354614e-5,TRUE
xLD_glia,Astro.2,3864,2194.275679091171,39.67646104335041,1.7607721995535512,0.8162082721260417,enriched,0.2686691697955778,0.0837832563585507,16,0.8133668386160555,3.0517578125000014e-5,9.047055075354614e-5,TRUE
xL6,Astro.2,1170,1051.2958955137472,3.89647386993943,1.1128584975398408,0.15427016242314592,neutral,0.08135168961201501,0.0529507603186097,16,0.09787752947624678,0.32250976562500006,0.35290335610274876,FALSE
xL2,Astro.2,1077,1015.1361887527747,2.0637392129920986,1.0609113892674458,0.08530416275314102,neutral,0.07488527325823946,0.05047806524184477,16,0.09074940869171806,0.40374755859375006,0.4272569101068039,FALSE
xWMuf,Astro.2,1822,1993.3514137601355,-4.237198907752288,0.9140600886417158,-0.1296390863480576,neutral,0.12668613544708662,0.04348863853351155,16,-0.16249735715927804,0.12973022460937503,0.14979898863734464,FALSE
xL5,Astro.2,1242,1445.1988064007094,-5.77482681317238,0.8594459610113366,-0.2185211640053075,neutral,0.08635794743429287,0.04088888888888889,16,-0.28944598853074294,0.024963378906250007,0.03181308653296495,TRUE
xVasc_adj,Astro.2,489,730.2833408870613,-9.39037787087498,0.6698291718114708,-0.5781348864878777,neutral,0.03400083437630371,0.03185875301322562,16,-0.5725006862655763,9.155273437500004e-5,2.2249443586482568e-4,TRUE
xWMd,Astro.2,585,2521.616182401027,-43.51607876705282,0.2321463238234372,-2.106893659744964,depleted,0.040675844806007506,0.01103794411215306,16,-1.9514455659907648,3.0517578125000014e-5,9.047055075354614e-5,TRUE
xVasc_im,Astro.2,64,571.466102507948,-22.19737542288745,0.11276892060068143,-3.1485585827663414,depleted,0.004450006953135864,0.005328448921821664,16,-3.3192600439699187,3.0517578125000014e-5,9.047055075354614e-5,TRUE
xVasc_mural,Astro.2,47,924.8320789733988,-30.57723632283866,0.051332922611629805,-4.283971787841629,depleted,0.0032679738562091504,0.0024179442329457764,16,-3.862082742702387,3.0517578125000014e-5,9.047055075354614e-5,TRUE
xL6,Astro.3,125,51.75340662103553,10.587910415775312,2.4017572846528585,1.2640903633997436,enriched,0.1765536723163842,0.0056571325126719765,16,0.7350803948026468,0.008265622271771557,0.011478505347510003,TRUE
xGL,Astro.3,101,57.63468848315629,5.9668846188733555,1.7459455386848457,0.8040085576530831,enriched,0.1426553672316384,0.004104523103182022,16,0.46502910330338215,0.08322308147757372,0.09886169433593751,FALSE
xWMuf,Astro.3,166,98.12910589223863,7.390801276483599,1.6881426480933182,0.7554368169607512,enriched,0.2344632768361582,0.003962192094710712,16,0.6412770840365418,0.004128050101717345,0.00619723272661791,TRUE
xLD_glia,Astro.3,120,108.02024619639472,1.2535822756385249,1.11039187823003,0.15106892072323622,neutral,0.1694915254237288,0.0026019644831848047,16,-0.31570896114473335,0.34868807754105313,0.3785756270445719,FALSE
xL1_inhib,Astro.3,30,37.599449515183,-1.275117009342599,0.8005365008711073,-0.32096091022803486,neutral,0.0423728813559322,0.0018688095683049898,16,-0.4168792159223618,0.14753241923722307,0.16895493490728558,FALSE
xWMd,Astro.3,91,124.13463058962084,-3.2787260088907217,0.7341458755655013,-0.4458613382972962,neutral,0.1285310734463277,0.0017170135285571426,16,-0.4565536253164217,0.11831271616460735,0.13891773976630864,FALSE
xL5,Astro.3,44,71.14453865468657,-3.3971683678407283,0.6211220120277663,-0.6870513983302786,depleted,0.062146892655367235,0.001448559670781893,16,-1.0557865982891814,0.003444524083916485,0.005254784916339747,TRUE
xVasc_adj,Astro.3,18,35.950535763317994,-3.0764505691408357,0.5075371215425997,-0.978414749226302,depleted,0.025423728813559324,0.0011727148348426608,16,-0.8211425937372344,8.919013770591247e-4,0.001613916777535559,TRUE
xL2,Astro.3,10,49.973329275272185,-5.872259784309677,0.20803065996964348,-2.265131923605486,depleted,0.014124293785310734,4.6869141357330335e-4,16,-1.7704690294213652,0.001332047360777073,0.0022542339951612004,TRUE
xVasc_im,Astro.3,2,28.132248684162644,-5.033709715563175,0.08731413405831534,-3.5176409793869867,depleted,0.002824858757062147,1.66514028806927e-4,16,-1.5942907004675306,7.265138800579516e-4,0.0013437292117886006,TRUE
xVasc_mural,Astro.3,1,45.527820324931604,-6.8302250566816065,0.032588986169903515,-4.939471718655702,depleted,0.0014124293785310734,5.144562197756971e-5,16,-2.1748402832711955,8.919013770591247e-4,0.001613916777535559,TRUE
xGL,Astro.4,2899,542.1568153924023,106.7932951899027,5.343155964793943,2.4176921295228007,enriched,0.43528528528528526,0.11781200471410574,16,2.491373172314868,3.0517578125000014e-5,9.047055075354614e-5,TRUE
xWMd,Astro.4,2594,1167.707118258298,46.47718733997529,2.2209246626301926,1.1511604551571832,enriched,0.38948948948948947,0.04894431970414536,16,0.8890138429267853,3.051757812500001e-4,6.575436936211342e-4,TRUE
xVasc_im,Astro.4,407,264.633864740852,9.030799717291034,1.5369594540414517,0.6200791063267374,enriched,0.06111111111111111,0.033885604862209644,16,0.6195851968648328,0.07391357421875001,0.08878124719378593,FALSE
xVasc_mural,Astro.4,168,428.27017424300067,-13.14728600860223,0.3929844241089972,-1.3474559623170281,depleted,0.025225225225225224,0.00864286449223171,16,-1.422563437841656,0.0016784667968750007,0.002740621566772462,TRUE
xVasc_adj,Astro.4,127,338.17876862104214,-11.91875547352694,0.37646292538243986,-1.4094203017048132,depleted,0.019069069069069067,0.008274154668056552,16,-1.4914161277994658,5.798339843750002e-4,0.0011486758553021332,TRUE
xWMuf,Astro.4,334,923.0788774608887,-21.124650662351286,0.36217805339984643,-1.4652289677337156,depleted,0.05015015015015015,0.007972121443574566,16,-1.9523863912751667,6.103515625000003e-5,1.5945434570312507e-4,TRUE
xL1_inhib,Astro.4,47,353.689736964857,-16.94631513688969,0.13410891124920707,-2.898522990472002,depleted,0.007057057057057057,0.0029278016570111506,16,-2.643236685557351,3.0517578125000014e-5,9.047055075354614e-5,TRUE
xL6,Astro.4,46,486.832892791097,-20.98480556830327,0.09541732291797707,-3.3896049799473533,depleted,0.006906906906906907,0.0020818247646632875,16,-3.2522273550238343,3.0517578125000014e-5,9.047055075354614e-5,TRUE
xLD_glia,Astro.4,25,1016.1226548982893,-34.153914264637415,0.02508305306510331,-5.317143228643921,depleted,0.0037537537537537537,5.420759339968342e-4,16,-5.286899414994997,3.0517578125000014e-5,9.047055075354614e-5,TRUE
xL2,Astro.4,10,470.08809741993326,-22.257893897088355,0.02231250653717711,-5.486003597948321,depleted,0.0015015015015015015,4.6869141357330335e-4,16,-4.7550003750062935,3.0517578125000014e-5,9.047055075354614e-5,TRUE
xL5,Astro.4,3,669.2409992093397,-27.45832822613778,0.005225900764820896,-7.580104555231873,depleted,4.5045045045045046e-4,9.876543209876543e-5,16,-5.7626118762127545,3.0517578125000014e-5,9.047055075354614e-5,TRUE
xGL,Astro.5,5164,2388.583374961542,62.35463029571511,2.161707730306036,1.1121714793438806,enriched,0.17599345647876763,0.209858983216158,16,1.0561116817635234,3.0517578125000014e-5,9.047055075354614e-5,TRUE
xLD_glia,Astro.5,7531,4476.737378382223,52.185119346177935,1.6821757176344725,0.7503284152951407,enriched,0.2566628041714948,0.16329495435720637,16,0.7584946153003052,3.0517578125000014e-5,9.047055075354614e-5,TRUE
xL1_inhib,Astro.5,2309,1558.2528921956207,20.568230293549323,1.4816331771143632,0.5671883092740038,neutral,0.07869265898711744,0.14383604310720738,16,0.6321817833546246,3.0517578125000014e-5,9.047055075354614e-5,TRUE
xL6,Astro.5,2450,2144.84245349495,7.20248388599354,1.1422418812474073,0.19186818828877364,neutral,0.08349805739213415,0.11087979724837074,16,0.16801325613816254,0.12973022460937503,0.14979898863734464,FALSE
xWMuf,Astro.5,4078,4066.8138772458556,0.198894552858331,1.0027502482207542,0.003962323277135783,neutral,0.13898166450821348,0.09733626121825473,16,-0.08287272801821602,0.11666870117187501,0.13737328757702466,FALSE
xL5,Astro.5,2489,2948.4788887087757,-9.389349874413368,0.8441905126998177,-0.244359478998341,neutral,0.0848272101424579,0.08194238683127572,16,-0.19035495753553286,0.21142578125000003,0.23629940257352944,FALSE
xVasc_adj,Astro.5,1254,1489.916130462255,-6.601847924724205,0.841711233768595,-0.24860272271647396,neutral,0.04273737304887192,0.0816991334940387,16,-0.18834500213904698,0.028991699218750007,0.03672281901041667,TRUE
xL2,Astro.5,1345,2071.0698129873394,-17.416010336409464,0.6495074370965567,-0.6225820497363114,depleted,0.04583872946629405,0.0630389951256093,16,-0.455997593299915,0.0033569335937500013,0.005139920301053115,TRUE
xVasc_im,Astro.5,563,1165.8989278117235,-18.962310328376184,0.48311086932939845,-1.049573783100155,depleted,0.019187512780314907,0.046873699109149944,16,-0.9408660582204782,4.2724609375000016e-4,8.841033029084162e-4,TRUE
xWMd,Astro.5,1808,5144.57391350375,-53.908729463941576,0.3515012671156025,-1.5083982048552673,depleted,0.06161815827141981,0.03411385120473971,16,-1.3892987783185688,3.0517578125000014e-5,9.047055075354614e-5,TRUE
xVasc_mural,Astro.5,351,1886.8323502459648,-38.466506188020794,0.18624170774913656,-2.4247519026307907,depleted,0.011962374752913911,0.01805741331412697,16,-2.190716319698855,3.0517578125000014e-5,9.047055075354614e-5,TRUE
xVasc_im,Macro,1292,76.37031351830593,142.4060787933452,16.814033153282292,4.071593917756129,enriched,0.6722164412070759,0.10756806260927483,16,3.2713475616912313,6.103515625000003e-5,1.5945434570312507e-4,TRUE
xVasc_mural,Macro,240,123.59388511937647,10.859134651534799,1.9380487585560127,0.9546048673691337,enriched,0.12486992715920915,0.01234694927461673,16,1.094353130554294,0.0010070800781250004,0.0017837265790519076,TRUE
xVasc_adj,Macro,144,97.59453352697342,4.836793152557994,1.4730688327323183,0.5588248453916879,neutral,0.07492195629552549,0.009381718678741286,16,0.9612595211517412,0.0013122558593750004,0.002229768086255082,TRUE
xGL,Macro,66,156.46027014777738,-7.569703976452206,0.4236740924145362,-1.2389731839996658,depleted,0.03433922996878252,0.002682163611980331,16,-0.9079258170099602,6.103515625000003e-5,1.5945434570312507e-4,TRUE
xLD_glia,Macro,52,293.2414028099868,-15.352271479792794,0.1787286351116148,-2.4841572997695502,depleted,0.027055150884495317,0.0011275179427134153,16,-2.1574076073433592,3.0517578125000014e-5,9.047055075354614e-5,TRUE
