cell_type_anno,primary_SpX,RoE,prop_SpX,enrichment,n_donor,padj,sig_by_donor
Astro.1,L1b~SpX7,3.15357283534355,0.26709717575663267,enriched,16,8.920522836538465e-5,TRUE
Astro.2,L1b~SpX7,2.6632995758064495,0.22555972743707411,enriched,16,8.920522836538465e-5,TRUE
Astro.3,L6~SpX9,2.3760622032477885,0.20480225988700565,enriched,16,0.0022114572688629076,TRUE
Astro.4,L1a~SpX6,6.534976858051626,0.4795795795795796,enriched,16,8.920522836538465e-5,TRUE
Astro.5,L1a~SpX6,1.9524214539631375,0.14317360779769614,enriched,16,8.920522836538465e-5,TRUE
Macro,Vasc~SpX3,6.720286417405313,0.8215400624349636,enriched,16,8.920522836538465e-5,TRUE
Micro.1,WM~SpX2,3.5274824239264206,0.6785714285714286,enriched,16,0.027598300845717755,TRUE
Micro.2,WMtz~SpX8,1.4893981847265367,0.23425401594822604,neutral,16,8.920522836538465e-5,TRUE
Micro.3,WM~SpX2,2.7581677160151528,0.524232633279483,enriched,16,0.007570193049222105,TRUE
Micro.4,L1a~SpX6,2.7429025449819524,0.20869565217391303,enriched,16,0.009857970011373273,TRUE
Micro.5,WMtz~SpX8,1.4131426707035812,0.22225225225225226,neutral,16,8.920522836538465e-5,TRUE
OPC.1,L2.3~SpX4,2.504611025031279,0.2,enriched,16,0.5486178555006087,FALSE
OPC.2,Inhib~SpX5,2.1691429755866336,0.12158176943699732,enriched,16,1.546223958333334e-4,TRUE
OPC.3,WM~SpX2,1.980057512777805,0.4166666666666667,enriched,16,0.8488271179115617,FALSE
OPC.4,L1a~SpX6,1.877132726748167,0.13789107763615296,enriched,16,4.5378311820652186e-4,TRUE
OPC.5,L6~SpX9,1.6350065713252084,0.14029850746268657,enriched,16,8.920522836538465e-5,TRUE
Oligo.1,WM~SpX2,3.171967153970598,0.6021743507147171,enriched,16,8.920522836538465e-5,TRUE
Oligo.2,WM~SpX2,3.961105992829566,0.7520085698982325,enriched,16,8.920522836538465e-5,TRUE
Oligo.3,WMtz~SpX8,1.687455245611117,0.26537912662924557,enriched,16,8.920522836538465e-5,TRUE
Oligo.4,WM~SpX2,2.6565441712212725,0.5042620471574896,enriched,16,8.920522836538465e-5,TRUE
Oligo.5,WM~SpX2,2.819979799936957,0.5356969402622632,enriched,16,8.920522836538465e-5,TRUE
Vasc.Endo,Vasc~SpX3,3.2388665095714098,0.39526827830188677,enriched,16,8.920522836538465e-5,TRUE
Vasc.PC,Vasc~SpX3,5.497196667801073,0.6709151796871096,enriched,16,8.920522836538465e-5,TRUE
Vasc.VLMC,Vasc~SpX3,7.461618742797079,0.911150512214342,enriched,16,8.920522836538465e-5,TRUE
Excit.L2,L2.3~SpX4,8.881469221754276,0.6028449253861593,enriched,16,8.920522836538465e-5,TRUE
Excit.L2_5.1,L2.3~SpX4,3.2830303246177444,0.22294681067862238,enriched,16,8.920522836538465e-5,TRUE
Excit.L2_5.2,L5~SpX1,4.843241614737519,0.79135167825824,enriched,16,0.0013430689025936185,TRUE
Excit.L5.1,L5~SpX1,4.21219818893701,0.6881663113006397,enriched,16,8.920522836538465e-5,TRUE
Excit.L5.2,L2.3~SpX4,5.060998208920723,0.34485349361382417,enriched,16,0.001866623384663191,TRUE
Excit.L5_6_NP,L5~SpX1,3.886416613956735,0.6394557823129252,enriched,16,0.14841028716737684,FALSE
Excit.L6_CT,L6~SpX9,9.345878871135234,0.8047210300429185,enriched,16,8.920522836538465e-5,TRUE
Excit.L6b,L6~SpX9,9.485738371187535,0.8167134831460674,enriched,16,0.0013430689025936185,TRUE
Inhib.Chandelier,Inhib~SpX5,3.429952501253611,0.193717277486911,enriched,16,8.920522836538465e-5,TRUE
Inhib.Lamp5_Lhx6,Inhib~SpX5,3.24820333337037,0.18238261544431508,enriched,16,8.920522836538465e-5,TRUE
Inhib.Pax6,Inhib~SpX5,6.297931894214241,0.3564493758668516,enriched,16,8.920522836538465e-5,TRUE
Inhib.Pvalb,L5~SpX1,2.9526388040097027,0.4824433065106072,enriched,16,8.920522836538465e-5,TRUE
Inhib.Sst,L5~SpX1,2.506229489080246,0.4096060442525634,enriched,16,8.920522836538465e-5,TRUE
Inhib.Vip,Inhib~SpX5,6.401914845353826,0.359036534109279,enriched,16,8.920522836538465e-5,TRUE
