"","cell_type_anno","cell_type_hc7","cell_type_hc6","cell_type_hc5","cell_type_hc4","cell_type_hc3","cell_type_hc2"
"1","Excit.L2","Excit.7.1","Excit.6.1","Excit.5.1","Excit.4.1","Excit.3.1","Excit.2.1"
"2","Excit.L2_5.1","Excit.7.1","Excit.6.1","Excit.5.1","Excit.4.1","Excit.3.1","Excit.2.1"
"3","Excit.L2_5.2","Excit.7.2","Excit.6.2","Excit.5.2","Excit.4.2","Excit.3.1","Excit.2.1"
"4","Excit.L5.1","Excit.7.3","Excit.6.1","Excit.5.1","Excit.4.1","Excit.3.1","Excit.2.1"
"5","Excit.L5.2","Excit.7.4","Excit.6.3","Excit.5.3","Excit.4.2","Excit.3.1","Excit.2.1"
"6","Excit.L5_6_NP","Excit.7.5","Excit.6.4","Excit.5.4","Excit.4.3","Excit.3.2","Excit.2.2"
"7","Excit.L6_CT","Excit.7.6","Excit.6.5","Excit.5.5","Excit.4.4","Excit.3.3","Excit.2.1"
"8","Excit.L6b","Excit.7.7","Excit.6.6","Excit.5.5","Excit.4.4","Excit.3.3","Excit.2.1"
