cluster,HumanPilot,spatialDLPFC
Sp09D01,Layer2/Layer3,L3~Sp09D05/L2~Sp09D03
Sp09D02,Layer3,L3~Sp09D05/L2~Sp09D03
Sp09D03,Layer5/Layer4,L5~Sp09D04/L4~Sp09D08/L3~Sp09D05/L6~Sp09D07
Sp09D04,Layer6,L6~Sp09D07
Sp09D05,Layer1,L1~Sp09D02
Sp09D06,WM,WM~Sp09D06
Sp09D07,WM,WM~Sp09D06/WM~Sp09D09
Sp09D08,Layer1,L1~Sp09D01
Sp09D09,Layer4,L4~Sp09D08/L3~Sp09D05/L5~Sp09D04/L2~Sp09D03
