cluster,HumanPilot,spatialDLPFC,sestan_EC,Xenium_SpX
Sp07D05,Layer1,L1~Sp09D01,PC.CLDN5.ABCC9/aSMC.ACTA2.TAGLN/VLMC.COL1A1.COL1A2/Endo.CLDN5.VWF/vSMC.ABCC9.P2RY14/aEndo.DKK2.FBLN5,Vasc~SpX3
Sp07D02,Layer1,L1~Sp09D02,Astro.AQP4.CHRDL1/Astro.AQP4.GFAP,L1b~SpX7
Sp07D01,Layer3/Layer2,L3~Sp09D05/L2~Sp09D03/L4~Sp09D08,EC.L2.CUX2.CALB1/EC.L2.CUX2.PDGFD/EC.L3.PCP4.ADARB2/EC.L2.CUX2.LAMA3/EC.L2.CUX2.IL1RAPL2/EC.L6.THEMIS.CDH13/EC.L2.RELN.BCL11B/EC.L5.RORB.TLL1/EC.L2.RELN.BMPR1B,L2.3~SpX4
Sp07D03,Layer4/Layer3/Layer5,L4~Sp09D08/L3~Sp09D05/L5~Sp09D04,EC.L3.PCP4.ADARB2/EC.L2.CUX2.CALB1/EC.L5.RORB.TLL1/EC.L2.RELN.BMPR1B/EC.L2.CUX2.IL1RAPL2/EC.L2.RELN.BCL11B/EC.L6.THEMIS.CDH13/EC.L2.CUX2.LAMA3/EC.L5.BCL11B.ADRA1A/EC.L2.CUX2.PDGFD/EC.L5.RORB.TPBG,L5~SpX1/L2.3~SpX4
Sp07D04,Layer6/Layer5,L6~Sp09D07/L5~Sp09D04,EC.L6b.TLE4.CCN2/EC.L6.TLE4.SULF1,L6~SpX9
Sp07D06,WM,WM~Sp09D06,Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LAMA2/Oligo.OPALIN.LINC01098/Oligo.CPXM2.KANK4,WM~SpX2
Sp07D07,WM,WM~Sp09D09/WM~Sp09D06,Oligo.OPALIN.LAMA2/Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LINC01098/Oligo.CPXM2.KANK4,WM~SpX2
