cluster,HumanPilot,spatialDLPFC,sestan_EC
Sp11D09,Layer1,L1~Sp09D01,PC.CLDN5.ABCC9/aSMC.ACTA2.TAGLN/VLMC.COL1A1.COL1A2/Endo.CLDN5.VWF/vSMC.ABCC9.P2RY14
Sp11D06,Layer1,L1~Sp09D02,Astro.AQP4.CHRDL1/Astro.AQP4.GFAP
Sp11D01,Layer2/Layer3,L3~Sp09D05/L2~Sp09D03,EC.L2.CUX2.CALB1/EC.L2.CUX2.PDGFD/EC.L2.CUX2.LAMA3/EC.L3.PCP4.ADARB2/EC.L2.CUX2.IL1RAPL2/EC.L6.THEMIS.CDH13/EC.L5.RORB.TLL1/EC.L2.RELN.BCL11B
Sp11D02,Layer3,L3~Sp09D05/L2~Sp09D03,EC.L3.PCP4.ADARB2/EC.L2.CUX2.CALB1/EC.L2.CUX2.IL1RAPL2/EC.L2.RELN.BCL11B/EC.L2.RELN.BMPR1B/EC.L2.CUX2.LAMA3/EC.L2.CUX2.PDGFD/EC.L5.RORB.TLL1/EC.L6.THEMIS.CDH13/EC.L5.RORB.TPBG/EC.L5.BCL11B.ADRA1A/Astro.AQP4.CHRDL1/InN.LHX6.AC008415.1/EC.L6.THEMIS.RGS12/InN.PVALB.PLCL1
Sp11D03,Layer3/Layer4,L3~Sp09D05/L4~Sp09D08,EC.L3.PCP4.ADARB2/EC.L2.CUX2.CALB1/EC.L2.CUX2.IL1RAPL2/EC.L2.RELN.BMPR1B/EC.L2.RELN.BCL11B/EC.L5.RORB.TLL1/EC.L2.CUX2.LAMA3/EC.L2.CUX2.PDGFD/EC.L6.THEMIS.CDH13/EC.L5.BCL11B.ADRA1A/EC.L5.RORB.TPBG
Sp11D10,Layer4/Layer3,L4~Sp09D08/L3~Sp09D05/L5~Sp09D04/L2~Sp09D03,InN.PVALB.PLCL1/InN.SST.EPB41L4A/InN.PVALB.MEPE/InN.LAMP5.CHST9/InN.LHX6.AC008415.1/InN.SST.OTOF/InN.PVALB.PLEKHH2/InN.VIP.NOX4/InN.LAMP5.KIT/InN.NR2F2.SLC17A8/InN.NR2F2.ANO2/InN.LAMP5.NMBR/InN.VIP.SCML4/InN.NR2F2.PTPRK/InN.VIP.ABI3BP/InN.VIP.CHRNA2/InN.VIP.PENK/InN.NR2F2.DDR2/InN.VIP.SCTR
Sp11D04,Layer5,L5~Sp09D04/L6~Sp09D07/L4~Sp09D08/L3~Sp09D05,EC.L5.RORB.TLL1/EC.L6.THEMIS.CDH13/EC.L6.TLE4.SULF1/EC.L2.CUX2.CALB1/EC.L6b.TLE4.CCN2/EC.L5.BCL11B.ADRA1A/EC.L3.PCP4.ADARB2/EC.L56.TLE4.NXPH2/EC.L2.CUX2.IL1RAPL2/EC.L2.RELN.BCL11B/EC.L5.RORB.TPBG/EC.L2.CUX2.LAMA3/EC.L2.RELN.BMPR1B/EC.L6.THEMIS.RGS12/EC.L2.CUX2.PDGFD
Sp11D05,Layer6,L6~Sp09D07,EC.L6b.TLE4.CCN2/EC.L6.TLE4.SULF1
Sp11D07,WM,WM~Sp09D06,Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LAMA2/Oligo.OPALIN.LINC01098/Oligo.CPXM2.KANK4
Sp11D11,WM,WM~Sp09D06,Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LAMA2/Oligo.OPALIN.LINC01098/Oligo.CPXM2.KANK4
Sp11D08,WM,WM~Sp09D06/WM~Sp09D09,Oligo.OPALIN.LAMA2/Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LINC01098/Oligo.CPXM2.KANK4
