cluster,HumanPilot,spatialDLPFC,sestan_EC,Xenium_SpX
Sp09D08,Layer1,L1~Sp09D01,PC.CLDN5.ABCC9/aSMC.ACTA2.TAGLN/VLMC.COL1A1.COL1A2/Endo.CLDN5.VWF/vSMC.ABCC9.P2RY14,Vasc~SpX3
Sp09D05,Layer1,L1~Sp09D02,Astro.AQP4.GFAP/Astro.AQP4.CHRDL1,L1b~SpX7/L1a~SpX6
Sp09D01,Layer2/Layer3,L3~Sp09D05/L2~Sp09D03,EC.L2.CUX2.CALB1/EC.L2.CUX2.PDGFD/EC.L2.CUX2.LAMA3/EC.L3.PCP4.ADARB2/EC.L2.CUX2.IL1RAPL2/EC.L6.THEMIS.CDH13/EC.L5.RORB.TLL1/EC.L2.RELN.BCL11B/EC.L2.RELN.BMPR1B/EC.L6.THEMIS.RGS12/EC.L5.RORB.TPBG/EC.L5.BCL11B.ADRA1A,L2.3~SpX4
Sp09D02,Layer3,L3~Sp09D05/L2~Sp09D03,EC.L3.PCP4.ADARB2/EC.L2.CUX2.CALB1/EC.L2.RELN.BCL11B/EC.L2.CUX2.IL1RAPL2/EC.L2.RELN.BMPR1B/EC.L2.CUX2.PDGFD/EC.L2.CUX2.LAMA3/InN.PVALB.PLCL1/InN.LHX6.AC008415.1/Astro.AQP4.CHRDL1/InN.PVALB.MEPE/InN.PVALB.PLEKHH2/EC.L5.RORB.TLL1/InN.NR2F2.SLC17A8/InN.NR2F2.PTPRK/InN.SST.EPB41L4A/InN.LAMP5.CHST9/InN.VIP.SCML4/InN.NR2F2.ANO2/InN.SST.OTOF/EC.L6.THEMIS.CDH13/EC.L5.RORB.TPBG/InN.VIP.SCTR/InN.VIP.NOX4/EC.L5.BCL11B.ADRA1A/InN.VIP.CHRNA2/InN.VIP.ABI3BP/InN.LAMP5.KIT/Astro.AQP4.GFAP/InN.NR2F2.DDR2/InN.VIP.PENK/InN.LAMP5.NMBR,Inhib~SpX5/L2.3~SpX4/L1b~SpX7/L5~SpX1
Sp09D09,Layer3/Layer4,L3~Sp09D05/L4~Sp09D08,EC.L3.PCP4.ADARB2/EC.L2.CUX2.CALB1/EC.L2.RELN.BMPR1B/EC.L2.RELN.BCL11B/EC.L2.CUX2.IL1RAPL2/EC.L2.CUX2.LAMA3/EC.L5.RORB.TLL1/EC.L2.CUX2.PDGFD/EC.L6.THEMIS.CDH13/EC.L5.BCL11B.ADRA1A/EC.L5.RORB.TPBG,L5~SpX1/L2.3~SpX4
Sp09D03,Layer5,L5~Sp09D04/L6~Sp09D07/L4~Sp09D08/L3~Sp09D05,EC.L5.RORB.TLL1/EC.L6.THEMIS.CDH13/EC.L6.TLE4.SULF1/EC.L6b.TLE4.CCN2/EC.L5.BCL11B.ADRA1A/EC.L2.CUX2.CALB1/EC.L3.PCP4.ADARB2/EC.L5.RORB.TPBG/EC.L56.TLE4.NXPH2/EC.L2.CUX2.IL1RAPL2/EC.L2.RELN.BCL11B/EC.L6.THEMIS.RGS12/EC.L2.CUX2.LAMA3/EC.L2.RELN.BMPR1B/EC.L2.CUX2.PDGFD,L5~SpX1
Sp09D04,Layer6,L6~Sp09D07,EC.L6b.TLE4.CCN2/EC.L6.TLE4.SULF1,L6~SpX9
Sp09D06,WM,WM~Sp09D06,Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LAMA2/Oligo.OPALIN.LINC01098/Oligo.CPXM2.KANK4,WM~SpX2/L1a~SpX6
Sp09D07,WM,WM~Sp09D06/WM~Sp09D09,Oligo.OPALIN.LAMA2/Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LINC01098/Oligo.CPXM2.KANK4,WM~SpX2
