k20,n,passALL_metricQC,metric_fail,rank,cell_type_k20,median_sum,median_detected,median_Mito_percent,median_scDblFinder.score,sctype,sestan_EC,snDLPFC_PEC
k1,15874,TRUE,NA,1,Oligo.01,8075.5,2971,0.06233858808011138,0.0014881157549098134,Oligodendrocytes,Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LAMA2/Oligo.OPALIN.LINC01098/Oligo.CPXM2.KANK4,Oligo
k3,11874,TRUE,NA,2,Oligo.02,4510,2093,0.09795518697122849,0.0010052856523543596,Oligodendrocytes,Oligo.OPALIN.LAMA2/Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LINC01098,Oligo
k2,7019,TRUE,NA,3,Oligo.03,2876,1586,0.13192612137203166,8.756770403124392e-4,Oligodendrocytes,VLMC.COL1A1.COL1A2,VLMC
k5,4485,TRUE,NA,4,Oligo.04,5324,2335,0.08470269354565475,0.001176183228380978,Oligodendrocytes,Endo.CLDN5.VWF/PC.CLDN5.ABCC9,Endo
k4,492,TRUE,NA,5,Oligo.05,2374,1532.5,0.09470797760661756,7.258445548359305e-4,Oligodendrocyte precursor cells,OPC.PDGFRA.GRIA4,OPC
k9,337,TRUE,NA,6,Oligo.06,3421,1906,0.14292520247737017,0.0011328894179314375,Glutamatergic neurons,EC.L5.RORB.TLL1/EC.L2.CUX2.CALB1/EC.L6.THEMIS.CDH13,L2.3.IT
k6,242,TRUE,NA,7,Oligo.07,2493.5,1623,0.2279833865571776,0.0015419722767546773,Glutamatergic neurons,EC.L5.RORB.TLL1*,L2.3.IT/L5.IT/Vip/L6.IT/L5.ET*
k7,5392,FALSE,detected,8,Oligo.08_QC,1768.5,1145.5,0.27995529493274646,6.990124238654971e-4,Oligodendrocytes,NA,NA
k10,701,FALSE,"detected,sum",9,Oligo.09_QC,1097,806,0.3243243243243243,6.760216201655567e-4,Oligodendrocytes,NA,NA
k8,272,FALSE,subsets_Mito_percent,10,Oligo.10_QC,6139.5,2788,0.8012288584623862,0.0034498744644224644,Glutamatergic neurons,NA,NA
k11,143,FALSE,scDblFinder.score,11,Oligo.11_QC,13190,4633,0.12196215586046096,0.9987016916275024,Glutamatergic neurons,NA,NA
