k10,n,rank,cell_type_k10,median_sum,median_detected,median_Mito_percent,median_scDblFinder.score,passALL_metricQC,sctype,sestan_EC,snDLPFC_PEC
8,12519,1,Oligo.01,5673,2404,0.0740521327014218,0.0011913639027625322,TRUE,Oligodendrocytes,Oligo.OPALIN.LAMA2/Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LINC01098,Oligo
3,12010,2,Oligo.02,8807,3125,0.060369765764397704,0.0018430417403578758,TRUE,Oligodendrocytes,Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LAMA2/Oligo.OPALIN.LINC01098/Oligo.CPXM2.KANK4,Oligo
4,8587,3,Oligo.03,2161,1327,0.199203187250996,7.515111356042325e-4,TRUE,Oligodendrocytes,VLMC.COL1A1.COL1A2/Astro.AQP4.GFAP/Astro.AQP4.CHRDL1*,VLMC*
11,6911,4,Oligo.04,3616,1817,0.13113034356150013,9.914836846292019e-4,TRUE,Oligodendrocytes,Oligo.OPALIN.LAMA2/Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LINC01098,Oligo
1,4254,5,Oligo.05,3743.5,1872.5,0.11595398471654864,9.74191672867164e-4,TRUE,Oligodendrocytes,PC.CLDN5.ABCC9/Endo.CLDN5.VWF,Immune/Endo/PC
9,812,6,Oligo.06,1111,818,0.3675386281409637,7.022476638667285e-4,FALSE,Oligodendrocytes,Astro.AQP4.GFAP/Astro.AQP4.CHRDL1*,VLMC*
2,535,7,Oligo.07,3158,1815,0.17059024223814398,0.0012337422231212258,TRUE,Oligodendrocytes,EC.L5.RORB.TLL1/EC.L2.CUX2.CALB1/EC.L6.THEMIS.CDH13,L2.3.IT
7,458,8,Oligo.08,2204,1435.5,0.11009187655273314,6.594106089323759e-4,TRUE,Oligodendrocytes,OPC.PDGFRA.GRIA4,OPC
5,427,9,Oligo.09,6994,2999,0.27712462210278804,0.011999078094959259,TRUE,Astrocytes,EC.L2.CUX2.CALB1/EC.L6.THEMIS.CDH13/EC.L5.RORB.TLL1*,L2.3.IT/Vip*
10,200,10,Oligo.10,4861.5,2259.5,0.1322017165999666,0.0011913639027625322,TRUE,Oligodendrocytes,Endo.CLDN5.VWF,Endo
6,118,11,Oligo.11,8577,3550,0.08252383036553947,0.998968243598938,FALSE,Oligodendrocytes,NA,NA
