Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000188976,NOC2L,36,-0.2378,10,-2.0940,12,-1.8630,29,-0.5469,81,1.49639,34,-0.3230,48,0.25396
ENSG00000188290,HES4,69,0.85058,42,-0.0149,22,-1.0351,50,0.28003,39,-0.1322,47,0.18705,29,-0.6169
ENSG00000187608,ISG15,275,1.43373,119,-0.0499,101,-0.3247,31,-2.1286,162,0.55610,28,-2.2658,107,-0.2310
ENSG00000078808,SDF4,80,0.23596,48,-0.5939,27,-1.4689,98,0.57883,83,0.35891,83,0.28622,54,-0.4151
ENSG00000176022,B3GALT6,18,-0.8402,19,-0.7640,21,-0.6569,32,0.03580,54,1.15364,31,-0.0159,22,-0.5644
ENSG00000160087,UBE2J2,17,-1.3212,19,-1.1392,27,-0.6117,45,0.20431,45,0.25487,46,0.25459,73,1.04793
ENSG00000131584,ACAP3,76,-0.0384,52,-0.6483,44,-0.9133,137,0.98801,83,0.12162,88,0.20492,59,-0.4353
ENSG00000127054,INTS11,59,0.15815,35,-0.6864,21,-1.4604,79,0.65694,74,0.63730,45,-0.2949,44,-0.3301
ENSG00000224051,CPTP,21,-0.4149,25,-0.1288,13,-1.1393,14,-1.0047,34,0.46544,51,1.10940,24,-0.2161
ENSG00000107404,DVL1,46,-0.1286,25,-1.0529,48,-0.0607,60,0.32845,77,0.94179,33,-0.6613,29,-0.8328
ENSG00000175756,AURKAIP1,95,-0.5465,89,-0.6391,146,0.16075,90,-0.6244,139,0.07970,165,0.35750,201,0.70751
ENSG00000221978,CCNL2,68,0.46424,28,-0.9486,20,-1.4962,73,0.56989,65,0.44222,66,0.39300,30,-0.8462
ENSG00000242485,MRPL20,156,-0.0857,127,-0.4182,201,0.33410,136,-0.3051,156,-0.0979,211,0.41909,172,0.07342
ENSG00000179403,VWA1,156,2.85806,43,0.20204,19,-1.0621,29,-0.4093,15,-1.5631,12,-1.7518,14,-1.5389
ENSG00000205090,TMEM240,3,-3.5558,17,-0.9304,36,0.22050,24,-0.4131,47,0.81330,45,0.60795,33,0.07126
