"","cell_type_anno","cell_type_hc4","cell_type_hc3","cell_type_hc2"
"1","OPC.1","OPC.4.1","OPC.3.1","OPC.2.1"
"2","OPC.2","OPC.4.2","OPC.3.2","OPC.2.1"
"3","OPC.3","OPC.4.1","OPC.3.1","OPC.2.1"
"4","OPC.4","OPC.4.3","OPC.3.1","OPC.2.1"
"5","OPC.5","OPC.4.4","OPC.3.3","OPC.2.2"
