Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to5,Feature log2 fold change topic 2to5,Feature count topic 6to9,Feature log2 fold change topic 6to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,4,-2.2724,24,0.61041,21,0.18106,7,-1.4101,18,-0.1176
ENSG00000188976,NOC2L,20,-1.1297,39,-0.1589,56,0.70293,27,-0.6603,35,-0.2750
ENSG00000188290,HES4,29,-1.0880,72,0.44335,46,-0.5612,93,0.72269,64,0.10339
ENSG00000187608,ISG15,76,0.72867,61,0.54820,33,-0.7813,42,-0.2175,39,-0.3250
ENSG00000188157,AGRN,27,0.51463,17,-0.3298,24,0.43549,14,-0.4850,13,-0.6514
ENSG00000078808,SDF4,65,0.09229,55,-0.2071,67,0.22665,77,0.37017,38,-0.7158
ENSG00000176022,B3GALT6,18,-0.7695,33,0.16253,34,0.25982,28,-0.1220,21,-0.5459
ENSG00000160087,UBE2J2,22,-0.7185,36,0.06140,39,0.27048,32,-0.1474,30,-0.2345
ENSG00000131584,ACAP3,57,-0.0513,63,0.13677,64,0.18881,43,-0.4837,42,-0.5250
ENSG00000169972,PUSL1,10,-0.0104,11,0.27850,10,0.07418,4,-1.1967,9,-0.1457
ENSG00000127054,INTS11,41,-0.1588,51,0.26713,48,0.12805,35,-0.4052,28,-0.7615
ENSG00000224051,CPTP,16,-0.9440,37,0.53146,31,0.10666,17,-0.8303,21,-0.5461
ENSG00000107404,DVL1,59,0.07320,57,0.04482,47,-0.3601,82,0.60403,58,0.05249
ENSG00000175756,AURKAIP1,145,-0.1582,164,0.05918,159,-0.0139,157,-0.0324,166,0.05490
ENSG00000221978,CCNL2,60,0.43618,48,0.09081,50,0.18598,31,-0.6157,24,-1.0108
ENSG00000224870,MRPL20-AS1,15,0.46347,9,-0.3436,12,0.25066,12,0.17733,7,-0.5967
ENSG00000242485,MRPL20,180,-0.1034,199,0.07416,196,0.03977,154,-0.3511,204,0.09490
ENSG00000235098,ANKRD65,33,0.72006,24,0.27831,18,-0.3836,18,-0.2514,16,-0.4743
ENSG00000179403,VWA1,229,3.14339,18,-1.6899,26,-1.0490,59,0.46294,20,-1.1576
ENSG00000197785,ATAD3A,10,-0.5171,13,-0.0507,17,0.51651,9,-0.6267,10,-0.4421
ENSG00000205090,TMEM240,12,-1.6560,43,0.39771,37,0.02536,24,-0.6538,45,0.33894
ENSG00000160075,SSU72,90,-0.6191,153,0.29365,137,0.03247,108,-0.3393,126,-0.1090
ENSG00000228594,FNDC10,5,-2.5781,34,0.33645,34,0.32685,22,-0.4929,26,-0.1903
ENSG00000272106,AL691432.2,22,0.23260,15,-0.4550,22,0.25508,27,0.55033,14,-0.4671
ENSG00000197530,MIB2,20,-0.6733,33,0.17635,35,0.34398,14,-1.1415,28,-0.1085
ENSG00000248333,CDK11B,18,1.21190,4,-1.2614,10,0.33798,12,0.49780,7,-0.2750
ENSG00000189339,SLC35E2B,16,-0.0466,15,-0.2175,16,-0.0235,29,0.92997,11,-0.5894
ENSG00000215790,SLC35E2A,19,-0.3755,23,-0.0992,24,0.01254,25,0.08440,32,0.43433
ENSG00000008130,NADK,12,-0.9102,21,-0.0810,27,0.49280,13,-0.8632,25,0.16679
ENSG00000078369,GNB1,216,-1.0496,453,0.13426,465,0.19713,435,0.03053,376,-0.2015
ENSG00000187730,GABRD,6,-4.4696,217,1.24139,114,-0.3882,65,-1.1368,111,-0.3353
ENSG00000067606,PRKCZ,99,-0.8625,176,0.04521,200,0.35548,132,-0.4198,161,-0.1050
ENSG00000162585,FAAP20,66,0.67290,38,-0.3270,36,-0.4046,73,0.83980,46,0.09018
ENSG00000157933,SKI,43,0.47661,29,-0.1961,28,-0.2730,39,0.34018,39,0.32954
ENSG00000157916,RER1,78,0.45016,57,-0.0595,62,0.10994,47,-0.3641,47,-0.3634
ENSG00000157911,PEX10,45,0.78471,25,-0.2140,24,-0.3280,36,0.43124,28,0.00796
ENSG00000149527,PLCH2,9,-1.0471,29,1.42370,11,-0.9397,6,-1.4685,16,-0.1205
ENSG00000157881,PANK4,7,-1.1782,17,0.23156,16,0.16880,19,0.37119,8,-0.9106
ENSG00000197921,HES5,4,-2.1755,19,-0.0121,9,-1.4969,67,2.19875,28,0.62538
ENSG00000272449,AL139246.5,0,-7.5210,10,0.52832,5,-0.9903,18,1.37812,10,0.41948
ENSG00000157873,TNFRSF14,2,-1.6494,12,1.31317,4,-1.0229,6,-0.3404,7,-0.0219
ENSG00000157870,PRXL2B,21,-1.4140,64,0.41701,57,0.11985,33,-0.7403,54,0.01051
ENSG00000177133,PRDM16-DT,4,-1.9747,13,-0.6100,10,-1.1665,75,2.59578,24,0.48973
ENSG00000158109,TPRG1L,41,-2.0033,156,0.04325,193,0.56676,103,-0.6110,144,-0.1024
ENSG00000116213,WRAP73,23,0.81267,9,-0.8811,19,0.71367,13,-0.0452,6,-1.2007
ENSG00000130764,LRRC47,48,-0.8691,84,0.02458,102,0.48451,67,-0.3412,58,-0.5713
ENSG00000116198,CEP104,41,1.47369,13,-0.6001,18,0.16433,13,-0.4155,9,-0.9644
ENSG00000198912,C1orf174,10,-0.1446,10,-0.3103,14,0.44232,14,0.24835,7,-0.6909
ENSG00000196581,AJAP1,18,-1.3288,51,0.40051,52,0.45306,12,-1.9311,32,-0.4710
ENSG00000131697,NPHP4,5,-1.0312,11,0.46339,11,0.31008,5,-0.8466,4,-1.0747
ENSG00000069424,KCNAB2,20,-3.1105,178,0.17596,187,0.28745,150,-0.1528,187,0.19723
ENSG00000116254,CHD5,15,-2.9553,132,0.51832,119,0.24262,51,-1.1440,106,-0.0066
ENSG00000116251,RPL22,1122,1.34655,387,-0.5569,426,-0.3588,628,0.35846,529,0.08041
ENSG00000116237,ICMT,22,-0.6517,39,0.35057,35,0.08693,27,-0.3435,25,-0.4567
ENSG00000158292,GPR153,1,-2.5891,17,1.53246,4,-1.7347,7,-0.3937,15,0.74235
