domain,astro_group,task_id
Vasc~SpX3,all,1
L1a~SpX6,all,2
L1b~SpX7,all,3
L2.3~SpX4,all,4
Inhib~SpX5,all,5
L5~SpX1,all,6
L6~SpX9,all,7
WMtz~SpX8,all,8
WM~SpX2,all,9
all,high,10
all,low,11
all,all,12
