Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7
ENSG00000188976,NOC2L,36,-0.8859,111,1.00680,49,-0.4721,83,0.46775,56,-0.2228
ENSG00000188290,HES4,340,1.64669,76,-0.9941,117,-0.3713,150,0.10472,95,-0.7539
ENSG00000187608,ISG15,266,1.49856,74,-0.7559,73,-0.8896,129,0.14462,106,-0.2106
ENSG00000188157,AGRN,88,1.03328,54,0.14719,48,-0.0357,22,-1.2392,42,-0.3157
ENSG00000078808,SDF4,75,-0.4747,107,0.10393,134,0.62244,89,-0.1927,82,-0.3999
ENSG00000176022,B3GALT6,32,-0.1851,54,0.68678,33,-0.1793,34,-0.1147,34,-0.1410
ENSG00000160087,UBE2J2,12,-2.2230,89,0.99637,55,0.17458,41,-0.3371,51,0.01899
ENSG00000131584,ACAP3,148,-0.0695,186,0.32301,116,-0.5431,177,0.23677,168,0.17358
ENSG00000127054,INTS11,87,0.32184,95,0.47593,54,-0.5604,78,0.13829,68,-0.1053
ENSG00000224051,CPTP,75,0.35238,58,-0.0787,48,-0.4687,84,0.54623,58,-0.1256
ENSG00000107404,DVL1,56,-1.0275,88,-0.3090,92,-0.2751,175,0.88571,120,0.24759
ENSG00000175756,AURKAIP1,156,-0.2641,150,-0.3278,173,-0.1051,251,0.54935,188,0.05640
ENSG00000221978,CCNL2,132,1.67283,62,0.24322,39,-0.6332,24,-1.2842,41,-0.5110
ENSG00000242485,MRPL20,142,-0.2374,161,-0.0366,160,-0.0470,172,0.08177,177,0.14945
ENSG00000179403,VWA1,144,1.30277,19,-2.0316,89,0.49645,67,-0.0905,43,-0.9312
ENSG00000205090,TMEM240,25,-1.6018,98,0.59448,45,-0.7966,79,0.22186,96,0.71876
ENSG00000160075,SSU72,191,0.08094,220,0.32964,180,-0.0163,248,0.54051,126,-0.6921
ENSG00000228594,FNDC10,54,-0.0085,54,-0.0245,44,-0.4267,72,0.47863,57,0.09460
ENSG00000197530,MIB2,8,-2.4476,51,0.47132,38,-0.0246,36,-0.1148,50,0.53573
ENSG00000215790,SLC35E2A,15,-0.8957,38,0.60003,32,0.36323,18,-0.6657,27,-0.0312
ENSG00000008130,NADK,17,-1.0002,50,0.74977,34,0.09786,53,0.85632,19,-0.9389
ENSG00000078369,GNB1,277,-0.3861,439,0.38957,332,-0.1033,377,0.12865,345,-0.0245
