Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to8,Feature log2 fold change topic 3to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000228794,LINC01128,10,-1.1444,20,-0.0982,30,1.15622,13,-0.7834,8,-1.3851,14,-0.7219
ENSG00000188976,NOC2L,39,-0.5865,52,-0.1539,74,0.83680,40,-0.5829,22,-1.4679,48,-0.3299
ENSG00000188290,HES4,57,-0.8221,83,-0.2471,62,-1.0817,418,2.60901,69,-0.5291,83,-0.2606
ENSG00000187608,ISG15,42,-0.3899,32,-0.7960,40,-0.7945,209,2.34989,69,0.38074,32,-0.8941
ENSG00000188157,AGRN,45,0.38695,35,-0.0171,38,0.22478,50,0.55580,28,-0.3452,18,-1.0553
ENSG00000078808,SDF4,109,0.30176,61,-0.5869,93,0.09733,116,0.39741,85,-0.0954,76,-0.2975
ENSG00000176022,B3GALT6,32,-0.2312,57,0.65841,47,0.71748,4,-3.2260,13,-1.5905,32,-0.2744
ENSG00000160087,UBE2J2,46,-0.4708,49,-0.3545,74,0.54817,24,-1.4448,99,0.74578,42,-0.6420
ENSG00000162572,SCNN1D,15,0.29033,4,-1.5080,17,1.08834,2,-2.1821,1,-2.9240,11,-0.0988
ENSG00000131584,ACAP3,110,-0.0499,151,0.45228,121,0.16795,70,-0.7437,68,-0.7816,122,0.11326
ENSG00000169972,PUSL1,6,-1.3045,21,0.64858,14,-0.0157,33,1.39138,6,-1.2045,9,-0.6654
ENSG00000127054,INTS11,86,0.55291,46,-0.4335,66,0.26727,27,-1.2244,56,-0.1095,57,-0.0929
ENSG00000224051,CPTP,20,-0.7542,22,-0.6105,44,1.08882,10,-1.7224,14,-1.2789,29,-0.1857
ENSG00000107404,DVL1,78,0.13741,93,0.40823,69,-0.1165,55,-0.4148,83,0.21780,70,-0.0472
ENSG00000175756,AURKAIP1,120,-0.4345,270,0.86382,140,-0.3365,288,0.97129,144,-0.1496,120,-0.4716
ENSG00000221978,CCNL2,84,0.31968,60,-0.2078,75,0.29442,89,0.41956,37,-0.9377,49,-0.5447
ENSG00000224870,MRPL20-AS1,17,0.30786,27,1.02214,14,-0.0892,16,0.18233,10,-0.4575,9,-0.8028
ENSG00000242485,MRPL20,155,-0.2523,331,0.96825,159,-0.3770,276,0.66094,197,0.12213,139,-0.4546
ENSG00000179403,VWA1,295,3.14802,9,-2.6356,18,-2.3439,124,1.35656,16,-1.7966,53,-0.0656
ENSG00000160072,ATAD3B,3,-2.4792,11,-0.6969,21,0.53854,39,1.29850,7,-1.3181,13,-0.5433
ENSG00000197785,ATAD3A,9,-1.2892,22,0.06847,30,1.30041,5,-2.0565,8,-1.3645,14,-0.6886
ENSG00000205090,TMEM240,5,-3.2762,54,0.15732,67,1.12325,26,-0.9339,22,-1.2207,38,-0.4165
ENSG00000160075,SSU72,94,-0.8352,161,-0.0169,166,0.05408,192,0.26350,224,0.51053,143,-0.2187
ENSG00000228594,FNDC10,9,-2.4583,75,0.71621,57,0.57271,10,-2.2510,49,0.04807,43,-0.1673
ENSG00000272106,AL691432.2,55,0.60953,52,0.52463,36,-0.0960,25,-0.6062,31,-0.2728,34,-0.1486
ENSG00000197530,MIB2,46,-0.0759,67,0.50606,56,0.42910,43,-0.2114,19,-1.4236,37,-0.4610
ENSG00000189339,SLC35E2B,30,-0.9179,41,-0.4585,63,0.39447,91,0.80717,41,-0.4558,41,-0.4892
ENSG00000008128,CDK11A,18,0.69049,9,-0.4335,12,0.11531,0,-5.0808,17,0.56788,12,0.00951
ENSG00000008130,NADK,36,-0.0218,44,0.28324,36,-0.0625,68,1.00800,30,-0.3226,23,-0.7434
ENSG00000078369,GNB1,316,-0.3373,409,0.06427,454,0.45262,324,-0.3010,405,0.04721,268,-0.6407
ENSG00000187730,GABRD,9,-2.8487,71,0.20958,84,1.03171,27,-1.2782,28,-1.2013,55,-0.2179
ENSG00000067606,PRKCZ,100,-1.0507,254,0.38286,252,0.77649,116,-0.8313,163,-0.3158,124,-0.7862
ENSG00000162585,FAAP20,76,0.15981,71,0.04254,63,-0.2522,105,0.68371,33,-1.1102,82,0.30344
ENSG00000157933,SKI,49,0.61946,55,0.83152,23,-0.8513,59,0.94341,11,-1.6432,40,0.36215
ENSG00000157916,RER1,101,0.48365,61,-0.3020,82,0.28349,58,-0.3844,51,-0.5953,66,-0.2065
ENSG00000157911,PEX10,58,0.73946,50,0.51867,31,-0.4019,31,-0.2669,39,0.10936,35,-0.0422
ENSG00000149527,PLCH2,35,0.41307,9,-1.6511,40,1.49123,11,-1.3359,2,-3.4270,13,-1.1413
ENSG00000157881,PANK4,19,-0.1331,15,-0.4798,27,0.96408,20,-0.0461,4,-2.2538,12,-0.8239
ENSG00000197921,HES5,1,-5.1465,68,0.19946,40,-0.9871,204,2.11996,28,-1.1308,88,0.69432
ENSG00000272449,AL139246.5,1,-3.6746,20,-0.0938,16,-0.7021,74,2.10845,32,0.61074,17,-0.4174
ENSG00000157873,TNFRSF14,6,-1.5438,8,-1.1377,17,-0.0677,68,2.42220,2,-2.8908,10,-0.8146
ENSG00000157870,PRXL2B,23,-2.0581,118,0.43080,99,0.29179,102,0.20664,93,0.04720,74,-0.3179
ENSG00000177133,PRDM16-DT,12,-0.3168,7,-1.0768,9,-1.1570,15,0.08998,20,0.52939,33,1.59633
ENSG00000158109,TPRG1L,50,-1.7268,206,0.42955,208,0.95563,89,-0.8768,121,-0.4041,87,-0.9649
ENSG00000116213,WRAP73,21,0.40423,5,-1.7224,22,1.02055,15,-0.1127,4,-2.1425,10,-0.8763
ENSG00000130764,LRRC47,86,-0.0377,89,0.01542,106,0.58602,74,-0.2819,64,-0.5028,55,-0.7779
ENSG00000116198,CEP104,66,1.68002,21,-0.2104,21,-0.3763,7,-1.7684,37,0.68197,16,-0.6486
ENSG00000198912,C1orf174,15,-0.2772,15,-0.2383,23,0.91414,12,-0.6374,6,-1.4882,12,-0.5696
ENSG00000196581,AJAP1,21,-0.3243,16,-0.6888,33,0.79047,8,-1.7325,20,-0.3820,24,-0.1420
ENSG00000069424,KCNAB2,19,-3.6672,316,0.49652,298,0.85194,204,-0.1989,165,-0.5247,143,-0.8018
ENSG00000116254,CHD5,12,-3.6934,154,0.05951,186,0.74090,83,-0.8893,112,-0.4371,153,0.04597
ENSG00000116251,RPL22,1002,0.88557,525,-0.1580,391,-0.9777,660,0.20354,1075,1.00507,679,0.27657
ENSG00000116237,ICMT,43,0.40546,19,-0.7982,39,0.53306,32,-0.0377,9,-1.8754,29,-0.2265
ENSG00000097021,ACOT7,52,-2.3137,257,0.09407,361,1.54205,116,-1.1287,105,-1.2704,106,-1.3451
ENSG00000215788,TNFRSF25,10,-1.4684,19,-0.6303,29,0.08879,62,1.28724,22,-0.3593,25,-0.1853
ENSG00000171680,PLEKHG5,0,-8.1045,29,0.35429,28,0.63306,16,-0.5264,15,-0.6173,24,0.05739
ENSG00000162408,NOL9,23,-0.6817,37,0.04242,43,0.54847,18,-1.0864,18,-1.0875,40,0.18043
ENSG00000204859,ZBTB48,9,-0.6945,13,-0.0936,14,-0.0591,45,1.97141,0,-6.0840,9,-0.6306
ENSG00000162413,KLHL21,54,0.51479,14,-1.5201,39,0.05113,88,1.35348,13,-1.6444,30,-0.4373
ENSG00000116273,PHF13,15,-0.1153,3,-2.4829,23,1.18185,16,-0.0204,4,-2.1634,11,-0.6890
ENSG00000041988,THAP3,12,-0.8173,13,-0.7850,26,0.57281,27,0.34443,6,-1.7562,22,0.06647
ENSG00000007923,DNAJC11,25,-0.3811,35,0.10191,37,0.39598,6,-2.4598,41,0.35384,31,-0.0992
ENSG00000171735,CAMTA1,92,-0.7887,141,-0.1330,131,-0.4116,209,0.49446,150,-0.0302,229,0.72955
ENSG00000049245,VAMP3,151,2.11421,5,-3.1174,18,-1.9154,109,1.50869,65,0.62592,45,0.02529
ENSG00000049246,PER3,46,0.48892,33,-0.0482,27,-0.5893,42,0.32375,29,-0.2489,48,0.60744
ENSG00000116288,PARK7,370,0.00144,463,0.35925,360,-0.0709,437,0.26693,354,-0.0649,323,-0.2276
ENSG00000116285,ERRFI1,35,1.00576,5,-1.7459,22,0.51030,6,-1.7285,13,-0.5793,16,-0.2071
ENSG00000162426,SLC45A1,10,-1.7861,20,-0.7086,46,1.28080,36,0.16689,14,-1.3016,16,-1.1060
ENSG00000142599,RERE,87,-0.4534,116,-0.0029,110,-0.1533,130,0.17663,160,0.50054,122,0.07457
ENSG00000074800,ENO1,437,-0.8294,587,-0.3785,873,0.48354,1049,0.54010,382,-1.0312,645,-0.2540
ENSG00000171612,SLC25A33,42,0.18520,24,-0.6380,35,-0.1300,58,0.72013,16,-1.2705,46,0.38491
ENSG00000188807,TMEM201,18,-0.1429,22,0.18597,21,0.16502,27,0.47228,16,-0.3158,14,-0.5310
ENSG00000171608,PIK3CD,3,-2.2689,28,0.82759,22,0.95285,9,-0.9169,5,-1.6041,10,-0.7207
ENSG00000171603,CLSTN1,234,-1.3067,385,-0.5560,759,1.14781,506,-0.1306,228,-1.3415,350,-0.7545
ENSG00000178585,CTNNBIP1,52,0.33671,22,-0.9968,37,-0.3316,71,0.84836,52,0.33447,42,0.00524
ENSG00000162441,LZIC,101,1.47325,44,0.09675,26,-1.1004,69,0.82281,44,0.07606,41,-0.0087
ENSG00000130939,UBE4B,43,0.13888,27,-0.5683,50,0.76690,15,-1.4799,21,-0.9875,35,-0.2263
ENSG00000054523,KIF1B,369,0.14573,359,0.10467,343,0.06053,194,-0.8435,361,0.11054,346,0.04953
ENSG00000142657,PGD,75,0.07765,53,-0.4573,85,0.51208,80,0.17270,52,-0.5032,47,-0.7043
ENSG00000241563,CORT,5,-3.9128,18,-2.0304,114,2.12627,27,-1.4171,52,-0.4449,26,-1.5708
ENSG00000160049,DFFA,58,0.88521,21,-0.6847,29,-0.3354,51,0.68106,22,-0.6066,35,0.10496
ENSG00000142655,PEX14,15,-0.8815,22,-0.2646,34,0.81010,31,0.23352,10,-1.4407,18,-0.5959
ENSG00000120948,TARDBP,105,0.55552,72,-0.0517,68,-0.2300,70,-0.0809,104,0.53212,65,-0.2268
ENSG00000271895,AL109811.2,15,0.34231,4,-1.4524,14,0.59940,15,0.33466,2,-2.6159,10,-0.2421
ENSG00000116649,SRM,55,-1.1771,146,0.32438,140,0.53201,127,0.10953,81,-0.5798,86,-0.5343
ENSG00000171824,EXOSC10,37,0.01459,23,-0.7273,41,0.38607,69,1.03909,21,-0.8195,20,-0.9995
ENSG00000198793,MTOR,37,-0.3614,44,-0.0885,52,0.29994,68,0.59380,56,0.28925,23,-1.1489
ENSG00000116661,FBXO2,551,0.63504,270,-0.4941,270,-0.8055,879,1.43466,251,-0.6030,441,0.30377
ENSG00000132879,FBXO44,49,-1.9854,145,-0.3552,246,1.04554,146,-0.3508,129,-0.5443,123,-0.6601
ENSG00000116670,MAD2L2,58,0.90215,19,-0.8577,33,-0.0226,17,-0.9938,39,0.26161,34,0.02421
ENSG00000177674,AGTRAP,45,1.38897,13,-0.6184,7,-2.1409,73,2.29497,10,-0.9569,25,0.44270
ENSG00000177000,MTHFR,9,-1.3292,27,0.31417,24,0.15838,24,0.09099,15,-0.6171,26,0.24758
ENSG00000011021,CLCN6,51,-0.8118,87,0.01340,101,0.47583,70,-0.3211,88,0.02014,69,-0.3856
ENSG00000116685,KIAA2013,55,0.57149,49,0.40168,41,0.18452,38,1.71697,28,-0.4718,22,-0.8970
ENSG00000083444,PLOD1,36,0.44150,16,-0.7511,23,-0.4230,81,1.85505,20,-0.4843,17,-0.7981
ENSG00000116688,MFN2,88,-0.3159,74,-0.5686,142,0.93718,75,-0.5516,66,-0.7595,70,-0.7255
ENSG00000116691,MIIP,11,-0.7715,19,0.02467,18,-0.0119,48,1.56548,10,-0.8606,12,-0.7365
ENSG00000048707,VPS13D,25,-1.1628,36,-0.6243,68,0.76551,65,0.30282,24,-1.1996,44,-0.3362
ENSG00000162496,DHRS3,61,1.09307,13,-1.2910,16,-1.5298,86,1.70358,29,-0.1047,45,0.64395
ENSG00000116731,PRDM2,32,-0.8589,35,-0.7105,72,0.86980,20,-1.5150,81,0.61023,33,-0.8379
ENSG00000189337,KAZN,77,0.67805,68,0.48325,50,-0.0165,77,0.67444,21,-1.3164,30,-0.8287
ENSG00000142634,EFHD2,31,-2.0176,222,1.00059,131,0.26156,51,-1.2894,281,1.41326,34,-1.9830
ENSG00000116138,DNAJC16,26,0.08249,23,-0.1288,34,1.08284,6,-2.1087,5,-2.4306,17,-0.5675
ENSG00000197312,DDI2,10,-0.9975,19,0.00234,23,0.66870,17,-0.1336,22,0.25825,9,-1.1145
ENSG00000116786,PLEKHM2,41,-0.7009,86,0.44563,68,0.10831,59,-0.1447,60,-0.1329,65,-0.0114
ENSG00000065526,SPEN,51,0.84649,27,-0.1605,23,-0.6238,45,0.64081,24,-0.3272,36,0.31306
ENSG00000116809,ZBTB17,13,-0.5710,28,0.58478,14,-0.7745,24,0.33659,46,1.41850,18,-0.1252
ENSG00000185519,FAM131C,26,0.49749,32,0.82389,20,0.12536,16,-0.2765,0,-4.8638,18,-0.1468
ENSG00000288398,AL109627.1,5,-1.2928,19,0.65590,6,-1.5479,22,0.89150,43,2.08497,12,-0.0549
ENSG00000037637,FBXO42,17,-0.5332,16,-0.6239,32,0.97788,20,-0.3277,5,-2.2694,20,-0.3468
ENSG00000055070,SZRD1,48,0.82212,13,-1.1837,20,-0.8311,54,1.03631,18,-0.6786,43,0.75483
ENSG00000157191,NECAP2,56,1.51119,11,-1.0176,16,-0.7928,45,1.10444,4,-2.3424,28,0.35892
ENSG00000219481,NBPF1,17,0.51083,6,-1.1071,14,0.33323,10,-0.2559,5,-1.2884,13,0.14124
ENSG00000058453,CROCC,14,-0.4206,14,-0.4011,20,0.27735,34,0.96860,0,-5.0617,19,0.03774
ENSG00000238142,BX284668.5,11,-0.2457,20,0.69044,12,-0.1458,0,-5.9832,7,-0.9985,22,0.96762
ENSG00000159363,ATP13A2,40,-2.0056,124,-0.3027,213,1.24382,109,-0.5008,103,-0.5861,80,-1.0399
ENSG00000117118,SDHB,80,-0.1152,110,0.39570,101,0.49873,76,-0.1828,28,-1.6730,66,-0.4423
ENSG00000117115,PADI2,465,3.87560,9,-2.9016,15,-2.9737,54,-0.3462,76,0.18979,58,-0.2642
ENSG00000179051,RCC2,28,0.42494,4,-2.4000,25,0.49057,28,0.45103,15,-0.5592,15,-0.5328
ENSG00000074964,ARHGEF10L,25,0.47918,16,-0.1902,17,-0.2256,33,0.94243,2,-2.9840,21,0.25489
