Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to8,Feature log2 fold change topic 2to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000228794,LINC01128,10,-1.1444,29,1.24606,13,-0.7834,12,-1.0127
ENSG00000188976,NOC2L,39,-0.5865,71,0.85295,40,-0.5829,39,-0.7119
ENSG00000188290,HES4,57,-0.8221,65,-1.1185,418,2.60901,79,-0.3941
ENSG00000187608,ISG15,42,-0.3899,39,-0.9780,209,2.34989,44,-0.3881
ENSG00000188157,AGRN,45,0.38695,38,0.22882,50,0.55580,22,-0.8664
ENSG00000078808,SDF4,109,0.30176,89,-0.0556,116,0.39741,79,-0.2547
ENSG00000176022,B3GALT6,32,-0.2312,48,1.07892,4,-3.2260,26,-0.6904
ENSG00000160087,UBE2J2,46,-0.4708,70,0.47310,24,-1.4448,61,-0.0318
ENSG00000162572,SCNN1D,15,0.29033,15,0.81408,2,-2.1821,8,-0.7107
ENSG00000131584,ACAP3,110,-0.0499,125,0.34273,70,-0.7437,104,-0.1739
ENSG00000169972,PUSL1,6,-1.3045,15,0.23317,33,1.39138,8,-0.9183
ENSG00000127054,INTS11,86,0.55291,63,0.15535,27,-1.2244,57,-0.1128
ENSG00000224051,CPTP,20,-0.7542,41,0.99670,10,-1.7224,24,-0.5480
ENSG00000107404,DVL1,78,0.13741,72,0.02459,55,-0.4148,74,0.05930
ENSG00000175756,AURKAIP1,120,-0.4345,158,0.00341,288,0.97129,128,-0.3989
ENSG00000221978,CCNL2,84,0.31968,73,0.24422,89,0.41956,45,-0.7451
ENSG00000224870,MRPL20-AS1,17,0.30786,16,0.34712,16,0.18233,9,-0.7549
ENSG00000242485,MRPL20,155,-0.2523,183,0.01606,276,0.66094,159,-0.2631
ENSG00000179403,VWA1,295,3.14802,16,-2.6831,124,1.35656,40,-0.5452
ENSG00000160072,ATAD3B,3,-2.4792,20,0.37830,39,1.29850,11,-0.8523
ENSG00000197785,ATAD3A,9,-1.2892,29,1.49897,5,-2.0565,12,-0.9808
ENSG00000205090,TMEM240,5,-3.2762,65,1.31899,26,-0.9339,33,-0.7246
ENSG00000160075,SSU72,94,-0.8352,165,0.05048,192,0.26350,170,0.08580
ENSG00000228594,FNDC10,9,-2.4583,60,0.93420,10,-2.2510,45,-0.1011
ENSG00000272106,AL691432.2,55,0.60953,38,0.09362,25,-0.6062,33,-0.2174
ENSG00000197530,MIB2,46,-0.0759,58,0.65650,43,-0.2114,31,-0.8112
ENSG00000189339,SLC35E2B,30,-0.9179,60,0.28231,91,0.80717,41,-0.5365
ENSG00000008128,CDK11A,18,0.69049,12,-0.0017,0,-5.0808,13,0.26745
