cluster,sestan_EC
Micro.1,Micro.C1QB.CD83/Micro.C1QB.P2RY12*
Micro.2,Micro.C1QB.P2RY12*
Micro.3,InN.LHX6.AC008415.1*
Micro.4,EC.L2.CUX2.IL1RAPL2*
Micro.5,Micro.C1QB.P2RY12*
