k10,n,passALL_metricQC,metric_fail,rank,cell_type_k10,median_sum,median_detected,median_Mito_percent,median_scDblFinder.score,sctype,sestan_EC,snDLPFC_PEC
k1,4227,TRUE,NA,1,Micro.1,4598,2277,0.049146086742843105,7.706973701715469e-4,Microglial cells,Micro.C1QB.P2RY12*,Micro
k3,3748,TRUE,NA,2,Micro.2,2557.5,1561.5,0.10329691162063136,7.515111356042325e-4,Microglial cells,EC.L2.RELN.BCL11B/EC.L2.CUX2.IL1RAPL2/Oligo.OPALIN.LAMA2*,L4.IT*
k5,1876,TRUE,NA,3,Micro.3,4734.5,2340,0.05402488691001945,7.978809007909149e-4,Microglial cells,Micro.C1QB.P2RY12*,Micro*
k4,1728,TRUE,NA,4,Micro.4,4342.5,2212.5,0.0504542922805442,7.706973701715469e-4,Microglial cells,Micro.C1QB.P2RY12*,Micro*
k6,590,TRUE,NA,5,Micro.5,2510,1555.5,0.10597908085446675,7.965487311594188e-4,Microglial cells,EC.L2.RELN.BMPR1B/EC.L2.RELN.BCL11B/InN.NR2F2.ANO2/EC.L3.PCP4.ADARB2/EC.L5.BCL11B.ADRA1A*,Micro*
k7,433,TRUE,NA,6,Micro.6,4066,2031,0.05192107995846314,8.007093565538526e-4,Microglial cells,Macro.F13A1.COLEC12*,Immune*
k8,802,FALSE,detected,7,Micro.7_QC,1497.5,1047.5,0.20519989445258507,7.113555329851806e-4,Microglial cells,NA,NA
k2,124,FALSE,scDblFinder.score,8,Micro.8_QC,7586.5,3412.5,0.12312233630136254,0.9987310767173767,Microglial cells,NA,NA
