Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to7,Feature log2 fold change topic 4to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,4,-2.3118,12,-0.6997,17,-0.2195,27,0.91770,14,-0.4582,19,-0.0478
ENSG00000188976,NOC2L,19,-1.1951,46,0.18880,50,0.32173,43,0.11180,30,-0.4602,46,0.22325
ENSG00000188290,HES4,35,-0.8129,24,-1.4067,63,0.08123,66,0.24053,72,0.30158,70,0.28970
ENSG00000187608,ISG15,74,0.68244,36,-0.4966,37,-0.4199,57,0.40283,42,-0.2450,35,-0.5623
ENSG00000188157,AGRN,26,0.48429,24,0.35409,25,0.44004,20,0.04912,14,-0.5012,12,-0.7534
ENSG00000078808,SDF4,64,0.05024,118,1.09461,52,-0.2589,59,-0.0994,41,-0.6466,52,-0.2852
ENSG00000176022,B3GALT6,19,-0.7143,25,-0.2664,39,0.42859,32,0.23118,24,-0.3158,30,0.00877
ENSG00000160087,UBE2J2,22,-0.6705,34,0.03826,45,0.46051,34,0.06719,32,-0.0588,32,-0.0722
ENSG00000131584,ACAP3,59,0.04432,44,-0.4351,69,0.29373,61,0.15457,41,-0.5236,59,0.03291
ENSG00000169972,PUSL1,10,-0.0846,7,-0.4883,13,0.36563,12,0.44390,8,-0.4008,8,-0.4651
ENSG00000127054,INTS11,43,-0.0543,42,-0.0831,50,0.21178,55,0.57834,34,-0.4094,26,-0.8971
ENSG00000224051,CPTP,15,-0.9733,11,-1.4341,37,0.42221,35,0.48705,16,-0.8931,34,0.32009
ENSG00000107404,DVL1,59,0.09648,57,0.05568,52,-0.0885,55,-0.0276,73,0.43803,47,-0.2934
ENSG00000175756,AURKAIP1,146,-0.1377,131,-0.3157,174,0.13475,167,0.10439,175,0.14571,152,-0.0859
ENSG00000221978,CCNL2,58,0.42734,42,-0.1076,55,0.32726,48,0.20864,26,-0.8486,36,-0.3826
ENSG00000224870,MRPL20-AS1,15,0.48756,17,0.69644,13,0.22504,9,-0.3557,9,-0.2631,9,-0.2832
ENSG00000242485,MRPL20,176,-0.1638,205,0.07573,187,-0.0713,205,0.11572,180,-0.1268,193,-0.0222
ENSG00000235098,ANKRD65,32,0.61746,16,-0.4889,19,-0.1813,27,0.55184,19,-0.1803,11,-1.0430
ENSG00000179403,VWA1,217,2.95541,95,1.20966,14,-1.7962,18,-1.8421,28,-0.7980,19,-1.4317
ENSG00000197785,ATAD3A,9,-0.5922,17,0.40484,19,0.55969,14,0.07364,9,-0.5231,12,-0.2041
ENSG00000205090,TMEM240,14,-1.5181,18,-1.0972,33,-0.2151,40,0.14949,34,-0.1372,58,0.83936
ENSG00000160075,SSU72,90,-0.6333,115,-0.2578,140,0.06052,159,0.41929,129,-0.0792,120,-0.2092
ENSG00000228594,FNDC10,6,-2.3529,25,-0.2288,38,0.44363,32,0.27628,22,-0.4124,34,0.31376
ENSG00000272106,AL691432.2,21,0.23940,16,-0.2053,26,0.57109,15,-0.4261,18,0.01260,20,0.19120
ENSG00000197530,MIB2,19,-0.7526,25,-0.3569,35,0.17950,32,0.10013,20,-0.6926,41,0.53152
ENSG00000189339,SLC35E2B,17,0.12585,15,-0.0729,18,0.14771,17,0.16580,15,-0.1321,13,-0.3204
ENSG00000215790,SLC35E2A,20,-0.3126,17,-0.5683,25,0.04697,26,0.12899,30,0.33433,25,0.00625
ENSG00000008130,NADK,12,-0.9897,28,0.39344,27,0.32893,23,0.10594,21,-0.0669,20,-0.1533
ENSG00000078369,GNB1,226,-0.9349,432,0.07637,532,0.41644,419,0.04395,403,-0.0357,424,0.05298
ENSG00000187730,GABRD,9,-3.9251,23,-2.6146,161,0.32668,207,1.35066,103,-0.3779,95,-0.5692
ENSG00000067606,PRKCZ,98,-0.8486,142,-0.2862,197,0.24271,185,0.21764,147,-0.2294,186,0.16499
ENSG00000162585,FAAP20,67,0.66998,53,0.27021,28,-0.7478,37,-0.4354,53,0.27943,49,0.17836
ENSG00000157933,SKI,43,0.38962,40,0.26710,23,-0.5983,29,-0.3504,33,-0.0136,41,0.36943
ENSG00000157916,RER1,75,0.40717,57,-0.0430,73,0.35319,64,0.23685,47,-0.3603,38,-0.7384
ENSG00000157911,PEX10,46,0.81561,31,0.17951,25,-0.1947,23,-0.4121,31,0.13439,27,-0.0575
ENSG00000149527,PLCH2,9,-0.9926,2,-3.0010,15,-0.2322,26,1.20479,16,-0.1177,12,-0.5214
ENSG00000157881,PANK4,9,-0.7668,13,-0.1327,20,0.50329,18,0.59164,11,-0.3383,9,-0.7593
ENSG00000197921,HES5,5,-1.8910,2,-3.0384,11,-0.8468,18,-0.0917,47,1.55487,25,0.55362
ENSG00000272449,AL139246.5,0,-7.4451,1,-3.2123,3,-1.3710,10,0.59725,13,0.78517,12,0.66233
ENSG00000157873,TNFRSF14,2,-1.4841,1,-2.7665,6,-0.3129,12,1.35391,10,0.41347,4,-1.0985
ENSG00000157870,PRXL2B,23,-1.2689,30,-0.8588,69,0.46410,68,0.72204,60,0.23181,32,-0.7924
ENSG00000177133,PRDM16-DT,5,-1.7879,36,1.13997,6,-1.6895,10,-1.0837,40,1.34089,25,0.63686
ENSG00000158109,TPRG1L,42,-1.9205,150,0.02793,230,0.73001,160,0.19502,145,-0.0303,135,-0.1570
ENSG00000116213,WRAP73,21,0.68383,30,1.30133,16,0.28233,12,-0.3006,8,-0.8426,7,-1.0914
ENSG00000130764,LRRC47,48,-0.7741,79,0.00153,117,0.63557,89,0.28909,65,-0.3155,64,-0.3835
ENSG00000116198,CEP104,39,1.43092,31,0.99307,13,-0.3703,14,-0.3997,9,-0.8641,10,-0.9299
ENSG00000198912,C1orf174,10,-0.2157,17,0.57270,12,-0.0484,12,0.00462,7,-0.8337,13,0.12643
ENSG00000196581,AJAP1,18,-1.3251,26,-0.7283,63,0.67368,52,0.57612,27,-0.6850,38,-0.1776
ENSG00000131697,NPHP4,4,-1.1074,16,0.84280,10,0.17233,10,0.25533,5,-0.8360,8,-0.2693
ENSG00000069424,KCNAB2,24,-2.8654,138,-0.2605,180,0.15746,189,0.37503,184,0.19090,174,0.11963
ENSG00000116254,CHD5,14,-3.0269,72,-0.5921,112,0.09602,110,0.08879,79,-0.4644,171,0.92822
ENSG00000116251,RPL22,1110,1.27237,689,0.44431,299,-0.8756,417,-0.5172,505,-0.0609,488,-0.1304
ENSG00000116237,ICMT,25,-0.4616,25,-0.4086,39,0.25800,41,0.57519,29,-0.1873,24,-0.5761
ENSG00000158292,GPR153,2,-2.3859,0,-4.9094,5,-0.9901,14,0.79451,15,0.66962,12,0.30589
ENSG00000097021,ACOT7,70,-2.0250,215,-0.3317,407,0.70196,340,0.65760,180,-0.6122,211,-0.4044
