metric,name,value,form,SpD
Median,APOE_carrier:Sex,0,carrier_i,L2.3_Sp09D01
Median,round,0,carrier_i,L2.3_Sp09D01
Median,Sex,0,carrier_i,L2.3_Sp09D01
Median,Visium_slide,6.311078430582754e-10,carrier_i,L2.3_Sp09D01
Median,Anc_Afr,0.023427026497872164,carrier_i,L2.3_Sp09D01
Median,Age,0.014195575342676917,carrier_i,L2.3_Sp09D01
Median,Rin,0.020205661430803695,carrier_i,L2.3_Sp09D01
Median,ncells,0.04369032588254922,carrier_i,L2.3_Sp09D01
Median,Residuals,0.5767779537179931,carrier_i,L2.3_Sp09D01
Mean,APOE_carrier,0.010624623911815985,carrier_i,L2.3_Sp09D01
Mean,APOE_carrier:Anc_Afr,0.1600230139141501,carrier_i,L2.3_Sp09D01
Mean,APOE_carrier:Sex,0.015628104587145263,carrier_i,L2.3_Sp09D01
Mean,round,0.011785701230027425,carrier_i,L2.3_Sp09D01
Mean,Sex,0.008797026640304616,carrier_i,L2.3_Sp09D01
Mean,Visium_slide,0.0601833988827385,carrier_i,L2.3_Sp09D01
Mean,Anc_Afr,0.03623587586507104,carrier_i,L2.3_Sp09D01
Mean,Age,0.03437407406680831,carrier_i,L2.3_Sp09D01
Mean,Rin,0.04815482827039726,carrier_i,L2.3_Sp09D01
Mean,ncells,0.08134628132577519,carrier_i,L2.3_Sp09D01
Mean,Residuals,0.5328470713057663,carrier_i,L2.3_Sp09D01
3rd Qu.,APOE_carrier,3.4874918258095864e-10,carrier_i,L2.3_Sp09D01
3rd Qu.,APOE_carrier:Anc_Afr,0.16162212167939213,carrier_i,L2.3_Sp09D01
3rd Qu.,APOE_carrier:Sex,1.6027541355761454e-10,carrier_i,L2.3_Sp09D01
3rd Qu.,round,2.980033335918773e-10,carrier_i,L2.3_Sp09D01
3rd Qu.,Sex,0,carrier_i,L2.3_Sp09D01
3rd Qu.,Visium_slide,0.10078674682234567,carrier_i,L2.3_Sp09D01
3rd Qu.,Anc_Afr,0.05129466278878093,carrier_i,L2.3_Sp09D01
3rd Qu.,Age,0.04699303176933545,carrier_i,L2.3_Sp09D01
3rd Qu.,Rin,0.06874084821771459,carrier_i,L2.3_Sp09D01
3rd Qu.,ncells,0.12528908455246418,carrier_i,L2.3_Sp09D01
3rd Qu.,Residuals,0.7572057358599718,carrier_i,L2.3_Sp09D01
Max.,APOE_carrier,0.6680144471980574,carrier_i,L2.3_Sp09D01
Max.,APOE_carrier:Anc_Afr,0.9999967915508006,carrier_i,L2.3_Sp09D01
Max.,APOE_carrier:Sex,0.5867765219746365,carrier_i,L2.3_Sp09D01
Max.,round,0.5887440189798828,carrier_i,L2.3_Sp09D01
Max.,Sex,0.7508999633150011,carrier_i,L2.3_Sp09D01
Max.,Visium_slide,0.8661165578123092,carrier_i,L2.3_Sp09D01
Max.,Anc_Afr,0.5184253105451023,carrier_i,L2.3_Sp09D01
Max.,Age,0.44293462236044673,carrier_i,L2.3_Sp09D01
Max.,Rin,0.558785141618533,carrier_i,L2.3_Sp09D01
Max.,ncells,0.7218422629305549,carrier_i,L2.3_Sp09D01
Max.,Residuals,0.9993602387554399,carrier_i,L2.3_Sp09D01
Min.,APOE_num:Sex,0,numeric_i,L2.3_Sp09D01
Min.,round,0,numeric_i,L2.3_Sp09D01
Min.,Sex,0,numeric_i,L2.3_Sp09D01
Min.,Visium_slide,0,numeric_i,L2.3_Sp09D01
Min.,APOE_num,9.97220730907868e-10,numeric_i,L2.3_Sp09D01
Min.,Anc_Afr,1.7342904937550583e-10,numeric_i,L2.3_Sp09D01
Min.,Age,9.86999157028593e-11,numeric_i,L2.3_Sp09D01
Min.,Rin,8.131016593689499e-10,numeric_i,L2.3_Sp09D01
Min.,ncells,2.3290779460815095e-9,numeric_i,L2.3_Sp09D01
Min.,APOE_num:Anc_Afr,9.256284262455083e-11,numeric_i,L2.3_Sp09D01
Min.,Residuals,0.001386615958429377,numeric_i,L2.3_Sp09D01
1st Qu.,APOE_num:Sex,0,numeric_i,L2.3_Sp09D01
1st Qu.,round,0,numeric_i,L2.3_Sp09D01
1st Qu.,Sex,0,numeric_i,L2.3_Sp09D01
1st Qu.,Visium_slide,0,numeric_i,L2.3_Sp09D01
1st Qu.,APOE_num,0.007754798277324455,numeric_i,L2.3_Sp09D01
1st Qu.,Anc_Afr,0.009262208564281676,numeric_i,L2.3_Sp09D01
1st Qu.,Age,0.0019193215404882521,numeric_i,L2.3_Sp09D01
1st Qu.,Rin,0.003110466314374558,numeric_i,L2.3_Sp09D01
1st Qu.,ncells,0.004447258147152757,numeric_i,L2.3_Sp09D01
1st Qu.,APOE_num:Anc_Afr,0.01703471049942053,numeric_i,L2.3_Sp09D01
1st Qu.,Residuals,0.49330668788305276,numeric_i,L2.3_Sp09D01
Median,APOE_num:Sex,0,numeric_i,L2.3_Sp09D01
Median,round,0,numeric_i,L2.3_Sp09D01
Median,Sex,0,numeric_i,L2.3_Sp09D01
Median,Visium_slide,3.0331710375474947e-11,numeric_i,L2.3_Sp09D01
Median,APOE_num,0.026588539252497354,numeric_i,L2.3_Sp09D01
Median,Anc_Afr,0.031125241492146877,numeric_i,L2.3_Sp09D01
Median,Age,0.009138505950280184,numeric_i,L2.3_Sp09D01
Median,Rin,0.01450242217787897,numeric_i,L2.3_Sp09D01
Median,ncells,0.021375926250930113,numeric_i,L2.3_Sp09D01
Median,APOE_num:Anc_Afr,0.05089679404210524,numeric_i,L2.3_Sp09D01
Median,Residuals,0.6264613628027715,numeric_i,L2.3_Sp09D01
Mean,APOE_num:Sex,0.03350884873162249,numeric_i,L2.3_Sp09D01
Mean,round,0.011539546778430118,numeric_i,L2.3_Sp09D01
Mean,Sex,0.010486589319280922,numeric_i,L2.3_Sp09D01
Mean,Visium_slide,0.06203570018076998,numeric_i,L2.3_Sp09D01
Mean,APOE_num,0.04083581829073545,numeric_i,L2.3_Sp09D01
Mean,Anc_Afr,0.04825439922067642,numeric_i,L2.3_Sp09D01
Mean,Age,0.025092678642604317,numeric_i,L2.3_Sp09D01
Mean,Rin,0.03307315529494997,numeric_i,L2.3_Sp09D01
Mean,ncells,0.05371869304515692,numeric_i,L2.3_Sp09D01
Mean,APOE_num:Anc_Afr,0.06371527633339931,numeric_i,L2.3_Sp09D01
Mean,Residuals,0.617739294162374,numeric_i,L2.3_Sp09D01
3rd Qu.,APOE_num:Sex,0.01008879752574302,numeric_i,L2.3_Sp09D01
3rd Qu.,round,2.1923457810506873e-11,numeric_i,L2.3_Sp09D01
3rd Qu.,Sex,0,numeric_i,L2.3_Sp09D01
3rd Qu.,Visium_slide,0.10291745975185083,numeric_i,L2.3_Sp09D01
3rd Qu.,APOE_num,0.06284391701492077,numeric_i,L2.3_Sp09D01
3rd Qu.,Anc_Afr,0.07191448190974023,numeric_i,L2.3_Sp09D01
3rd Qu.,Age,0.031897283900697466,numeric_i,L2.3_Sp09D01
3rd Qu.,Rin,0.044920718902663734,numeric_i,L2.3_Sp09D01
3rd Qu.,ncells,0.0733932453164902,numeric_i,L2.3_Sp09D01
3rd Qu.,APOE_num:Anc_Afr,0.09768938795214362,numeric_i,L2.3_Sp09D01
3rd Qu.,Residuals,0.7642680763868791,numeric_i,L2.3_Sp09D01
Max.,APOE_num:Sex,0.9725966075169316,numeric_i,L2.3_Sp09D01
Max.,round,0.6292472055871378,numeric_i,L2.3_Sp09D01
Max.,Sex,0.8923560774723517,numeric_i,L2.3_Sp09D01
Max.,Visium_slide,0.869145644233238,numeric_i,L2.3_Sp09D01
Max.,APOE_num,0.4059363834799576,numeric_i,L2.3_Sp09D01
Max.,Anc_Afr,0.491718162858286,numeric_i,L2.3_Sp09D01
Max.,Age,0.41944376418178886,numeric_i,L2.3_Sp09D01
Max.,Rin,0.4599284945983541,numeric_i,L2.3_Sp09D01
Max.,ncells,0.6710966072152906,numeric_i,L2.3_Sp09D01
Max.,APOE_num:Anc_Afr,0.42223279923350987,numeric_i,L2.3_Sp09D01
Max.,Residuals,0.9873987434451286,numeric_i,L2.3_Sp09D01
Min.,APOE_E4E4,0,e4e4_i,L2.3_Sp09D01
Min.,APOE_E4E4:Anc_Afr,0,e4e4_i,L2.3_Sp09D01
Min.,APOE_E4E4:Sex,0,e4e4_i,L2.3_Sp09D01
Min.,round,0,e4e4_i,L2.3_Sp09D01
Min.,Sex,0,e4e4_i,L2.3_Sp09D01
Min.,Visium_slide,0,e4e4_i,L2.3_Sp09D01
Min.,Anc_Afr,6.337026409504586e-10,e4e4_i,L2.3_Sp09D01
Min.,Age,2.0937820364360263e-26,e4e4_i,L2.3_Sp09D01
Min.,Rin,4.573130753500156e-24,e4e4_i,L2.3_Sp09D01
Min.,ncells,3.729851246003338e-25,e4e4_i,L2.3_Sp09D01
Min.,Residuals,9.934723271225597e-13,e4e4_i,L2.3_Sp09D01
1st Qu.,APOE_E4E4,0,e4e4_i,L2.3_Sp09D01
1st Qu.,APOE_E4E4:Anc_Afr,6.651221462511324e-19,e4e4_i,L2.3_Sp09D01
1st Qu.,APOE_E4E4:Sex,0,e4e4_i,L2.3_Sp09D01
1st Qu.,round,0,e4e4_i,L2.3_Sp09D01
1st Qu.,Sex,0,e4e4_i,L2.3_Sp09D01
1st Qu.,Visium_slide,0,e4e4_i,L2.3_Sp09D01
1st Qu.,Anc_Afr,0.004731907208101445,e4e4_i,L2.3_Sp09D01
1st Qu.,Age,0.004382372421658333,e4e4_i,L2.3_Sp09D01
1st Qu.,Rin,0.005051835958421143,e4e4_i,L2.3_Sp09D01
1st Qu.,ncells,0.009872285324352423,e4e4_i,L2.3_Sp09D01
1st Qu.,Residuals,0.5973107311285232,e4e4_i,L2.3_Sp09D01
Median,APOE_E4E4,0,e4e4_i,L2.3_Sp09D01
Median,APOE_E4E4:Anc_Afr,3.6048363898274764e-12,e4e4_i,L2.3_Sp09D01
Median,APOE_E4E4:Sex,0,e4e4_i,L2.3_Sp09D01
Median,round,0,e4e4_i,L2.3_Sp09D01
Median,Sex,0,e4e4_i,L2.3_Sp09D01
Median,Visium_slide,4.20217050987023e-11,e4e4_i,L2.3_Sp09D01
Median,Anc_Afr,0.02044639993641762,e4e4_i,L2.3_Sp09D01
Median,Age,0.018058041800993227,e4e4_i,L2.3_Sp09D01
Median,Rin,0.02293458146683837,e4e4_i,L2.3_Sp09D01
Median,ncells,0.04329039536301861,e4e4_i,L2.3_Sp09D01
