metric,name,value,form,SpD
Median,Age,0.012005106408564954,carrier_i,WM_Sp09D06
Median,Rin,0.014113208950163677,carrier_i,WM_Sp09D06
Median,ncells,0.03603320466493844,carrier_i,WM_Sp09D06
Median,Residuals,0.5934156409356102,carrier_i,WM_Sp09D06
Mean,APOE_carrier,0.008998110548598273,carrier_i,WM_Sp09D06
Mean,APOE_carrier:Anc_Afr,0.2062887096155534,carrier_i,WM_Sp09D06
Mean,APOE_carrier:Sex,0.009617404363902154,carrier_i,WM_Sp09D06
Mean,round,0.011172642907789885,carrier_i,WM_Sp09D06
Mean,Sex,0.007093483817138189,carrier_i,WM_Sp09D06
Mean,Visium_slide,0.051600971035972255,carrier_i,WM_Sp09D06
Mean,Anc_Afr,0.030661855020820365,carrier_i,WM_Sp09D06
Mean,Age,0.02891009955424984,carrier_i,WM_Sp09D06
Mean,Rin,0.030228664795058674,carrier_i,WM_Sp09D06
Mean,ncells,0.08959532432202619,carrier_i,WM_Sp09D06
Mean,Residuals,0.5258327340188907,carrier_i,WM_Sp09D06
3rd Qu.,APOE_carrier,1.537715295995366e-11,carrier_i,WM_Sp09D06
3rd Qu.,APOE_carrier:Anc_Afr,0.3841193585635631,carrier_i,WM_Sp09D06
3rd Qu.,APOE_carrier:Sex,2.40016656258508e-16,carrier_i,WM_Sp09D06
3rd Qu.,round,8.775273459321156e-11,carrier_i,WM_Sp09D06
3rd Qu.,Sex,0,carrier_i,WM_Sp09D06
3rd Qu.,Visium_slide,0.06442863430223149,carrier_i,WM_Sp09D06
3rd Qu.,Anc_Afr,0.04168418007598557,carrier_i,WM_Sp09D06
3rd Qu.,Age,0.03860651317164359,carrier_i,WM_Sp09D06
3rd Qu.,Rin,0.042231023217811366,carrier_i,WM_Sp09D06
3rd Qu.,ncells,0.11921667510877226,carrier_i,WM_Sp09D06
3rd Qu.,Residuals,0.804048708168988,carrier_i,WM_Sp09D06
Max.,APOE_carrier,0.6151352082633188,carrier_i,WM_Sp09D06
Max.,APOE_carrier:Anc_Afr,0.9999999934943682,carrier_i,WM_Sp09D06
Max.,APOE_carrier:Sex,0.6566565815144566,carrier_i,WM_Sp09D06
Max.,round,0.4068757916407871,carrier_i,WM_Sp09D06
Max.,Sex,0.835009483375483,carrier_i,WM_Sp09D06
Max.,Visium_slide,0.7518071438586058,carrier_i,WM_Sp09D06
Max.,Anc_Afr,0.5175498694069787,carrier_i,WM_Sp09D06
Max.,Age,0.39089094159057974,carrier_i,WM_Sp09D06
Max.,Rin,0.5079119695026009,carrier_i,WM_Sp09D06
Max.,ncells,0.7590676102488401,carrier_i,WM_Sp09D06
Max.,Residuals,0.9978752705954501,carrier_i,WM_Sp09D06
Min.,APOE_num:Sex,0,numeric_i,WM_Sp09D06
Min.,round,0,numeric_i,WM_Sp09D06
Min.,Sex,0,numeric_i,WM_Sp09D06
Min.,Visium_slide,0,numeric_i,WM_Sp09D06
Min.,APOE_num,7.991160131718211e-10,numeric_i,WM_Sp09D06
Min.,Anc_Afr,4.948438116922559e-11,numeric_i,WM_Sp09D06
Min.,Age,7.496987750653047e-12,numeric_i,WM_Sp09D06
Min.,Rin,2.1712240931883932e-11,numeric_i,WM_Sp09D06
Min.,ncells,2.6001709765971533e-10,numeric_i,WM_Sp09D06
Min.,APOE_num:Anc_Afr,4.6300973149079275e-9,numeric_i,WM_Sp09D06
Min.,Residuals,1.1765006560655868e-4,numeric_i,WM_Sp09D06
1st Qu.,APOE_num:Sex,0,numeric_i,WM_Sp09D06
1st Qu.,round,0,numeric_i,WM_Sp09D06
1st Qu.,Sex,0,numeric_i,WM_Sp09D06
1st Qu.,Visium_slide,0,numeric_i,WM_Sp09D06
1st Qu.,APOE_num,0.004951852521584246,numeric_i,WM_Sp09D06
1st Qu.,Anc_Afr,0.007478826943037561,numeric_i,WM_Sp09D06
1st Qu.,Age,0.00210355683637524,numeric_i,WM_Sp09D06
1st Qu.,Rin,0.002526055468090778,numeric_i,WM_Sp09D06
1st Qu.,ncells,0.004729215199653467,numeric_i,WM_Sp09D06
1st Qu.,APOE_num:Anc_Afr,0.01109706391467634,numeric_i,WM_Sp09D06
1st Qu.,Residuals,0.5208863346782918,numeric_i,WM_Sp09D06
Median,APOE_num:Sex,0,numeric_i,WM_Sp09D06
Median,round,0,numeric_i,WM_Sp09D06
Median,Sex,0,numeric_i,WM_Sp09D06
Median,Visium_slide,7.936270398993285e-14,numeric_i,WM_Sp09D06
Median,APOE_num,0.01795030145358812,numeric_i,WM_Sp09D06
Median,Anc_Afr,0.024085192231099905,numeric_i,WM_Sp09D06
Median,Age,0.009045103563875119,numeric_i,WM_Sp09D06
Median,Rin,0.01156011567886978,numeric_i,WM_Sp09D06
Median,ncells,0.02684421292048735,numeric_i,WM_Sp09D06
Median,APOE_num:Anc_Afr,0.036189655967430824,numeric_i,WM_Sp09D06
Median,Residuals,0.6892048594109533,numeric_i,WM_Sp09D06
Mean,APOE_num:Sex,0.02729465558072713,numeric_i,WM_Sp09D06
Mean,round,0.012226074193394552,numeric_i,WM_Sp09D06
Mean,Sex,0.009808455754066817,numeric_i,WM_Sp09D06
Mean,Visium_slide,0.058676037260365466,numeric_i,WM_Sp09D06
Mean,APOE_num,0.030130612398300016,numeric_i,WM_Sp09D06
Mean,Anc_Afr,0.03795737827821168,numeric_i,WM_Sp09D06
Mean,Age,0.02209151279518805,numeric_i,WM_Sp09D06
Mean,Rin,0.025183703919420496,numeric_i,WM_Sp09D06
Mean,ncells,0.07267886526256308,numeric_i,WM_Sp09D06
Mean,APOE_num:Anc_Afr,0.05135769808640427,numeric_i,WM_Sp09D06
Mean,Residuals,0.6525950064713585,numeric_i,WM_Sp09D06
3rd Qu.,APOE_num:Sex,1.0237606652776888e-10,numeric_i,WM_Sp09D06
3rd Qu.,round,1.651033866166748e-11,numeric_i,WM_Sp09D06
3rd Qu.,Sex,0,numeric_i,WM_Sp09D06
3rd Qu.,Visium_slide,0.08386409563292482,numeric_i,WM_Sp09D06
3rd Qu.,APOE_num,0.04312224285036535,numeric_i,WM_Sp09D06
3rd Qu.,Anc_Afr,0.05532090925614982,numeric_i,WM_Sp09D06
3rd Qu.,Age,0.02782016051121716,numeric_i,WM_Sp09D06
3rd Qu.,Rin,0.03445511938472831,numeric_i,WM_Sp09D06
3rd Qu.,ncells,0.0896666458459833,numeric_i,WM_Sp09D06
3rd Qu.,APOE_num:Anc_Afr,0.07587830830141132,numeric_i,WM_Sp09D06
3rd Qu.,Residuals,0.8103285410624137,numeric_i,WM_Sp09D06
Max.,APOE_num:Sex,0.9397350267155931,numeric_i,WM_Sp09D06
Max.,round,0.4203358001572071,numeric_i,WM_Sp09D06
Max.,Sex,0.8555706333242075,numeric_i,WM_Sp09D06
Max.,Visium_slide,0.7691331306024594,numeric_i,WM_Sp09D06
Max.,APOE_num,0.41438680265445665,numeric_i,WM_Sp09D06
Max.,Anc_Afr,0.5216194661435917,numeric_i,WM_Sp09D06
Max.,Age,0.40874990671091865,numeric_i,WM_Sp09D06
Max.,Rin,0.4625615392497257,numeric_i,WM_Sp09D06
Max.,ncells,0.7575934815314346,numeric_i,WM_Sp09D06
Max.,APOE_num:Anc_Afr,0.40646497011823984,numeric_i,WM_Sp09D06
Max.,Residuals,0.9921968530275345,numeric_i,WM_Sp09D06
Min.,APOE_E4E4,0,e4e4_i,WM_Sp09D06
Min.,APOE_E4E4:Anc_Afr,0,e4e4_i,WM_Sp09D06
Min.,APOE_E4E4:Sex,0,e4e4_i,WM_Sp09D06
Min.,round,0,e4e4_i,WM_Sp09D06
Min.,Sex,0,e4e4_i,WM_Sp09D06
Min.,Visium_slide,0,e4e4_i,WM_Sp09D06
Min.,Anc_Afr,2.2473869901439428e-10,e4e4_i,WM_Sp09D06
Min.,Age,3.630611597636905e-18,e4e4_i,WM_Sp09D06
Min.,Rin,7.784649148976427e-18,e4e4_i,WM_Sp09D06
Min.,ncells,1.3962725319277937e-18,e4e4_i,WM_Sp09D06
Min.,Residuals,1.6392110143169821e-9,e4e4_i,WM_Sp09D06
