Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5to9,Feature log2 fold change topic 5to9
ENSG00000188976,NOC2L,17,-2.2245,124,1.31329,56,-0.7883
ENSG00000188290,HES4,754,3.06113,78,-1.4005,97,-1.3425
ENSG00000187608,ISG15,1,-5.3510,37,-0.6259,70,1.28025
ENSG00000078808,SDF4,185,0.91206,91,-0.3437,102,-0.1663
ENSG00000160087,UBE2J2,26,-1.4615,98,0.90342,57,-0.4760
ENSG00000131584,ACAP3,108,-0.6295,252,1.11939,117,-0.8794
ENSG00000127054,INTS11,136,1.03987,84,0.29790,55,-0.8180
ENSG00000107404,DVL1,17,-2.5664,71,-0.5415,122,1.06689
ENSG00000175756,AURKAIP1,101,-0.3417,138,0.21554,123,-0.0737
ENSG00000221978,CCNL2,90,0.75472,54,-0.1016,52,-0.2760
ENSG00000242485,MRPL20,163,0.45693,114,-0.1708,121,-0.0557
ENSG00000179403,VWA1,14,-2.1477,14,-2.5156,96,2.72648
ENSG00000205090,TMEM240,1,-5.9377,118,1.02855,69,-0.3622
ENSG00000160075,SSU72,66,-1.6709,286,0.92713,167,-0.4671
ENSG00000228594,FNDC10,60,0.13231,77,0.78017,41,-0.8022
ENSG00000197530,MIB2,1,-5.2189,67,0.85756,44,-0.1988
ENSG00000078369,GNB1,435,0.07683,439,0.12434,397,-0.1441
ENSG00000187730,GABRD,1,-6.6604,284,1.46651,123,-0.7957
ENSG00000067606,PRKCZ,275,0.42799,267,0.52815,167,-0.6869
ENSG00000162585,FAAP20,136,1.03750,58,-0.5114,71,-0.1130
ENSG00000157933,SKI,112,0.39875,104,0.36999,74,-0.5185
ENSG00000157916,RER1,158,1.31078,82,0.22910,52,-0.9442
ENSG00000197921,HES5,10,-3.9712,46,-2.0113,224,2.57666
ENSG00000157870,PRXL2B,59,-1.0105,173,1.05994,87,-0.7215
ENSG00000177133,PRDM16-DT,8,-2.5949,11,-2.4330,74,2.76941
ENSG00000158109,TPRG1L,164,0.08008,188,0.42157,136,-0.4246
ENSG00000130764,LRRC47,1,-5.6702,85,0.65763,64,0.00611
ENSG00000196581,AJAP1,60,0.32206,68,0.76732,36,-0.8763
ENSG00000069424,KCNAB2,218,-0.6171,463,0.88295,257,-0.6410
ENSG00000116254,CHD5,74,-2.1591,490,1.21747,238,-0.6982
ENSG00000116251,RPL22,403,0.01812,341,-0.3250,433,0.27726
ENSG00000097021,ACOT7,74,-1.1315,240,1.11413,118,-0.7506
ENSG00000171680,PLEKHG5,1,-5.4501,92,1.32409,43,-0.6626
ENSG00000162408,NOL9,1,-5.6634,69,0.17486,73,0.48784
ENSG00000007923,DNAJC11,1,-5.5803,78,0.61697,61,0.04580
ENSG00000171735,CAMTA1,222,-0.1755,267,0.16405,241,-0.0831
ENSG00000049245,VAMP3,36,-0.4524,17,-1.8919,68,1.65628
ENSG00000116288,PARK7,151,-0.4496,155,-0.5173,237,0.61737
ENSG00000142599,RERE,42,-1.8031,169,0.51402,134,-0.0391
ENSG00000074800,ENO1,240,-1.7068,607,-0.3648,890,0.78839
ENSG00000171603,CLSTN1,243,-1.2962,861,1.07558,441,-0.6787
ENSG00000162441,LZIC,4,-3.8647,34,-0.8559,75,1.46264
ENSG00000130939,UBE4B,70,0.62918,74,1.05633,28,-1.3552
ENSG00000054523,KIF1B,357,-0.3292,469,0.15000,436,-0.0167
ENSG00000142657,PGD,1,-5.2147,71,1.03383,41,-0.3751
ENSG00000160049,DFFA,1,-4.9478,30,-0.5256,53,1.17345
ENSG00000120948,TARDBP,101,0.52779,55,-0.5844,79,0.24647
ENSG00000116649,SRM,86,-0.5350,168,0.79026,99,-0.5714
ENSG00000116661,FBXO2,22,-3.6805,249,-0.1060,317,0.72030
