Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,6,-2.1461,17,-0.6381,23,-0.1565,21,-0.2954,37,0.94942,15,-0.7830,33,0.45121
ENSG00000188976,NOC2L,25,-1.0107,35,-0.4500,38,-0.3266,41,-0.2160,53,0.24674,49,0.07593,77,0.82389
ENSG00000188290,HES4,58,-0.6260,69,-0.3437,83,-0.0516,104,0.31975,121,0.81578,43,-1.0823,53,-0.7551
ENSG00000187608,ISG15,178,-0.2361,196,-0.0825,193,-0.1041,231,0.18471,264,0.57416,135,-0.6645,130,-0.7304
ENSG00000188157,AGRN,30,-0.8074,41,-0.3298,30,-0.8109,45,-0.1670,74,0.97276,37,-0.4847,44,-0.1874
ENSG00000131591,C1orf159,13,0.04311,14,0.23470,5,-1.3372,13,0.12937,14,0.20273,9,-0.4628,16,0.40309
ENSG00000078808,SDF4,65,-0.2303,59,-0.3815,65,-0.2170,73,-0.0432,71,-0.1119,94,0.36933,105,0.55912
ENSG00000176022,B3GALT6,13,-1.3522,28,-0.1733,16,-1.0550,19,-0.7169,38,0.44046,43,0.53986,47,0.69288
ENSG00000160087,UBE2J2,27,-0.8415,41,-0.2152,36,-0.4280,66,0.57848,48,0.07381,62,0.47073,43,-0.1251
ENSG00000131584,ACAP3,77,-0.1567,86,0.02773,49,-0.8405,92,0.13837,89,0.11536,71,-0.2700,118,0.54995
ENSG00000169972,PUSL1,6,-1.2539,10,-0.5556,14,0.00793,8,-0.8585,15,0.13048,28,1.13405,16,0.21445
ENSG00000127054,INTS11,38,-0.5570,48,-0.2023,55,0.00242,51,-0.1050,64,0.36954,40,-0.4801,66,0.30293
ENSG00000224051,CPTP,9,-1.8766,26,-0.2359,19,-0.7368,22,-0.5170,41,0.69413,49,0.79461,26,-0.2413
ENSG00000107404,DVL1,44,-0.5953,85,0.46353,82,0.39063,62,-0.0595,62,-0.0747,60,-0.1143,60,-0.1188
ENSG00000175756,AURKAIP1,187,0.09306,189,0.11252,240,0.50364,160,-0.1606,159,-0.2211,139,-0.3813,198,0.18522
ENSG00000221978,CCNL2,46,-0.2136,46,-0.2131,33,-0.7426,42,-0.3449,74,0.82056,38,-0.5207,46,-0.2161
ENSG00000242485,MRPL20,145,-0.3082,140,-0.3651,204,0.24659,234,0.47428,170,-0.0733,152,-0.2308,196,0.18394
ENSG00000235098,ANKRD65,41,0.62597,21,-0.4863,38,0.50167,31,0.15534,21,-0.5660,29,0.01856,30,0.11108
ENSG00000179403,VWA1,157,2.87317,28,-0.3784,13,-1.5863,33,-0.1430,12,-1.9105,39,0.12002,18,-1.0859
