Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to8,Feature log2 fold change topic 3to8
ENSG00000228794,LINC01128,15,-0.7168,25,0.71685
ENSG00000188976,NOC2L,41,-0.4703,57,0.47032
ENSG00000188290,HES4,91,0.46313,66,-0.4631
ENSG00000187608,ISG15,62,0.38112,47,-0.3811
ENSG00000188157,AGRN,23,-0.5668,35,0.56689
ENSG00000131591,C1orf159,13,0.28150,10,-0.2815
ENSG00000078808,SDF4,77,-0.0622,81,0.06221
ENSG00000176022,B3GALT6,39,-0.3113,49,0.31139
ENSG00000160087,UBE2J2,47,-0.1985,54,0.19855
ENSG00000162572,SCNN1D,10,-0.7852,18,0.78529
ENSG00000131584,ACAP3,104,-0.3099,128,0.30990
ENSG00000169972,PUSL1,17,0.60096,11,-0.6009
ENSG00000127054,INTS11,56,-0.4168,75,0.41681
ENSG00000224051,CPTP,21,-0.9142,41,0.91426
ENSG00000107404,DVL1,76,-0.0695,79,0.06957
ENSG00000175756,AURKAIP1,172,0.17398,153,-0.1739
ENSG00000221978,CCNL2,50,-0.3022,62,0.30222
ENSG00000224870,MRPL20-AS1,8,-0.6552,13,0.65529
ENSG00000242485,MRPL20,218,-0.0729,230,0.07293
ENSG00000235098,ANKRD65,24,0.71393,15,-0.7139
ENSG00000179403,VWA1,70,1.62175,22,-1.6217
ENSG00000160072,ATAD3B,13,-0.3818,17,0.38181
ENSG00000197785,ATAD3A,13,-0.5606,19,0.56065
ENSG00000205090,TMEM240,52,-0.1608,58,0.16085
ENSG00000160075,SSU72,170,-0.2206,198,0.22067
ENSG00000228594,FNDC10,51,-0.2595,61,0.25959
ENSG00000272106,AL691432.2,34,0.14835,31,-0.1483
ENSG00000197530,MIB2,44,-0.0796,47,0.07962
ENSG00000189339,SLC35E2B,21,0.42193,15,-0.4219
ENSG00000215790,SLC35E2A,36,-0.4808,50,0.48082
ENSG00000008130,NADK,33,-0.0668,34,0.06683
ENSG00000078369,GNB1,418,-0.3439,531,0.34390
ENSG00000187730,GABRD,63,-1.3667,162,1.36677
ENSG00000067606,PRKCZ,165,-0.3364,209,0.33647
ENSG00000162585,FAAP20,89,0.76476,52,-0.7647
ENSG00000157933,SKI,33,0.16455,29,-0.1645
ENSG00000157916,RER1,79,0.16688,71,-0.1668
ENSG00000157911,PEX10,35,-0.0188,36,0.01884
ENSG00000149527,PLCH2,13,-1.0894,28,1.08949
ENSG00000157881,PANK4,12,-0.8569,23,0.85695
ENSG00000197921,HES5,26,1.20845,11,-1.2084
ENSG00000272449,AL139246.5,21,0.61652,13,-0.6165
ENSG00000157873,TNFRSF14,12,0.35917,9,-0.3591
ENSG00000157870,PRXL2B,51,-0.3148,64,0.31487
ENSG00000177133,PRDM16-DT,66,1.45040,24,-1.4504
ENSG00000158109,TPRG1L,129,-0.4621,178,0.46210
ENSG00000116213,WRAP73,13,-0.4289,17,0.42893
ENSG00000130764,LRRC47,48,-0.5713,71,0.57136
ENSG00000116198,CEP104,17,0.41136,13,-0.4113
ENSG00000198912,C1orf174,8,-0.6187,13,0.61872
ENSG00000196581,AJAP1,22,-1.0398,45,1.03983
ENSG00000131697,NPHP4,11,-0.1114,12,0.11143
ENSG00000069424,KCNAB2,206,-0.2849,251,0.28499
ENSG00000116254,CHD5,130,-0.5708,193,0.57089
ENSG00000116251,RPL22,1072,0.77599,626,-0.7759
ENSG00000158286,RNF207,5,-1.3568,13,1.35680
ENSG00000116237,ICMT,29,-0.6390,45,0.63903
ENSG00000158292,GPR153,18,-0.1736,20,0.17362
ENSG00000097021,ACOT7,146,-0.8848,271,0.88483
ENSG00000215788,TNFRSF25,19,-0.8352,33,0.83527
