cluster,sestan_EC
Astro.1,VLMC.COL1A1.COL1A2*
Astro.2,Astro.AQP4.GFAP*
Astro.3,OPC.PDGFRA.GRIA4*
Astro.4,Astro.AQP4.CHRDL1*
Astro.6,Oligo.CPXM2.KANK4*
Astro.8,OPC.PDGFRA.GRIA4*
