k10,n,passALL_metricQC,metric_fail,rank,cell_type_k10,median_sum,median_detected,median_Mito_percent,median_scDblFinder.score,sctype,sestan_EC,snDLPFC_PEC
k4,10976,TRUE,NA,1,Astro.01,9395,3590,0.07940604392638817,0.0010052856523543596,Astrocytes,Astro.AQP4.CHRDL1*,Chandelier*
k3,5276,TRUE,NA,2,Astro.02,3337,1889,0.12693040551136278,7.343803881667554e-4,Astrocytes,Astro.AQP4.CHRDL1/Astro.AQP4.GFAP*,Astro*
k6,3087,TRUE,NA,3,Astro.03,5406,2599,0.10075566750629722,9.248891146853566e-4,Astrocytes,Oligo.OPALIN.LAMA2/Oligo.OPALIN.LINC01098/Oligo.OPALIN.SLC5A11*,Oligo*
k8,1133,TRUE,NA,4,Astro.04,7658,3244,0.052854122621564484,0.0012207423569634557,Astrocytes,EC.L6b.TLE4.CCN2*,L6b*
k10,812,TRUE,NA,5,Astro.05,1847.5,1229.5,0.1685276780173448,7.457793108187616e-4,Astrocytes,Oligo.CPXM2.KANK4*,Astro*
k9,384,FALSE,"detected,sum",6,Astro.06_QC,1165,846,0.2256081112032942,6.351240444928408e-4,Astrocytes,NA,NA
k2,280,FALSE,scDblFinder.score,7,Astro.07_QC,14575,4964,0.08541295080928753,0.9991937279701233,Astrocytes,NA,NA
k7,81,FALSE,scDblFinder.score,8,Astro.08_QC,26876,7034,0.16047851776205413,0.9992495179176331,Glutamatergic neurons,NA,NA
k1,47,FALSE,"detected,sum",9,Astro.09_QC,585,490,0.3305785123966942,6.728297448717058e-4,Astrocytes,NA,NA
k5,47,FALSE,scDblFinder.score,10,Astro.10_QC,53380,9134,0.07101684282789068,0.9992483258247375,Glutamatergic neurons,NA,NA
k11,22,FALSE,"detected,sum",11,Astro.11_QC,859,685,0.15425476061122093,8.386003028135747e-4,Astrocytes,NA,NA
