"","top","model_type","test","gene","stat","pval","fdr","gene_index","logFC","ensembl"
"1",1,"enrichment","Astro.01","LMO3",8.72610062924067,6.54213359572485e-15,7.87100448235646e-12,5869,0.79448619681289,"ENSG00000048540"
"2",2,"enrichment","Astro.01","FAM171B",8.30150261529059,7.37800916245627e-14,7.89037090984907e-11,1401,0.946634564694502,"ENSG00000144369"
"3",3,"enrichment","Astro.01","ERBB4",8.044658428482,3.13584152194031e-13,2.74386133169777e-10,1487,0.76148459305902,"ENSG00000178568"
"4",4,"enrichment","Astro.01","SOX5",7.96917939638272,4.7835382793525e-13,3.83679632823065e-10,5885,0.662670485310583,"ENSG00000134532"
"5",5,"enrichment","Astro.01","APC",7.87042518112843,8.29416685478918e-13,5.70223971266756e-10,2874,0.570398116150827,"ENSG00000134982"
"6",6,"enrichment","Astro.01","CARMIL1",7.79583736181893,1.2548398817363e-12,8.05188924114129e-10,3180,0.811053309690847,"ENSG00000079691"
"7",7,"enrichment","Astro.01","GPM6A",7.78238763326367,1.35190365545932e-12,8.13254542737249e-10,2596,0.705190534889757,"ENSG00000150625"
"8",8,"enrichment","Astro.01","CADM1",7.70332174915973,2.09286165892691e-12,1.18492902748068e-09,5720,0.865170086068038,"ENSG00000182985"
"9",9,"enrichment","Astro.01","ADGRB3",7.68421242025024,2.32542337138396e-12,1.24345555275392e-09,3330,0.685701326773763,"ENSG00000135298"
"10",10,"enrichment","Astro.01","CDH2",7.6573666608991,2.69598160563726e-12,1.36572752390835e-09,8143,0.635510664473984,"ENSG00000170558"
"11",1,"enrichment","Astro.02","SNTA1",4.98147087509183,1.80917318273371e-06,0.00701065055717593,8826,0.535567444467546,"ENSG00000101400"
"12",2,"enrichment","Astro.02","PTGDS",4.91567279989767,2.41317150399241e-06,0.00701065055717593,4843,0.568990994123138,"ENSG00000107317"
"13",3,"enrichment","Astro.02","PPP6R2",4.80773276103724,3.85041302844312e-06,0.00701065055717593,9277,0.325087841539577,"ENSG00000100239"
"14",4,"enrichment","Astro.02","SLC27A1",4.80052550037278,3.97148271742085e-06,0.00701065055717593,8430,0.494190575415145,"ENSG00000130304"
"15",5,"enrichment","Astro.02","PRKRIP1",4.78271091960892,4.28676929293842e-06,0.00701065055717593,3909,0.414180871321602,"ENSG00000128563"
"16",6,"enrichment","Astro.02","SNRNP70",4.77820515536656,4.37027567200577e-06,0.00701065055717593,8645,0.454446271195156,"ENSG00000104852"
"17",7,"enrichment","Astro.02","PLXNB1",4.72420470217587,5.50205293815226e-06,0.00756532278995936,1770,0.585703734404163,"ENSG00000164050"
