cell_type,enrichment_top5,MeanRatio_top5,overlap_top10
Astro.1,"LMO3, FAM171B, ERBB4, SOX5, APC","PCDH9-AS2, ENSG00000274441, ENSG00000259481, TLCD4, TMEM241",NA
Astro.2,"SNTA1, PTGDS, PPP6R2, SLC27A1, PRKRIP1","SNRNP70, PTGDS, MMD2","PTGDS, SNRNP70"
Astro.3,"BCAS1, SLC24A2, LINC01608, ZNF536, ST18","RPS27, COL16A1, PABPN1, EPN2, HIP1R",NA
Astro.4,"CCDC14, RNF19A, PLEKHA5, CERS6, PPP1R12B","ENSG00000287372, CCDC85A, LINC00836, ID3, ST6GAL1",NA
Astro.5,"MMD2, SYT1, NECAB1, CSMD1, EDIL3","DST, MT-CO3, MACF1",NA
