"gene","cellType.target","mean.target","cellType.2nd","mean.2nd","MeanRatio","MeanRatio.rank","MeanRatio.anno","gene_ensembl","gene_name"
"PCDH9-AS2","Astro.1",1.18576027318718,"Astro.3",0.798135959043312,1.48566201002708,1,"Astro.1/Astro.3: 1.486","ENSG00000228842","PCDH9-AS2"
"ENSG00000274441","Astro.1",1.23459820815787,"Astro.3",0.846561520245289,1.4583679728322,2,"Astro.1/Astro.3: 1.458","ENSG00000274441","ENSG00000274441"
"ENSG00000259481","Astro.1",0.870363834722787,"Astro.3",0.610749582387337,1.42507479304472,3,"Astro.1/Astro.3: 1.425","ENSG00000259481","ENSG00000259481"
"TLCD4","Astro.1",0.876149566120446,"Astro.3",0.620902016663488,1.41109151300324,4,"Astro.1/Astro.3: 1.411","ENSG00000152078","TLCD4"
"TMEM241","Astro.1",1.23048954982322,"Astro.3",0.878691918777977,1.40036516044725,5,"Astro.1/Astro.3: 1.4","ENSG00000134490","TMEM241"
"WIF1","Astro.1",1.48537395638326,"Astro.3",1.06714229798056,1.39191742206654,6,"Astro.1/Astro.3: 1.392","ENSG00000156076","WIF1"
"GNA14-AS1","Astro.1",0.978613036326552,"Astro.3",0.713227663074347,1.37209068996044,7,"Astro.1/Astro.3: 1.372","ENSG00000231373","GNA14-AS1"
"CC2D2B","Astro.1",0.98348824726582,"Astro.3",0.718605232955204,1.36860713248818,8,"Astro.1/Astro.3: 1.369","ENSG00000188649","CC2D2B"
"ABCD2","Astro.1",1.0863498828227,"Astro.3",0.794416040000949,1.36748231168822,9,"Astro.1/Astro.3: 1.367","ENSG00000173208","ABCD2"
"ENSG00000289405","Astro.1",1.06784379874206,"Astro.3",0.781015243910862,1.36725090459814,10,"Astro.1/Astro.3: 1.367","ENSG00000289405","ENSG00000289405"
"SNRNP70","Astro.2",1.53861680106682,"Astro.3",1.50394010576735,1.0230572315789,1,"Astro.2/Astro.3: 1.023","ENSG00000104852","SNRNP70"
"PTGDS","Astro.2",3.70163252539795,"Astro.5",3.66421761859408,1.01021088556913,2,"Astro.2/Astro.5: 1.01","ENSG00000107317","PTGDS"
"MMD2","Astro.2",2.50823331142074,"Astro.5",2.49727479204689,1.00438819124301,3,"Astro.2/Astro.5: 1.004","ENSG00000136297","MMD2"
"RPS27","Astro.3",1.14719242324073,"Astro.2",1.03401943222127,1.10944957850197,1,"Astro.3/Astro.2: 1.109","ENSG00000177954","RPS27"
"COL16A1","Astro.3",1.05774129439123,"Astro.2",0.99703207630784,1.06088993476339,2,"Astro.3/Astro.2: 1.061","ENSG00000084636","COL16A1"
"PABPN1","Astro.3",1.33431024263032,"Astro.1",1.27562441991391,1.04600556543153,3,"Astro.3/Astro.1: 1.046","ENSG00000100836","PABPN1"
"EPN2","Astro.3",1.19597114341009,"Astro.1",1.1546199238983,1.03581370687956,4,"Astro.3/Astro.1: 1.036","ENSG00000072134","EPN2"
"HIP1R","Astro.3",1.31442684842225,"Astro.2",1.26910208947049,1.03571403697765,5,"Astro.3/Astro.2: 1.036","ENSG00000130787","HIP1R"
"NKAIN2","Astro.3",1.46951695505131,"Astro.1",1.41958296958984,1.03517510883911,6,"Astro.3/Astro.1: 1.035","ENSG00000188580","NKAIN2"
"SRRM2","Astro.3",1.23961332723471,"Astro.2",1.21640031820698,1.01908336316612,7,"Astro.3/Astro.2: 1.019","ENSG00000167978","SRRM2"
"AGAP1","Astro.3",1.82118918606689,"Astro.1",1.79565466934439,1.01422017114896,8,"Astro.3/Astro.1: 1.014","ENSG00000157985","AGAP1"
"BCAN","Astro.3",1.14101513965431,"Astro.1",1.12917225511879,1.01048811151871,9,"Astro.3/Astro.1: 1.01","ENSG00000132692","BCAN"
"B4GALNT4","Astro.3",1.06294796042283,"Astro.1",1.0534412432774,1.00902443985946,10,"Astro.3/Astro.1: 1.009","ENSG00000182272","B4GALNT4"
"ENSG00000287372","Astro.4",1.60221750451929,"Astro.5",0.274161357099076,5.84406760118378,1,"Astro.4/Astro.5: 5.844","ENSG00000287372","ENSG00000287372"
"CCDC85A","Astro.4",1.85862092652332,"Astro.5",0.320387687592135,5.80116214980588,2,"Astro.4/Astro.5: 5.801","ENSG00000055813","CCDC85A"
"LINC00836","Astro.4",1.71832085039242,"Astro.5",0.314878679257364,5.45708859820249,3,"Astro.4/Astro.5: 5.457","ENSG00000280809","LINC00836"
"ID3","Astro.4",1.21891229834486,"Astro.5",0.233860508340784,5.21213396392968,4,"Astro.4/Astro.5: 5.212","ENSG00000117318","ID3"
"ST6GAL1","Astro.4",1.1541917990937,"Astro.5",0.222406654854256,5.18955604026349,5,"Astro.4/Astro.5: 5.19","ENSG00000073849","ST6GAL1"
"CD44","Astro.4",2.15139580015363,"Astro.5",0.415548377175183,5.17724510146906,6,"Astro.4/Astro.5: 5.177","ENSG00000026508","CD44"
"KCNJ3","Astro.4",1.68232164953437,"Astro.5",0.339158154550567,4.96028660069722,7,"Astro.4/Astro.5: 4.96","ENSG00000162989","KCNJ3"
"LINC01088","Astro.4",2.2712333482284,"Astro.2",0.475853475360623,4.7729678689583,8,"Astro.4/Astro.2: 4.773","ENSG00000249307","LINC01088"
"TSHZ2","Astro.4",2.00756324397698,"Astro.5",0.429992967344628,4.66882808892074,9,"Astro.4/Astro.5: 4.669","ENSG00000182463","TSHZ2"
"COL21A1","Astro.4",2.36269847371562,"Astro.5",0.541540071863919,4.36292454883992,10,"Astro.4/Astro.5: 4.363","ENSG00000124749","COL21A1"
"DST","Astro.5",4.67676659571576,"Astro.4",4.57237510208528,1.02283091200957,1,"Astro.5/Astro.4: 1.023","ENSG00000151914","DST"
"MT-CO3","Astro.5",1.84475394045213,"Astro.2",1.81351426736865,1.01722604208061,2,"Astro.5/Astro.2: 1.017","ENSG00000198938","MT-CO3"
"MACF1","Astro.5",4.71489507163243,"Astro.2",4.6491880986343,1.01413299948381,3,"Astro.5/Astro.2: 1.014","ENSG00000127603","MACF1"
