ligand_complex,receptor_complex,ligand_cluster,ligand_sn_logFC,ligand_sn_padj,receptor_cluster,receptor_sn_logFC,receptor_sn_padj
TGFB1,EGFR,Astro.2,0.32246337118662,0.595541858584207,Oligo.3,1.01251846216712,0.105682263164879
DCN,EGFR,Oligo.3,1.21140393944165,0.106639392716011,Oligo.3,1.01251846216712,0.105682263164879
ANXA1,EGFR,Oligo.5,1.75334543073954,0.163461046172242,Oligo.3,1.01251846216712,0.105682263164879
NRXN3,NLGN1,Oligo.3,-0.683998441285705,0.0191014879581087,Oligo.3,-0.538030043087542,0.0738507034474317
NRG3,EGFR,Oligo.3,1.62581984095939,0.0267823386998736,Oligo.3,1.01251846216712,0.105682263164879
TGFB1,CXCR4,Astro.2,0.32246337118662,0.595541858584207,Oligo.5,0.939014421019224,0.42266914975699
APOE,TREM2,Astro.2,0.330296343511667,0.63018613865072,Micro.3,-0.440794563482579,0.706965288288019
CXCL14,CXCR4,Oligo.3,1.05700174321857,0.113902320326615,Oligo.5,0.939014421019224,0.42266914975699
BCAN,EGFR,Oligo.3,0.582945549157397,0.284606975550519,Oligo.3,1.01251846216712,0.105682263164879
DCN,ERBB4,Oligo.3,1.21140393944165,0.106639392716011,Oligo.3,-0.440193369013285,0.0738507034474317
VCAN,TLR2,Astro.2,-1.11769187134266,0.098104947587465,Oligo.3,1.56170185853187,0.0394251490643158
VCAN,EGFR,Astro.2,-1.11769187134266,0.098104947587465,Oligo.3,1.01251846216712,0.105682263164879
DCN,TLR2,Oligo.3,1.21140393944165,0.106639392716011,Oligo.3,1.56170185853187,0.0394251490643158
NLGN1,NRXN3,Oligo.3,-0.538030043087542,0.0738507034474317,Oligo.3,-0.683998441285705,0.0191014879581087
VIP,ADRB1,Oligo.3,0.861714228581098,0.383727819849664,Excit.L2_5.1,0.83402080802584,0.208022111530482
NXPH2,NRXN1,Oligo.3,1.45409652633586,0.0738573424029701,Oligo.3,1.15281371274073,0.0397601219216753
NLGN1,NRXN1,Oligo.3,-0.538030043087542,0.0738507034474317,Oligo.3,1.15281371274073,0.0397601219216753
CDH1,EGFR,Oligo.3,-0.388967938396471,0.289319165767145,Oligo.3,1.01251846216712,0.105682263164879
SPON1,APP,Macro,1.23665793059307,0.229120529651613,Oligo.3,-0.28916342613528,0.105975412183306
PSEN1,NOTCH1,Oligo.3,-0.530482229870082,0.0389925460100806,Excit.L2_5.1,-0.879850958311037,0.28091006594365
NRG3,ERBB3,Oligo.3,1.62581984095939,0.0267823386998736,Oligo.3,-0.601162928909306,0.0429496783192911
APP,NCSTN,Oligo.3,-0.28916342613528,0.105975412183306,Astro.2,0.559755597451646,0.305341091546406
TGFB1,CAV1,Astro.2,0.32246337118662,0.595541858584207,Oligo.1,-1.31320062341044,0.282995369076299
TAC1,TACR1,Oligo.3,1.37250598177432,0.050026982529813,Excit.L2_5.1,-0.794068187077049,0.212350109411188
IGFBP4,FZD8,Vasc.VLMC,-0.871360842977865,0.463191160007716,Astro.2,1.00601803433747,0.0261261358277403
S100A4,ERBB3,Excit.L2_5.1,-0.263064801287282,0.939408062214432,Oligo.3,-0.601162928909306,0.0429496783192911
NTRK3,PTPRD,Oligo.3,1.28198922919565,0.0197677442070088,Oligo.3,-0.493025671412907,0.0245218129044138
S100A4,EGFR,Excit.L2_5.1,-0.263064801287282,0.939408062214432,Oligo.3,1.01251846216712,0.105682263164879
PSEN1,NCSTN,Oligo.3,-0.530482229870082,0.0389925460100806,Astro.2,0.559755597451646,0.305341091546406
THBS1,CD36,Oligo.3,2.06507218333717,0.0309530332123701,Macro,-1.9459487716455,0.299089498321334
CNTN2,NRP1,Oligo.3,-0.568818308932672,0.0777147971332956,Macro,-1.5618317212243,0.0492882070267635
HLA-DQA1,CD4,Macro,1.01524609817617,0.121837875642533,Vasc.VLMC,-0.936145964585987,0.478671235138664
NRXN1,NLGN1,Oligo.3,1.15281371274073,0.0397601219216753,Oligo.3,-0.538030043087542,0.0738507034474317
CD14,ITGB2,Macro,-0.594430313079387,0.370773810158615,Excit.L2_5.1,0.404126942985807,0.780869553176486
HLA-DMB,CD4,Excit.L2_5.1,-1.26710622307148,0.450345895290093,Vasc.VLMC,-0.936145964585987,0.478671235138664
CD48,CD2,Astro.1,NA,NA,Micro.2,-0.290585328492217,0.948368552176126
