top,model_type,test,gene,stat,pval,fdr,gene_index,logFC,ensembl,HumanPilot_anno
1,enrichment,Sp09D01,FKBP1A,11.472370944912301,3.310221539193992e-25,2.064916196149212e-21,11265,1.0632068889026625,ENSG00000088832,L2/3~Sp09D01
2,enrichment,Sp09D01,MAPK1,11.065524876631036,7.899673119705213e-24,3.285210728048075e-20,11767,1.013844105656567,ENSG00000100030,L2/3~Sp09D01
3,enrichment,Sp09D01,HPCAL1,10.578262287676882,3.3325699282876114e-22,1.039428560632906e-18,1272,1.1267339204894737,ENSG00000115756,L2/3~Sp09D01
4,enrichment,Sp09D01,RTN4,10.389677927990036,1.392520945508944e-21,3.4746182632339166e-18,1436,0.724502219884343,ENSG00000115310,L2/3~Sp09D01
5,enrichment,Sp09D01,KCNK1,10.337429523167962,2.065509104830131e-21,4.294881931976786e-18,1190,1.1424506616831165,ENSG00000135750,L2/3~Sp09D01
6,enrichment,Sp09D01,PEG10,10.270863745282202,3.4090765093962325e-21,6.075948361603913e-18,4761,1.0816842532312665,ENSG00000242265,L2/3~Sp09D01
7,enrichment,Sp09D01,HOPX,10.053757017399626,1.730209545734536e-20,2.39845492139823e-17,2951,1.575033992018985,ENSG00000171476,L2/3~Sp09D01
8,enrichment,Sp09D01,ARPP19,9.928660775838294,4.3804319734548743e-20,4.6242532847421794e-17,8693,0.830700278142636,ENSG00000128989,L2/3~Sp09D01
9,enrichment,Sp09D01,AP1S1,9.907133512973537,5.13697200594437e-20,4.9299125189355354e-17,4830,1.0472189410502375,ENSG00000106367,L2/3~Sp09D01
10,enrichment,Sp09D01,NPTXR,9.604237718284091,4.750841763066991e-19,4.053312970170576e-16,11909,1.3875076728356186,ENSG00000221890,L2/3~Sp09D01
11,enrichment,Sp09D01,LAMP5,9.600745341566526,4.873332362340385e-19,4.053312970170576e-16,11311,2.0481452507245246,ENSG00000125869,L2/3~Sp09D01
12,enrichment,Sp09D01,CACNA2D1,9.508738873208452,9.514353371337745e-19,6.982416038871159e-16,4722,1.1677350186002435,ENSG00000153956,L2/3~Sp09D01
13,enrichment,Sp09D01,PSD3,9.48108019331201,1.1626730608187407e-18,8.058616170430338e-16,5097,0.8961604526291899,ENSG00000156011,L2/3~Sp09D01
14,enrichment,Sp09D01,GABRB3,9.397254599117947,2.1310978500019064e-18,1.21698762412986e-15,8557,1.14499663176326,ENSG00000166206,L2/3~Sp09D01
15,enrichment,Sp09D01,SIRPA,9.392434670040497,2.2064746347929856e-18,1.21698762412986e-15,11268,0.697479630268536,ENSG00000198053,L2/3~Sp09D01
16,enrichment,Sp09D01,ATP6V1H,9.384218584434976,2.341111171779147e-18,1.21698762412986e-15,5223,1.2543024068146147,ENSG00000047249,L2/3~Sp09D01
17,enrichment,Sp09D01,ENC1,9.353992671276973,2.910431260311785e-18,1.4524216161459932e-15,3411,1.490646896432366,ENSG00000171617,L2/3~Sp09D01
18,enrichment,Sp09D01,ATP2B4,9.345639474044335,3.0906948387126133e-18,1.4830580310684064e-15,1052,0.8847162647673941,ENSG00000058668,L2/3~Sp09D01
19,enrichment,Sp09D01,GRIA2,9.24553500520797,6.337368713961829e-18,2.586327468437342e-15,3169,0.9256902690830513,ENSG00000120251,L2/3~Sp09D01
20,enrichment,Sp09D01,DOCK4,9.24358405249404,6.426430868993075e-18,2.586327468437342e-15,4881,0.7673770133337368,ENSG00000128512,L2/3~Sp09D01
21,enrichment,Sp09D01,NPTN,9.181071563348874,1.0042150735391602e-17,3.79654159317411e-15,8789,1.0733532732843416,ENSG00000156642,L2/3~Sp09D01
22,enrichment,Sp09D01,PTK2B,9.080314256183849,2.05522064168239e-17,7.024697995573307e-15,5141,1.0854946766311488,ENSG00000120899,L2/3~Sp09D01
23,enrichment,Sp09D01,MAST3,9.075384550849646,2.1282885232504752e-17,7.024697995573307e-15,10755,0.7379438608263391,ENSG00000099308,L2/3~Sp09D01
24,enrichment,Sp09D01,WASF1,9.074635362663367,2.1396162538616998e-17,7.024697995573307e-15,4260,1.0187267838771277,ENSG00000112290,L2/3~Sp09D01
25,enrichment,Sp09D01,MEF2D,8.976189111417357,4.2894851064766666e-17,1.3360361198462471e-14,864,0.8311902249116268,ENSG00000116604,L2/3~Sp09D01
26,enrichment,Sp09D01,PRKCG,8.919397877142227,6.395443629073241e-17,1.8555710399143667e-14,11161,1.1825209400473309,ENSG00000126583,L2/3~Sp09D01
27,enrichment,Sp09D01,BTBD3,8.895936331977486,7.539833757839058e-17,2.0903770213955578e-14,11316,1.0189409156227842,ENSG00000132640,L2/3~Sp09D01
28,enrichment,Sp09D01,PCDH7,8.837380427722021,1.13592973644845e-16,3.0775567317606033e-14,2889,1.2446648206522106,ENSG00000169851,L2/3~Sp09D01
29,enrichment,Sp09D01,PLPPR4,8.833973342443306,1.163291097921611e-16,3.0775567317606033e-14,596,1.3459540856949936,ENSG00000117600,L2/3~Sp09D01
30,enrichment,Sp09D01,YWHAZ,8.828989633193208,1.204494661879959e-16,3.0775567317606033e-14,5363,0.7974270536544473,ENSG00000164924,L2/3~Sp09D01
31,enrichment,Sp09D01,TGM3,8.823769030164446,1.2492086105171272e-16,3.0775567317606033e-14,11271,2.086948313836437,ENSG00000125780,L2/3~Sp09D01
32,enrichment,Sp09D01,NCAM2,8.82275773230861,1.2580586191070116e-16,3.0775567317606033e-14,11603,1.0194134363102512,ENSG00000154654,L2/3~Sp09D01
33,enrichment,Sp09D01,ZNF706,8.762673029268408,1.9121237328718694e-16,4.4177140169091563e-14,5365,0.5579780615856662,ENSG00000120963,L2/3~Sp09D01
34,enrichment,Sp09D01,ITPKA,8.731214678930579,2.379245206779151e-16,5.20762512276784e-14,8617,1.675121503591839,ENSG00000137825,L2/3~Sp09D01
35,enrichment,Sp09D01,PAK1,8.62588182207317,4.930718989743138e-16,1.008453280590744e-13,7027,1.1505708719774765,ENSG00000149269,L2/3~Sp09D01
36,enrichment,Sp09D01,MAN1A1,8.615672053100711,5.290208200667694e-16,1.0645264114762927e-13,4293,1.983726721685352,ENSG00000111885,L2/3~Sp09D01
37,enrichment,Sp09D01,NPTX2,8.567520254443464,7.367875077660556e-16,1.3927516586195925e-13,4777,1.5527555145185103,ENSG00000106236,L2/3~Sp09D01
38,enrichment,Sp09D01,MOB1B,8.532205243151115,9.387973143845744e-16,1.6974543904727466e-13,2965,0.9423022949492342,ENSG00000173542,L2/3~Sp09D01
39,enrichment,Sp09D01,TOMM20,8.51367311018621,1.0658484687584586e-15,1.8996464994615042e-13,1196,0.4954652936831366,ENSG00000173726,L2/3~Sp09D01
40,enrichment,Sp09D01,BAIAP2,8.481973477921706,1.3238219473436171e-15,2.326197551416756e-13,10180,0.9851972150355354,ENSG00000175866,L2/3~Sp09D01
41,enrichment,Sp09D01,PCDH8,8.479529706039383,1.3461030568312952e-15,2.332497463476005e-13,8033,1.9396492738281228,ENSG00000136099,L2/3~Sp09D01
42,enrichment,Sp09D01,ARF1,8.430358541384416,1.8822588718073854e-15,3.0898765374564394e-13,1157,0.602657146527073,ENSG00000143761,L2/3~Sp09D01
43,enrichment,Sp09D01,YWHAH,8.415388224966028,2.0840723011303836e-15,3.3767384453120344e-13,11852,1.0045650022108445,ENSG00000128245,L2/3~Sp09D01
44,enrichment,Sp09D01,PRNP,8.332393181423804,3.6587106293643285e-15,5.70575922649367e-13,11298,0.5386612474788838,ENSG00000171867,L2/3~Sp09D01
45,enrichment,Sp09D01,PDE2A,8.32457077099634,3.857385476137803e-15,5.868870878084784e-13,6985,0.9550464867308808,ENSG00000186642,L2/3~Sp09D01
46,enrichment,Sp09D01,PDK2,8.2997572189150155,4.5609824386008666e-15,6.855761072769207e-13,9961,0.5380932578007863,ENSG00000005882,L2/3~Sp09D01
47,enrichment,Sp09D01,TMEM59L,8.292144131875375,4.80129704286186e-15,6.965230454272625e-13,10771,0.8335476293140823,ENSG00000105696,L2/3~Sp09D01
48,enrichment,Sp09D01,KCTD4,8.287246679486362,4.962470095367407e-15,7.116296196529169e-13,7991,1.5173701148632597,ENSG00000180332,L2/3~Sp09D01
49,enrichment,Sp09D01,SNN,8.27900094901817,5.2460165468131595e-15,7.437420731595566e-13,9082,0.6234595417699269,ENSG00000184602,L2/3~Sp09D01
50,enrichment,Sp09D01,OLFM1,8.270393939962679,5.559092637351382e-15,7.792723566696162e-13,5960,0.9145008666251052,ENSG00000130558,L2/3~Sp09D01
51,enrichment,Sp09D01,RHBDD2,8.210323078674689,8.322991725697084e-15,1.0930278396820718e-12,4701,0.6732189314786532,ENSG00000005486,L2/3~Sp09D01
52,enrichment,Sp09D01,GRIA4,8.195807697431889,9.173204846135578e-15,1.164631893330775e-12,7095,1.0226976292418266,ENSG00000152578,L2/3~Sp09D01
53,enrichment,Sp09D01,SERINC3,8.194698052457095,9.241628521941867e-15,1.164631893330775e-12,11453,0.48517103876374396,ENSG00000132824,L2/3~Sp09D01
54,enrichment,Sp09D01,CHST1,8.123014654486168,1.4917564072033503e-14,1.8069080520649513e-12,6719,0.9348760284649366,ENSG00000175264,L2/3~Sp09D01
55,enrichment,Sp09D01,DGKA,8.093465399943032,1.815957660425601e-14,2.1784507472567115e-12,7520,1.7402357230719827,ENSG00000065357,L2/3~Sp09D01
56,enrichment,Sp09D01,ANXA11,8.086139111247594,1.9065704428418406e-14,2.2653688423709336e-12,6276,0.6849400896508433,ENSG00000122359,L2/3~Sp09D01
57,enrichment,Sp09D01,MBOAT7,8.01609553481387,3.032899661839424e-14,3.408869926226005e-12,11169,0.681708240583396,ENSG00000125505,L2/3~Sp09D01
58,enrichment,Sp09D01,GNAL,7.990804598851216,3.584229153755072e-14,3.957242736482149e-12,10272,1.2259056937930575,ENSG00000141404,L2/3~Sp09D01
59,enrichment,Sp09D01,MFSD4A,7.975890375489581,3.9546447810928975e-14,4.3279077446416656e-12,1069,1.280470537978851,ENSG00000174514,L2/3~Sp09D01
60,enrichment,Sp09D01,CA10,7.974155234901556,4.000124560709027e-14,4.339613392991811e-12,9982,1.3051617870309142,ENSG00000154975,L2/3~Sp09D01
61,enrichment,Sp09D01,MET,7.962716199834109,4.3131666727411466e-14,4.638885121475736e-12,4892,2.25739367974905,ENSG00000105976,L2/3~Sp09D01
62,enrichment,Sp09D01,PHYHIP,7.957454165714397,4.465184995310883e-14,4.76133743602552e-12,5113,0.9667876931234483,ENSG00000168490,L2/3~Sp09D01
63,enrichment,Sp09D01,AK5,7.951682600973128,4.6380183802698256e-14,4.862514059852634e-12,522,0.7610586885956904,ENSG00000154027,L2/3~Sp09D01
64,enrichment,Sp09D01,PPP3CA,7.927022225097055,5.454082407442096e-14,5.532124562215251e-12,3048,0.7920320564875291,ENSG00000138814,L2/3~Sp09D01
65,enrichment,Sp09D01,ICAM5,7.91582212669239,5.870122539315682e-14,5.815117798494793e-12,10620,1.3135644573484457,ENSG00000105376,L2/3~Sp09D01
66,enrichment,Sp09D01,IGSF8,7.849882198454818,9.037593919442662e-14,8.607100896104323e-12,888,0.5125016243797482,ENSG00000162729,L2/3~Sp09D01
67,enrichment,Sp09D01,LONRF2,7.805759169721356,1.2048174934133887e-13,1.1301731614906344e-11,1620,0.7998188714769489,ENSG00000170500,L2/3~Sp09D01
68,enrichment,Sp09D01,ANO3,7.795511365786884,1.2878377738972117e-13,1.1901528938623418e-11,6661,1.6851824289345476,ENSG00000134343,L2/3~Sp09D01
69,enrichment,Sp09D01,TMEM130,7.729981005559988,1.9695557413399183e-13,1.730435030208227e-11,4778,0.8907899180077645,ENSG00000166448,L2/3~Sp09D01
70,enrichment,Sp09D01,PLD3,7.717292646455144,2.137877880903267e-13,1.865186324625815e-11,10950,0.6548377408938738,ENSG00000105223,L2/3~Sp09D01
71,enrichment,Sp09D01,GPR88,7.667734132767222,2.9426658346959313e-13,2.4153091416885816e-11,605,2.0235172296490527,ENSG00000181656,L2/3~Sp09D01
72,enrichment,Sp09D01,EPHA4,7.666385100618795,2.968317423871995e-13,2.4192191218397102e-11,1980,1.247033598449956,ENSG00000116106,L2/3~Sp09D01
73,enrichment,Sp09D01,CELSR2,7.661617594450557,3.060752126839694e-13,2.463609260287227e-11,630,0.570294663662854,ENSG00000143126,L2/3~Sp09D01
74,enrichment,Sp09D01,NCDN,7.658620830880534,3.1203036299272675e-13,2.4954428260879865e-11,312,1.0469909640030324,ENSG00000020129,L2/3~Sp09D01
75,enrichment,Sp09D01,ACVR1C,7.6488447260616566,3.3226397899578744e-13,2.5908283762196523e-11,1753,1.9190690054346704,ENSG00000123612,L2/3~Sp09D01
76,enrichment,Sp09D01,DOC2A,7.604820840232075,4.406471113690848e-13,3.331826279661032e-11,9189,1.0632544006451603,ENSG00000149927,L2/3~Sp09D01
77,enrichment,Sp09D01,RBFOX1,7.602381992468324,4.475795978478904e-13,3.349623348843904e-11,9067,0.9674075172579986,ENSG00000078328,L2/3~Sp09D01
78,enrichment,Sp09D01,CAMKK1,7.591149686014159,4.80923058092363e-13,3.5714262337859055e-11,9550,1.236986553563288,ENSG00000004660,L2/3~Sp09D01
79,enrichment,Sp09D01,ZFAND5,7.560097254731956,5.864006181394325e-13,4.2534500650625354e-11,5662,0.5295834590471272,ENSG00000107372,L2/3~Sp09D01
80,enrichment,Sp09D01,TESPA1,7.5490334703436055,6.292518898875526e-13,4.5118083782971874e-11,7510,1.7769726774300758,ENSG00000135426,L2/3~Sp09D01
81,enrichment,Sp09D01,NCKAP1,7.544712501516658,6.468141187411544e-13,4.585030082621956e-11,1839,0.6198583679283631,ENSG00000061676,L2/3~Sp09D01
82,enrichment,Sp09D01,SUB1,7.542447730668507,6.562114251360195e-13,4.5993785056162806e-11,3297,0.5364894859487079,ENSG00000113387,L2/3~Sp09D01
83,enrichment,Sp09D01,CYP46A1,7.533565923391903,6.943832273282623e-13,4.839734717400782e-11,8490,1.0634412043470785,ENSG00000036530,L2/3~Sp09D01
84,enrichment,Sp09D01,PLEKHA2,7.524332746996571,7.363881414288497e-13,5.020316094243895e-11,5189,1.345432086775164,ENSG00000169499,L2/3~Sp09D01
85,enrichment,Sp09D01,ATP1A1,7.521829342728816,7.482027411708188e-13,5.0626947028854986e-11,689,0.7685668862838997,ENSG00000163399,L2/3~Sp09D01
86,enrichment,Sp09D01,DKK3,7.5175408042191325,7.688783413418473e-13,5.102407546053663e-11,6620,0.6232367626550026,ENSG00000050165,L2/3~Sp09D01
87,enrichment,Sp09D01,PLPPR2,7.495003489480486,8.871579713714926e-13,5.764678568141012e-11,10648,0.674298809938277,ENSG00000105520,L2/3~Sp09D01
88,enrichment,Sp09D01,SLC8A2,7.447108477236152,1.2013578538763536e-12,7.569767972202721e-11,11058,0.8798633014354755,ENSG00000118160,L2/3~Sp09D01
89,enrichment,Sp09D01,CRYM,7.4449466664033315,1.217875658647407e-12,7.635284782555303e-11,9127,1.2851449792746772,ENSG00000103316,L2/3~Sp09D01
90,enrichment,Sp09D01,LRATD1,7.438939592487176,1.264959411424881e-12,7.851559013401402e-11,1285,1.170549312294595,ENSG00000162981,L2/3~Sp09D01
91,enrichment,Sp09D01,AKAP5,7.436581526591829,1.2839289138648096e-12,7.929850064048201e-11,8319,1.6893220055716232,ENSG00000179841,L2/3~Sp09D01
92,enrichment,Sp09D01,OCIAD1,7.421811394861139,1.4092955812758612e-12,8.576766669267144e-11,2928,0.4988803816736848,ENSG00000109180,L2/3~Sp09D01
93,enrichment,Sp09D01,PLK2,7.412442402258238,1.4949988270583512e-12,9.054177362320383e-11,3361,1.172270123009052,ENSG00000145632,L2/3~Sp09D01
94,enrichment,Sp09D01,CELF1,7.377419080143447,1.8633786112426654e-12,1.101777798761303e-10,6745,0.6021986139768408,ENSG00000149187,L2/3~Sp09D01
95,enrichment,Sp09D01,LRRC8B,7.366575983889765,1.9946122600924216e-12,1.1738104979675967e-10,557,0.9161217634685187,ENSG00000197147,L2/3~Sp09D01
96,enrichment,Sp09D01,CADM3,7.364837829308719,2.0164801986479996e-12,1.1811083079029316e-10,881,0.8163662607631016,ENSG00000162706,L2/3~Sp09D01
97,enrichment,Sp09D01,CDK5R1,7.35567013041616,2.135791522889577e-12,1.2393551181195518e-10,9774,0.9391083386322939,ENSG00000176749,L2/3~Sp09D01
98,enrichment,Sp09D01,P2RX2,7.349425667041852,2.221017481969796e-12,1.2769315255785793e-10,7891,1.7972023412706892,ENSG00000187848,L2/3~Sp09D01
99,enrichment,Sp09D01,CSNK1D,7.328795163585297,2.5271331316994345e-12,1.4202032860847814e-10,10220,0.47095285959093386,ENSG00000141551,L2/3~Sp09D01
100,enrichment,Sp09D01,ACTR3B,7.318228980767071,2.6996597695873797e-12,1.5056177615010651e-10,5040,1.109819887892461,ENSG00000133627,L2/3~Sp09D01
1,enrichment,Sp09D02,COX6A1,6.5361576307019424,3.001497658689866e-10,2.435990668908095e-6,7806,0.405169514429309,ENSG00000111775,L3~Sp09D02
