Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,4,-2.2724,26,0.59899,19,0.00719,26,0.48499,16,-0.2697,16,-0.2639,25,0.50439,7,-1.4101,18,-0.1176
ENSG00000188976,NOC2L,20,-1.1297,37,-0.2166,33,-0.4008,50,0.26998,51,0.31463,59,0.52353,57,0.55105,27,-0.6603,35,-0.2750
ENSG00000188290,HES4,29,-1.0880,66,0.19336,69,0.24015,85,0.56673,37,-0.7134,31,-0.9860,57,-0.0809,93,0.72269,64,0.10339
ENSG00000187608,ISG15,76,0.72867,58,0.31681,71,0.60885,57,0.24723,24,-1.0587,19,-1.4056,45,-0.1450,42,-0.2175,39,-0.3250
ENSG00000188157,AGRN,27,0.51463,22,0.18062,10,-1.0408,14,-0.5244,26,0.44752,19,-0.0386,25,0.40372,14,-0.4850,13,-0.6514
ENSG00000078808,SDF4,65,0.09229,57,-0.1184,64,0.07255,44,-0.5000,92,0.66796,79,0.41730,49,-0.3806,77,0.37017,38,-0.7158
ENSG00000176022,B3GALT6,18,-0.7695,34,0.21124,21,-0.5490,41,0.46770,42,0.49259,24,-0.3759,36,0.27022,28,-0.1220,21,-0.5459
ENSG00000160087,UBE2J2,22,-0.7185,38,0.14948,24,-0.5747,43,0.34761,33,-0.0590,38,0.13861,42,0.35464,32,-0.1474,30,-0.2345
ENSG00000131584,ACAP3,57,-0.0513,71,0.32373,50,-0.2780,60,0.01989,47,-0.3630,76,0.40350,67,0.21868,43,-0.4837,42,-0.5250
ENSG00000169972,PUSL1,10,-0.0104,15,0.66576,8,-0.3895,9,-0.2452,5,-0.9307,9,-0.1023,14,0.51136,4,-1.1967,9,-0.1457
ENSG00000127054,INTS11,41,-0.1588,55,0.34723,46,0.00011,48,0.08936,45,-0.0333,53,0.23634,48,0.07811,35,-0.4052,28,-0.7615
ENSG00000224051,CPTP,16,-0.9440,45,0.75565,26,-0.1827,32,0.12839,21,-0.5160,33,0.15942,35,0.30234,17,-0.8303,21,-0.5461
ENSG00000107404,DVL1,59,0.07320,57,0.03710,60,0.09547,55,-0.0398,34,-0.7668,40,-0.5270,58,0.05585,82,0.60403,58,0.05249
ENSG00000175756,AURKAIP1,145,-0.1582,169,0.09307,138,-0.2344,182,0.20302,144,-0.1651,123,-0.4039,184,0.25199,157,-0.0324,166,0.05490
ENSG00000221978,CCNL2,60,0.43618,52,0.22777,41,-0.1641,45,-0.0177,35,-0.4304,57,0.34778,53,0.27570,31,-0.6157,24,-1.0108
ENSG00000224870,MRPL20-AS1,15,0.46347,10,-0.0998,11,-0.0324,6,-0.9356,10,-0.1581,15,0.51732,12,0.14509,12,0.17733,7,-0.5967
ENSG00000242485,MRPL20,180,-0.1034,195,0.02171,233,0.30757,172,-0.1741,257,0.46861,148,-0.4049,188,-0.0347,154,-0.3511,204,0.09490
ENSG00000235098,ANKRD65,33,0.72006,29,0.55167,15,-0.4954,23,0.10986,23,0.10090,10,-1.1750,19,-0.1659,18,-0.2514,16,-0.4743
ENSG00000179403,VWA1,229,3.14339,18,-1.4770,26,-0.7768,10,-2.1939,47,0.11789,32,-0.5057,12,-1.9976,59,0.46294,20,-1.1576
ENSG00000197785,ATAD3A,10,-0.5171,16,0.33136,9,-0.6428,11,-0.2647,15,0.12890,18,0.43077,18,0.44632,9,-0.6267,10,-0.4421
ENSG00000205090,TMEM240,12,-1.6560,36,-0.0015,32,-0.2087,68,1.01580,42,0.23962,27,-0.4552,39,0.11645,24,-0.6538,45,0.33894
ENSG00000160075,SSU72,90,-0.6191,155,0.25117,183,0.48869,118,-0.2075,144,0.10394,129,-0.0672,137,0.02768,108,-0.3393,126,-0.1090
ENSG00000228594,FNDC10,5,-2.5781,31,0.09244,34,0.21888,41,0.49228,39,0.40730,28,-0.0801,35,0.29289,22,-0.4929,26,-0.1903
ENSG00000272106,AL691432.2,22,0.23260,19,-0.0062,13,-0.5818,10,-0.9136,17,-0.2361,32,0.83662,19,-0.0604,27,0.55033,14,-0.4671
ENSG00000197530,MIB2,20,-0.6733,29,-0.0888,31,0.01784,43,0.54850,23,-0.4283,44,0.59870,37,0.34142,14,-1.1415,28,-0.1085
ENSG00000248333,CDK11B,18,1.21190,4,-1.0410,2,-1.7872,6,-0.4810,7,-0.2706,5,-0.8623,14,0.88299,12,0.49780,7,-0.2750
ENSG00000189339,SLC35E2B,16,-0.0466,14,-0.2650,15,-0.1003,16,-0.0493,10,-0.6937,27,0.84609,13,-0.3408,29,0.92997,11,-0.5894
ENSG00000215790,SLC35E2A,19,-0.3755,25,0.03364,17,-0.5344,26,0.11935,15,-0.6722,28,0.26242,26,0.16542,25,0.08440,32,0.43433
ENSG00000008130,NADK,12,-0.9102,24,0.14257,17,-0.4413,21,-0.1033,31,0.52842,26,0.22966,26,0.29902,13,-0.8632,25,0.16679
ENSG00000078369,GNB1,216,-1.0496,452,0.10049,468,0.14559,439,0.04330,481,0.18931,515,0.29895,432,0.02014,435,0.03053,376,-0.2015
ENSG00000187730,GABRD,6,-4.4696,289,1.47836,136,-0.0138,154,0.18578,50,-1.5247,100,-0.4962,154,0.20687,65,-1.1368,111,-0.3353
ENSG00000067606,PRKCZ,99,-0.8625,155,-0.1830,196,0.20302,197,0.21491,172,-0.0042,197,0.20987,216,0.41030,132,-0.4198,161,-0.1050
ENSG00000162585,FAAP20,66,0.67290,26,-0.8796,61,0.53592,38,-0.2298,58,0.44655,25,-0.8782,31,-0.5728,73,0.83980,46,0.09018
ENSG00000157933,SKI,43,0.47661,29,-0.1872,29,-0.1405,30,-0.0820,36,0.18707,33,0.07389,21,-0.6557,39,0.34018,39,0.32954
ENSG00000157916,RER1,78,0.45016,67,0.23387,41,-0.5612,54,-0.1347,55,-0.1187,47,-0.3638,73,0.38573,47,-0.3641,47,-0.3634
ENSG00000157911,PEX10,45,0.78471,23,-0.2808,28,0.01126,26,-0.1274,23,-0.2953,28,0.03691,22,-0.3967,36,0.43124,28,0.00796
ENSG00000149527,PLCH2,9,-1.0471,32,1.18023,27,0.68725,25,0.59967,4,-2.2325,6,-1.4554,16,-0.0820,6,-1.4685,16,-0.1205
ENSG00000157881,PANK4,7,-1.1782,23,0.75511,10,-0.6304,11,-0.4527,17,0.20804,12,-0.2730,17,0.26833,19,0.37119,8,-0.9106
ENSG00000197921,HES5,4,-2.1755,16,-0.2689,15,-0.3704,28,0.63201,7,-1.4275,8,-1.2731,9,-1.1193,67,2.19875,28,0.62538
ENSG00000272449,AL139246.5,0,-7.5210,8,0.08755,7,-0.2409,16,1.16110,1,-2.9669,3,-1.3111,7,-0.0971,18,1.37812,10,0.41948
ENSG00000157873,TNFRSF14,2,-1.6494,20,1.91117,4,-1.0021,7,-0.1262,1,-2.4582,1,-2.2769,8,-0.0040,6,-0.3404,7,-0.0219
ENSG00000157870,PRXL2B,21,-1.4140,83,0.78899,53,-0.0361,39,-0.4900,44,-0.3229,48,-0.1970,68,0.41698,33,-0.7403,54,0.01051
ENSG00000177133,PRDM16-DT,4,-1.9747,10,-0.9757,19,0.10314,14,-0.3260,20,0.15991,9,-0.9914,5,-1.9462,75,2.59578,24,0.48973
ENSG00000158109,TPRG1L,41,-2.0033,156,0.03434,165,0.11377,148,-0.0591,158,0.04756,216,0.55395,200,0.48087,103,-0.6110,144,-0.1024
ENSG00000116213,WRAP73,23,0.81267,11,-0.3537,7,-0.9276,6,-1.3125,22,0.76142,23,0.77840,15,0.10054,13,-0.0452,6,-1.2007
ENSG00000130764,LRRC47,48,-0.8691,96,0.24545,64,-0.4197,82,-0.0243,86,0.05369,105,0.37045,109,0.47337,67,-0.3412,58,-0.5713
ENSG00000116198,CEP104,41,1.47369,13,-0.4167,12,-0.4873,12,-0.5372,31,0.98464,10,-0.7379,16,-0.1318,13,-0.4155,9,-0.9644
ENSG00000198912,C1orf174,10,-0.1446,10,-0.1759,10,-0.2878,9,-0.2948,14,0.34021,13,0.12577,14,0.39667,14,0.24835,7,-0.6909
ENSG00000196581,AJAP1,18,-1.3288,69,0.87899,21,-1.1218,45,0.08526,34,-0.3682,60,0.52779,57,0.51488,12,-1.9311,32,-0.4710
ENSG00000131697,NPHP4,5,-1.0312,14,0.74185,7,-0.5010,11,0.21100,13,0.53603,14,0.62317,8,-0.2815,5,-0.8466,4,-1.0747
ENSG00000069424,KCNAB2,20,-3.1105,226,0.57174,137,-0.2937,124,-0.4414,204,0.34226,183,0.16048,180,0.15027,150,-0.1528,187,0.19723
ENSG00000116254,CHD5,15,-2.9553,84,-0.4154,124,0.24175,237,1.33560,118,0.15181,143,0.47229,107,-0.0025,51,-1.1440,106,-0.0066
ENSG00000116251,RPL22,1122,1.34655,386,-0.4537,338,-0.6192,437,-0.2207,545,0.12788,399,-0.3631,380,-0.4779,628,0.35846,529,0.08041
ENSG00000116237,ICMT,22,-0.6517,52,0.81023,24,-0.5496,29,-0.2584,46,0.48502,31,-0.1495,32,-0.0950,27,-0.3435,25,-0.4567
ENSG00000158292,GPR153,1,-2.5891,15,0.83086,13,0.53033,23,1.44135,1,-2.6398,3,-1.6298,5,-1.0089,7,-0.3937,15,0.74235
ENSG00000097021,ACOT7,70,-2.0725,307,0.20185,289,0.08074,284,0.05456,226,-0.3053,290,0.08543,455,0.95560,149,-0.9463,188,-0.5926
ENSG00000215788,TNFRSF25,1,-3.2009,27,1.38235,9,-0.5493,8,-0.7897,11,-0.2920,18,0.52112,10,-0.3726,14,0.12427,8,-0.6996
ENSG00000171680,PLEKHG5,1,-4.5962,44,1.24851,25,0.11595,21,-0.1377,11,-1.0373,15,-0.6484,26,0.18566,15,-0.6286,25,0.15700
ENSG00000162408,NOL9,20,-0.4705,27,-0.0065,26,-0.0657,41,0.68868,17,-0.7363,27,0.01091,30,0.21739,33,0.30653,18,-0.5979
ENSG00000162413,KLHL21,36,0.36482,32,0.19708,41,0.57237,26,-0.1132,25,-0.2066,30,0.06091,24,-0.2653,26,-0.1467,17,-0.7608
ENSG00000116273,PHF13,14,-0.2974,19,0.18146,19,0.21134,18,0.09039,26,0.71706,19,0.21666,14,-0.3603,15,-0.1913,9,-0.9225
ENSG00000041988,THAP3,27,0.33412,28,0.43960,22,0.00966,15,-0.5416,21,-0.0680,14,-0.6667,24,0.18039,23,0.10146,13,-0.7446
ENSG00000007923,DNAJC11,13,-1.1256,23,-0.2760,29,0.11955,25,-0.0836,30,0.18924,40,0.65937,33,0.36223,19,-0.5295,27,0.00455
ENSG00000171735,CAMTA1,88,-1.0870,123,-0.6223,157,-0.1985,256,0.58803,295,0.82233,238,0.46764,182,0.04092,171,-0.0604,142,-0.3502
ENSG00000049245,VAMP3,158,2.99054,14,-1.3133,19,-0.8233,11,-1.6296,40,0.36450,26,-0.3190,9,-2.0210,37,0.24610,15,-1.1163
ENSG00000049246,PER3,24,0.16413,23,0.07352,36,0.80190,32,0.64222,12,-0.8698,12,-0.8408,16,-0.4570,28,0.38458,16,-0.4848
ENSG00000116288,PARK7,284,-0.4792,372,-0.0668,490,0.38090,340,-0.2005,477,0.33900,326,-0.2692,386,-0.0010,467,0.30327,350,-0.1568
ENSG00000116285,ERRFI1,16,-0.1920,17,-0.1273,15,-0.2675,15,-0.2451,22,0.27277,27,0.65749,23,0.44789,8,-1.2463,16,-0.2243
ENSG00000162426,SLC45A1,14,-0.9532,36,0.48695,28,0.06283,30,0.14283,17,-0.7279,19,-0.5323,43,0.83711,13,-1.1565,21,-0.3947
ENSG00000142599,RERE,77,-0.3738,110,0.22252,129,0.45533,82,-0.2591,114,0.24571,102,0.07638,82,-0.2885,111,0.20850,70,-0.5040
ENSG00000074800,ENO1,431,-0.5469,552,-0.1782,513,-0.2767,520,-0.2553,754,0.33462,795,0.42297,598,-0.0400,900,0.62586,515,-0.2692
ENSG00000171612,SLC25A33,14,-1.3706,31,-0.1928,34,-0.0543,41,0.27624,27,-0.3959,20,-0.8647,29,-0.3381,91,1.62234,37,0.09563
